FI;PERSO;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_PC;ETP_PC_EXT;ETP_PC_PA_EXT;ETP_PA;ETP_PA_EXT;ETP_AUTRES;BOR;AN;RS;FI_EJ;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETPSAL_TOT_PUBLIC;ETP_PACT;EFFSAL;ETPSAL;EFFLIB;totetp1
130786742;M3011;;;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;0;1;1;;;;;;0.6;1;;;2;1.6;;1.6
130786742;M3012;;;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;0;4;;;;;;;0;3.1;;;4;3.1;;3.1
130786742;M3020;;;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;1;3;;;;;;;1;3;;;4;4;;4
130786742;M3030;;;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;2;1;4;3;;;;;2.4;1.3;;;10;3.7;;3.7
130786742;M3040;;;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;0;0;1;;;;;;1.3;0;;;1;1.3;;1.3
130786742;M3050;;;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;1;4;;;;;;;1;3.8;;;5;4.8;;4.8
130786742;M9999;3.4;92.6;;;;;;;;;Q20;2024;HOPITAL INSTRUCTION DES ARMEES LAVERAN;750821092;50;45;21;12;;;;;50;46;96;;128;96;;96
130786890;M1010;;;;;;;;;;;Q20;2024;HJ LE RELAIS SERENA;130001688;;;;1;;;;;;0.1;;;1;0.1;;0.1
130786890;M3020;;;;;;;;;;;Q20;2024;HJ LE RELAIS SERENA;130001688;1;;;;;;;;1;0.41;;;1;1.41;;1.41
130786890;M3050;;;;;;;;;;;Q20;2024;HJ LE RELAIS SERENA;130001688;;;;1;;;;;;0.5;;;1;0.5;;0.5
130786890;M9999;;;;;;;;;;;Q20;2024;HJ LE RELAIS SERENA;130001688;1;;;2;;;;;1;1.01;;;3;2.01;;2.01
130786924;M1010;;;;;;;;;;;Q20;2024;INST UNIV DE READAP VALMANTE SUD;130037815;2;;;;;;;;1.9;;;;2;1.9;;1.9
130786924;M1180;;;;;;;;;;;Q20;2024;INST UNIV DE READAP VALMANTE SUD;130037815;3;3;;;;;;;2.1;2.68;;;6;4.78;;4.78
130786924;M3050;;;;;;;;;;;Q20;2024;INST UNIV DE READAP VALMANTE SUD;130037815;1;1;1;1;;;;;0.5;0.05;;;4;0.55;;0.55
130786924;M9999;;;;;;;;;;;Q20;2024;INST UNIV DE READAP VALMANTE SUD;130037815;6;4;1;1;;;;;4.5;2.73;;;12;7.23;;7.23
130786932;M1010;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;1;1;;3;;;;;1.03;3.46;;;5;4.49;;4.49
130786932;M1040;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;;;;;;;1;;;;;;;1;
130786932;M1120;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;;;1;;;;;;0.2;;;1;0.2;;0.2
130786932;M1150;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;;1;1;;;;;0.23;0.12;;;2;0.35;;0.35
130786932;M1180;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;5;;;;;;;;4.65;;;5;4.65;;4.65
130786932;M3020;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;;1;;;;;;0.23;;;;1;0.23;;0.23
130786932;M3050;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;;;2;;;;;;1.21;;;2;1.21;;1.21
130786932;M9999;;;;;;;;;;;Q20;2024;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;1;6;2;7;;;;1;1.49;9.64;;;16;11.13;1;11.13
130786973;M1010;;;;;;;;;;;Q20;2024;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;;;1;;;;;;0.51;;;;1;0.51;;0.51
130786973;M3020;;;;;;;;;;;Q20;2024;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;;;3;;;;;;1.3;;;;3;1.3;;1.3
130786973;M3050;;;;;;;;;;;Q20;2024;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;;;1;;;;;;0.55;;;;1;0.55;;0.55
130786973;M9999;;;;;;;;;;;Q20;2024;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;;;5;;;;;;2.36;;;;5;2.36;;2.36
130787369;M1180;;;;;;;;;;;Q20;2024;CTRE REED FONCT LE GRAND LARGE;130002777;1;1;1;;;;;;1.8;1;;;3;2.8;;2.8
130787369;M1190;;;;;;;;;;;Q20;2024;CTRE REED FONCT LE GRAND LARGE;130002777;;;1;;;;;;0.5;;;;1;0.5;;0.5
130787369;M1320;;;;;;;;;;;Q20;2024;CTRE REED FONCT LE GRAND LARGE;130002777;;;;1;;;;;;0.2;;;1;0.2;;0.2
130787369;M9999;;;;;;;;;;;Q20;2024;CTRE REED FONCT LE GRAND LARGE;130002777;1;1;2;1;;;;;2.3;1.2;;;5;3.5;;3.5
130789159;M1010;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;4;2;1;1;;;;;5.24;3.07;;;8;8.31;;8.31
130789159;M1040;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;0;0;2;1;;;2;;1.74;0.78;;;3;2.52;2;2.52
130789159;M1110;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;;;;;;;1;;;;;;;;1;
130789159;M1120;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;;;;;;;1;;;;;;;;1;
130789159;M1150;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;;;;;;;;1;;;;;;;1;
130789159;M3020;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;;;;;;;1;;;;;;;;1;
130789159;M3050;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;0;0;0;2;;;;;0;1.17;;;2;1.17;;1.17
130789159;M9999;;;;;;;;;;;Q20;2024;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;4;2;3;4;;;5;1;6.98;5.02;;;13;12;6;12
130789357;M1010;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;;;;1;;;2;3;;0.5;;;1;0.5;5;0.5
130789357;M1040;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;;;;;;;2;;;;;;;;2;
130789357;M1120;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;;;;1;;;;;;0.1;;;1;0.1;;0.1
130789357;M1180;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;1;6;;;;;;;1;6;;;7;7;;7
130789357;M1320;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;;1;;;;;;;;1;;;1;1;;1
130789357;M3050;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;1;;;1;;;;;0.5;0.4;;;2;0.9;;0.9
130789357;M9999;;;;;;;;;;;Q20;2024;CLINIQUE READAPT FONCT LES FEUILLADES;130002843;2;7;;3;;;4;3;1.5;8;;;12;9.5;7;9.5
130790157;M1320;;;;;;;;;;;Q20;2024;CH DE MARTIGUES HOPITAL DU VALLON;130789316;;2;1;1;;;;;0.7;2.17;;;4;2.87;;2.87
130790157;M3020;;;;;;;;;;;Q20;2024;CH DE MARTIGUES HOPITAL DU VALLON;130789316;5;11;8;5;;;;;7.7;12.83;;;29;20.53;;20.53
130790157;M9999;;19.86;1.02;;1.21;;;1.31;;;Q20;2024;CH DE MARTIGUES HOPITAL DU VALLON;130789316;5;13;9;6;;;;;8.4;15;23.4;;33;23.4;;23.4
130798002;M1010;;;;;;;;;;;Q20;2024;CLINIQUE LA LAURANNE;130004807;1;1;1;;;;1;;1.5;1;;;3;2.5;1;2.5
130798002;M3020;;;;;;;;;;;Q20;2024;CLINIQUE LA LAURANNE;130004807;1;1;;;;;7;2;1;1;;;2;2;9;2
130798002;M3050;;;;;;;;;;;Q20;2024;CLINIQUE LA LAURANNE;130004807;;1;;;;;;;;1;;;1;1;;1
130798002;M9999;;;;;;;;;;;Q20;2024;CLINIQUE LA LAURANNE;130004807;2;3;1;;;;8;2;2.5;3;;;6;5.5;10;5.5
130798358;M1010;;;;;;;;;;;Q20;2024;USLD DUQUESNE SITE AIX;130041916;;;;2;;;;;;1.02;;;2;1.02;;1.02
130798358;M9999;;0.74;;;0.28;;;;;;Q20;2024;USLD DUQUESNE SITE AIX;130041916;;;;2;;;;;;1.02;1.02;;2;1.02;;1.02
130802143;M1010;;;;;;;;;;;Q20;2024;HAD SOINS ASSISTANCE;130804396;;;;2;;;;;;1.72;;;2;1.72;;1.72
130802143;M9999;;;;;;;;;;;Q20;2024;HAD SOINS ASSISTANCE;130804396;;;;2;;;;;;1.72;;;2;1.72;;1.72
130804032;M3020;;;;;;;;;;;Q20;2024;ASSOCIATION REGIONALE POUR INTEGRATION;130804032;;;;2;;;;;;0.7;;;2;0.7;;0.7
130804032;M9999;;;;;;;;;;;Q20;2024;ASSOCIATION REGIONALE POUR INTEGRATION;130804032;;;;2;;;;;;0.7;;;2;0.7;;0.7
130804297;M1010;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;1;0;1;0;0;0;0;0.04;2.13;;;2;2.17;0;2.17
130804297;M1030;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;7;7;2;4;0;0;0;0;7.96;11.03;;;20;18.99;0;18.99
130804297;M1040;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;1;0;2;0;0;0;0;0.7;1.56;;;4;2.26;0;2.26
130804297;M1120;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;2;0;0;0;0;0;0;0;1.25;;;2;1.25;0;1.25
130804297;M1140;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;13;24;2;23;0;0;0;0;13.81;45.9;;;62;59.71;0;59.71
130804297;M1150;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;0;0;0;0;0;0;0;0.84;;;0;0.84;0;0.84
130804297;M1160;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;2;0;3;0;0;0;0;0.9;4.88;;;6;5.78;0;5.78
130804297;M1180;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;1;0;0;0;0;0;0.1;0;;;1;0.1;0;0.1
130804297;M2010;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;3;2;1;1;0;0;0;0;2.32;2.97;;;7;5.29;0;5.29
130804297;M2020;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;0;0;0;0;0;0;0.03;0;;;0;0.03;0;0.03
130804297;M2030;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;0;0;1;0;0;0;0;1.3;0.2;;;2;1.5;0;1.5
130804297;M2040;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;1;0;0;0;0;0;0;0;1;;;1;1;0;1
130804297;M2050;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;0;0;0;0;0;0;0;0.38;;;0;0.38;0;0.38
130804297;M2060;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;3;0;0;0;0;0;0;0;2.1;0;;;3;2.1;0;2.1
130804297;M2080;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;3;3;1;1;0;0;0;0;2.35;2.77;;;8;5.12;0;5.12
130804297;M2150;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;4;4;0;1;0;0;0;0;2.1;3.32;;;9;5.42;0;5.42
130804297;M3020;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;0;0;0;0;0;0;0.05;0;;;0;0.05;0;0.05
130804297;M3030;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;0;0;0;0;0;0;0;0;0.05;;;0;0.05;0;0.05
130804297;M3050;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;2;0;0;0;0;0;0;0;1;;;3;1;0;1
130804297;M3070;;;;;;;;;;;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;0;2;0;0;0;0;0;0;0;1.68;;;2;1.68;0;1.68
130804297;M9999;13.08;60.27;11.41;11.52;14.09;0;2.1;2.25;0;0;Q20;2024;APHM HOPITAL LA TIMONE ENFANTS;130786049;37;51;7;37;0;0;0;0;33.76;80.96;114.72;0;132;114.72;0;114.72
130806011;M3020;;;;;;;;;;;Q20;2024;CLINIQUE SAINT PAUL DE MAUSOLE;750720534;;;1;0;;;3;;0.07;;;;1;0.07;3;0.07
130806011;M3050;;;;;;;;;;;Q20;2024;CLINIQUE SAINT PAUL DE MAUSOLE;750720534;;;;1;;;;;;0.5;;;1;0.5;;0.5
130806011;M9999;;;;;;;;;;;Q20;2024;CLINIQUE SAINT PAUL DE MAUSOLE;750720534;;;1;1;;;3;;0.07;0.5;;;2;0.57;3;0.57
130806029;M1110;;;;;;;;;;;Q20;2024;ADPC UDM AUTO PERIT DOM AIX;130006810;;;;1;;1;2;;;1.6;;;1;1.6;3;1.6
130806029;M3050;;;;;;;;;;;Q20;2024;ADPC UDM AUTO PERIT DOM AIX;130006810;;;;;;;;;;0.38;;;;0.38;;0.38
130806029;M9999;;;;;;;;;;;Q20;2024;ADPC UDM AUTO PERIT DOM AIX;130006810;;;;1;;1;2;;;1.98;;;1;1.98;3;1.98
130806078;M1110;;;;;;;;;;;Q20;2024;ATUP UDM ET DOMICILE MARSEILLE 08;130016058;;;;1;;;2;4;;0.04;;;1;0.04;6;0.04
130806078;M3050;;;;;;;;;;;Q20;2024;ATUP UDM ET DOMICILE MARSEILLE 08;130016058;;1;;1;;;;;;1.8;;;2;1.8;;1.8
130806078;M9999;;;;;;;;;;;Q20;2024;ATUP UDM ET DOMICILE MARSEILLE 08;130016058;;1;;2;;;2;4;;1.84;;;3;1.84;6;1.84
130806417;M1110;;;;;;;;;;;Q20;2024;ADPC UNITE D'AUTODIALYSE AUBAGNE;130006810;;1;;;;;;;;0.07;;;1;0.07;;0.07
130806417;M3050;;;;;;;;;;;Q20;2024;ADPC UNITE D'AUTODIALYSE AUBAGNE;130006810;;;;;;;;;;0.02;;;;0.02;;0.02
130806417;M9999;;;;;;;;;;;Q20;2024;ADPC UNITE D'AUTODIALYSE AUBAGNE;130006810;;1;;;;;;;;0.09;;;1;0.09;;0.09
130808843;M1010;;;;;;;;;;;Q20;2024;USLD MARCEL PAGNOL;920030152;;;;1;;;2;2;0.03;1.04;;;1;1.07;4;1.07
130808843;M3011;;;;;;;;;;;Q20;2024;USLD MARCEL PAGNOL;920030152;;;;;;;1;;;;;;;;1;
130808843;M3050;;;;;;;;;;;Q20;2024;USLD MARCEL PAGNOL;920030152;;;;;;;1;;;;;;;;1;
130808843;M9999;;;;;;;;;;;Q20;2024;USLD MARCEL PAGNOL;920030152;;;;1;;;4;2;0.03;1.04;;;1;1.07;6;1.07
130809015;M1010;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;4;7;1;5;;;;;4.55;10.1;;;17;14.65;;14.65
130809015;M1040;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;;;;;;;1;;;;;;;;1;
130809015;M1050;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;;;;;;;;1;;;;;;;1;
130809015;M1100;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;;1;;;;;;;;1;;;1;1;;1
130809015;M1120;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;1;;1;;;;;;1.8;;;;2;1.8;;1.8
130809015;M1200;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;;;;;;;3;;;;;;;;3;
130809015;M1320;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;1;3;;;;;;;1;2.3;;;4;3.3;;3.3
130809015;M3050;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;1;2;;;;;;;1;2;;;3;3;;3
130809015;M3070;;;;;;;;;;;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;;;2;1;;;;;0.4;0.2;;;3;0.6;;0.6
130809015;M9999;;18.47;;;2.67;;;;;0.53;Q20;2024;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;7;13;4;6;;;4;1;8.75;15.6;27.35;2.67;30;24.35;5;24.35
130809809;M1110;;;;;;;;;;;Q20;2024;CTRE D'HEMODIALYSE DE PROVENCE AUBAGNE;130007156;;;;;2;3;;;;;;;;;5;
130809809;M3050;;;;;;;;;;;Q20;2024;CTRE D'HEMODIALYSE DE PROVENCE AUBAGNE;130007156;;;;1;;;;;;0.5;;;1;0.5;;0.5
130809809;M9999;;;;;;;;;;;Q20;2024;CTRE D'HEMODIALYSE DE PROVENCE AUBAGNE;130007156;;;;1;2;3;;;;0.5;;;1;0.5;5;0.5
130809981;M1010;;;;;;;;;;;Q20;2024;CLINIQUE MASSILIA LES PINS;310025010;;;2;1;;;;;1.6;0.8;;;3;2.4;;2.4
130809981;M1180;;;;;;;;;;;Q20;2024;CLINIQUE MASSILIA LES PINS;310025010;1;1;;;;;;;1;1;;;2;2;;2
130809981;M3050;;;;;;;;;;;Q20;2024;CLINIQUE MASSILIA LES PINS;310025010;;;1;;;;;;0.9;;;;1;0.9;;0.9
130809981;M9999;;;;;;;;;;;Q20;2024;CLINIQUE MASSILIA LES PINS;310025010;1;1;3;1;;;;;3.5;1.8;;;6;5.3;;5.3
130810740;M1020;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;2;2;;;;;;;4;
130810740;M1030;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;17;4;;;;;;;21;
130810740;M1031;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;2;0;;;;;;;2;
130810740;M1040;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;6;3;;;;;;;9;
130810740;M1070;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;1;0;;;;;;;1;
130810740;M1090;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;6;4;;;;;;;10;
130810740;M1100;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;2;1;;;;;;;2;1;;;3;3;;3
130810740;M1110;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;2;1;;;;;;;3;
130810740;M1120;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;0;1;;;;;;;1;
130810740;M1130;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;1;0;;;;;;;1;
130810740;M1150;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;1;0;;;;;;;1;
130810740;M1160;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;13;4;;;;;;;17;
130810740;M1180;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;2;0;;;;;;;2;
130810740;M1190;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;1;2;;;;;;;3;
130810740;M1200;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;1;1;;;;;;;2;
130810740;M1330;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;2;1;;;;;;;3;
130810740;M2020;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;9;2;;;;;;;11;
130810740;M2030;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;22;4;;;;;;;26;
130810740;M2040;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;4;3;;;;;;;7;
130810740;M2050;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;5;2;;;;;;;7;
130810740;M2060;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;1;0;;;;;;;1;
130810740;M2070;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;12;7;;;;;;;19;
130810740;M2080;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;5;4;;;;;;;9;
130810740;M2100;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;4;0;;;;;;;4;
130810740;M2120;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;3;0;;;;;;;3;
130810740;M2130;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;;;;;;4;0;;;;;;;4;
130810740;M3050;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;;2;;;;;;;;2;;;2;2;;2
130810740;M9999;;;;;;;;;;;Q20;2024;CLINIQUE AXIUM;130007362;2;3;;;;;126;45;2;3;;;5;5;171;5
130811102;M1010;;;;;;;;;;;Q20;2024;LA MAISON;130007487;4;;;;;;;;4;;;;4;4;;4
130811102;M9999;;;;;;;;;;;Q20;2024;LA MAISON;130007487;4;;;;;;;;4;;;;4;4;;4
140000027;M1010;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;0;0;0;0;0;0;0;1;0;;;1;1;0;1
140000027;M1030;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;4;1;1;0;0;0;0;0;4.94;1.03;;;6;5.97;0;5.97
140000027;M1031;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;3;1;0;0;0;0;0;0;3.79;1.32;;;4;5.11;0;5.11
140000027;M1040;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;4;1;1;1;0;0;0;0;4.9;1.2;;;7;6.1;0;6.1
140000027;M1070;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;1;0;0;0;0;0;0;0;0.08;;;1;0.08;0;0.08
140000027;M1090;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;0;0;0;0;0;0;0;1.61;0;;;1;1.61;0;1.61
140000027;M1100;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;3;2;1;4;0;0;0;0;3.81;5.21;;;10;9.02;0;9.02
140000027;M1110;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;2;1;0;0;0;0;1.16;0.9;;;5;2.06;0;2.06
140000027;M1120;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;2;1;3;0;0;0;0;1.6;3.41;;;7;5.01;0;5.01
140000027;M1140;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;3;2;1;4;0;0;0;0;2.4;4.53;;;10;6.93;0;6.93
140000027;M1150;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;2;0;0;1;0;0;0;0;2.84;1.64;;;3;4.48;0;4.48
140000027;M1160;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;3;1;2;0;0;0;0;0;4.11;1;;;6;5.11;0;5.11
140000027;M1180;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;0;0;0;0;0;0;0.83;1;;;2;1.83;0;1.83
140000027;M1200;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;0;1;0;0;0;0;0;0.88;0;;;1;0.88;0;0.88
140000027;M1320;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;3;4;0;1;0;0;0;0;2.7;4.74;;;8;7.44;0;7.44
140000027;M1330;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;0;0;0;0;0;0;0;0.66;0.9;;;1;1.56;0;1.56
140000027;M1340;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;1;0;2;0;0;0;0;0.04;1.05;;;3;1.09;0;1.09
140000027;M2010;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;2;0;0;0;0;0;0;0;0.76;0;;;2;0.76;0;0.76
140000027;M2020;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;0;0;0;0;0;0;0;1;0;;;1;1;0;1
140000027;M2030;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;3;1;1;0;0;0;0;0;3.33;0.92;;;5;4.25;0;4.25
140000027;M2050;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;4;5;2;0;0;0;0;3.6;4.47;;;12;8.07;0;8.07
140000027;M2070;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;0;0;0;0;0;0;0;0.49;0;;;1;0.49;0;0.49
140000027;M2080;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;0;0;0;0;0;0;0;0.4;0;;;0;0.4;0;0.4
140000027;M2100;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;0;0;0;0;0;0;0;0.83;0;;;1;0.83;0;0.83
140000027;M2120;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;4;0;1;0;0;0;0;0;4.17;0;;;5;4.17;0;4.17
140000027;M3011;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;1;3;0;0;0;0;0;0;1;3;;;4;4;0;4
140000027;M3012;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;0;0;1;0;0;0;0;0;0.75;;;1;0.75;0;0.75
140000027;M3040;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;0;0;0;0;0;0;0;0.1;0;;;0;0.1;0;0.1
140000027;M3050;;;;;;;;;;;Q20;2024;CENTRE HOSPITALIER DE LISIEUX;140000035;0;3;1;2;0;0;0;0;1.65;4.89;;;6;6.54;0;6.54
