BOR;AN;FI;RS;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;AUTRAT;EMSP;PREM24;ASTSOI24;ASTMED24;TELESUR;TELECONS;INTHAD;CONVPUI;CBPUI;AUTSSR;AUTSOC;AUTPARTUM;AUTENF;ASSOCANCERO;PLATOT;READAPDEV;SEJ_HAD;JOU_HAD;FIL_HAD
HAD;2024;590032108;HOPITAL A DOMICILE DU DOUAISIS MUTUALI;590024469;0;;;;;245549;1;0;1;1;1;0;0;;0;;;1;0;0;1;60;;994;17938;681
HAD;2024;590032199;HOPITAL A DOMICILE DU CAMBRESIS;590024469;0;;;;;161111;1;0;1;1;1;0;0;;0;;;1;0;0;;50;;524;14006;361
HAD;2024;590035838;HAD SAMBRE AVESNOIS;590000485;0;;;;;240000;2;0;1;1;1;0;0;0;1;1;0;1;0;0;1;45;;448;12948;340
HAD;2024;590043469;HOPITAL A DOMICILE DE FLANDRE MARITIME;590024469;0;;;;;249501;1;0;1;1;1;0;0;;0;;;1;0;0;0;85;;719;23660;579
HAD;2024;590045407;HAD CHU LILLE;590780193;0;;;;;126;1;1;1;1;;0;0;1;1;1;1;1;1;1;1;65;1;2952;29817;1147
HAD;2024;590048476;GCS GHICL HAD SYNERGIE RÉÉDUC-RÉADAPTA;590051801;0;;;;;;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;60;1;1445;25543;1054
HAD;2024;590812509;SANTELYS HAD LILLE METROPOLE;590799995;0;;;;;1300000;1;0;1;1;1;0;0;;1;1;0;1;0;0;;250;;2183;90513;1645
HAD;2024;600000194;CH BEAUVAIS;600100713;0;;;;;228000;2;1;1;1;;0;0;1;0;;0;1;0;0;1;35;;558;11311;430
HAD;2024;600003008;SERVICE HOSPITALISATION A DOMICILE;600113278;1;1;600003008;;;372396;1;0;1;1;1;0;0;;1;2;1;1;1;1;0;120;2;835;33799;515
HAD;2024;600010102;HAD CHICN COMPIÈGNE;600100721;0;;;;;180000;2;1;;1;;0;0;1;0;;0;1;0;0;;33;;496;9225;316
HAD;2024;610004269;HAD ARGENTAN;610787038;0;;;;;53173;1;0;2;2;;0;0;;0;;0;1;0;0;;30;;194;5894;148
HAD;2024;610005837;HOSPITALISATION A DOMICILE - ALENCON;610787285;0;;;;;63812;1;0;1;3;3;0;0;;1;2;1;1;0;0;0;30;1;340;6458;239
HAD;2024;610006256;HAD ORNE-EST;610006769;1;1;610006777;;;;1;0;1;3;1;0;0;;1;2;0;1;0;0;0;20;;127;4921;92
HAD;2024;610006777;HAD ORNE EST SITE DE L'AIGLE;610006769;0;;;;;21943;1;0;1;3;1;0;0;;1;2;0;1;0;0;0;10;;72;2572;43
HAD;2024;610007155;HAD ALENCON SITE FERTE MACE;610787285;0;0;;;;40570;1;0;1;3;2;0;0;;1;2;1;1;0;0;;30;1;77;2034;60
HAD;2024;610007312;HAD DU CH DE VIRE - SITE DE FLERS;140000159;1;4;140000373;500021274;500021282;61906;2;1;1;1;3;0;0;1;1;1;0;1;0;0;1;15;;207;4293;180
HAD;2024;620003889;SANTELYS HAD DU BÉTHUNOIS;590799995;0;;;;;280000;1;;1;1;1;;;;1;1;0;1;0;0;1;180;;1513;54684;1026
HAD;2024;620010348;HAD CALAIS - SAINT OMER;590024469;0;;;;;286524;1;;1;1;1;;;;0;;;1;0;0;0;80;;943;24019;638
HAD;2024;620010389;SANTELYS HAD ARTOIS ET TERNOIS;590799995;0;;;;;230000;1;0;1;1;1;1;1;;1;1;0;1;0;0;;200;;1542;64623;1140
HAD;2024;620013649;HAD DU LITTORAL BOULOGNE MONTREUIL;620013599;1;3;620013649;;;280000;1;0;1;1;1;0;0;;1;2;0;1;0;0;1;120;2;1014;31051;776
HAD;2024;620105981;HOPITAL A DOMICILE REGION DE LENS;620000968;0;;;;;380000;1;0;1;1;1;0;0;0;1;1;0;1;0;0;1;202;1;2583;74300;1601
HAD;2024;630008118;HAD CLERMONT-FERRAND;630011153;0;;;;;650000;1;0;1;1;1;0;0;;1;1;1;1;1;0;0;80;1;501;17366;371
HAD;2024;630010296;HAD 63 - SERVICE HAD;630001188;0;;;;;664385;1;0;1;1;1;0;0;0;0;;1;1;1;1;1;150;2;2293;35316;1240
HAD;2024;630010528;AURA SANTE HAD CEBAZAT;630000990;0;;;;;500000;1;0;1;1;1;0;0;0;0;;1;1;1;0;;400;1;604;19613;395
HAD;2024;640000162;CH COTE BASQUE;640780417;0;;;;;;2;1;;;;;;0;1;1;0;0;1;0;0;6;;148;2886;127
HAD;2024;640000402;CENTRE HOSPITALIER D'ORTHEZ;640780813;0;;;;;60000;2;1;1;1;1;1;0;1;1;1;0;1;0;0;0;50;;445;13769;343
HAD;2024;640000600;CENTRE HOSPITALIER DE PAU;640781290;0;;;;;;2;1;1;1;3;0;0;0;0;;0;1;0;1;1;69;;1340;17133;757
HAD;2024;640013298;HAD BEARN ET SOULE;640011508;1;2;640013298;;;122000;1;0;1;1;1;0;0;;0;;0;1;0;0;;50;;513;14414;381
HAD;2024;640789699;HAD SANTE SERVICE BAYONNE ET REGION;640003570;0;;;;;310000;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;120;1;1365;44168;754
HAD;2024;650004799;GCS RESAPY HAD;650003148;1;2;650004799;;;228950;1;0;1;1;1;;;0;1;3;0;1;0;0;;61;;972;21950;679
HAD;2024;660000084;CH PERPIGNAN;660780180;1;1;660000167;;;250000;2;1;1;2;1;0;0;1;1;1;0;1;1;0;1;45;;1105;18077;614
HAD;2024;660006172;HAD MEDIHAD CABESTANY;660790379;0;;;;;247000;2;0;1;1;1;0;0;;0;;1;1;1;1;0;70;2;787;21307;581
HAD;2024;670005479;HAD AURAL BERGSON;670000652;0;;;;;590000;1;0;1;1;1;0;0;;0;;1;1;0;0;0;100;1;1593;34998;1038
HAD;2024;670008838;HAD NORD ALSACE- FONDATION ST FRANÇOIS;670000785;0;;;;;350000;2;0;1;1;1;0;0;;0;;1;1;0;0;0;140;1;1013;27949;710
HAD;2024;670780113;CMCO;670780055;0;;;;;517386;2;0;1;1;1;0;0;;0;;0;0;1;0;;12;;238;3600;183
HAD;2024;670798636;CLINIQUE SAINT-LUC;670014604;0;;;;;;2;;;;;;;;;;;1;;;;25;;384;6912;283
HAD;2024;680007648;HAD CENTRE ALSACE;680007598;0;;;;;400000;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;110;1;1812;38666;1270
HAD;2024;680017829;HAD SUD ALSACE;680017811;0;;;;;490400;1;0;1;1;1;0;0;;1;1;1;1;1;1;1;150;1;1517;39734;1093
HAD;2024;690000880;CENTRE LEON BERARD;690783220;1;1;690044649;;;7896808;2;1;1;3;1;0;1;1;0;;0;1;0;1;;217;;8438;79398;1901
HAD;2024;690788930;HAD SOINS ET SANTE LYON;690001623;1;2;690007588;380008979;;2000000;1;1;1;1;1;0;1;1;0;;1;1;1;1;1;550;1;4426;124898;2548
HAD;2024;700000698;HAD COMTOISE VESOUL;250001161;0;;;;;;1;0;1;1;1;0;0;;1;1;0;1;0;0;;40;;306;13372;213
HAD;2024;710015231;HAD NORD SAONE ET LOIRE;710015223;1;1;710015231;;;359602;1;;1;1;1;0;1;1;1;2;1;1;1;1;1;130;2;1854;47360;1532
HAD;2024;710978289;CH LES CHANAUX MACON;710780263;0;0;;;;215000;2;1;1;1;1;0;0;1;1;2;0;1;0;0;1;60;;730;19228;470
HAD;2024;720000124;CENTRE HOSPITALIER CHATEAU DU LOIR;720000066;0;;;;;;2;0;1;1;1;0;0;0;0;;1;1;1;0;1;30;2;496;8024;349
HAD;2024;720016856;HAD DE LA SARTHE;720008390;1;3;720016856;;;439224;1;0;1;1;1;0;0;;1;1;1;1;0;0;0;87;2;1743;17645;782
HAD;2024;730000031;CHMS - SITE CHAMBERY MCO;730000015;0;;;;;;2;1;1;1;1;0;0;1;1;1;0;1;0;1;1;30;;1349;15033;503
HAD;2024;730000049;CH DE MOUTIERS;730002839;0;;;;;128718;2;1;1;1;2;0;0;1;0;;0;1;0;0;1;25;1;402;4598;194
HAD;2024;730000080;CH DE SAINT JEAN DE MAURIENNE;730780103;0;;;;;42000;2;1;1;1;1;0;0;1;0;;0;1;0;0;;15;;312;5445;89
HAD;2024;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;0;;;;;;2;1;1;1;1;0;0;1;1;1;0;1;0;0;1;35;;429;8879;262
HAD;2024;740000328;HOPITAUX DU LEMAN;740790381;0;;;;;159140;2;1;1;1;1;0;0;1;0;;0;1;0;0;;30;;1061;10585;364
HAD;2024;740010475;HAD HAUTE-SAVOIE SUD;440052041;1;1;740010475;;;350000;1;0;1;1;1;0;0;;0;;1;1;0;0;0;95;1;939;29420;762
HAD;2024;740781141;CH ALPES LEMAN;740790258;0;;;;;328000;2;1;1;1;2;0;0;1;0;;0;1;0;0;0;20;;509;6352;294
HAD;2024;740781224;HOPITAUX DU MONT BLANC SITE SALLANCHES;740001839;0;;;;;110000;2;1;1;1;3;1;0;1;1;1;0;1;1;0;1;14;;229;5421;176
HAD;2024;750042459;HAD CROIX SAINT SIMON;750712341;1;4;750042459;;;12324300;1;0;1;1;1;0;0;;1;1;1;1;1;1;1;450;2;6191;149514;4431
HAD;2024;750806226;HOSPITALISATION A DOMICILE APHP PARIS;750712184;1;24;750806226;;;;1;;1;;;;;;0;;1;1;1;1;;900;2;20293;301553;9004
HAD;2024;760000364;CHI DU PAYS DES HAUTES FALAISES FECAMP;760780734;0;;;;;180000;2;0;1;1;1;0;0;;0;;1;1;0;0;;30;1;349;8577;261
HAD;2024;760000463;CH LES FEUGRAIS CHI ELBEUF;760024042;0;;;;;220000;2;1;1;1;1;0;0;1;0;;0;1;0;0;1;35;;671;10791;462
HAD;2024;760020529;HAD DU CEDRE;760000257;0;;;;;660000;2;0;1;1;2;0;0;0;0;;1;1;0;0;1;60;1;786;13742;519
HAD;2024;760021329;HOPITAL PRIVE DE L'ESTUAIRE;760000448;0;;;;;270000;2;0;1;1;2;0;0;;1;1;0;1;0;0;1;40;;474;9895;387
HAD;2024;760035709;HAD CAUX MARITIME;440052041;0;;;;;;1;0;1;1;1;0;1;;0;;1;1;1;1;0;80;1;833;27550;658
HAD;2024;760783035;HOPITAL CROIX ROUGE BOIS-GUILLAUME;750721334;0;;;;;;2;0;1;1;1;0;0;0;0;;1;1;0;0;1;70;2;1247;19565;760
HAD;2024;770000164;CH SUD SEINE ET MARNE SITE MONTEREAU;770021152;1;3;770000164;770000149;770000214;;2;1;1;1;;0;0;1;0;;0;1;0;0;;80;1;485;20399;337
HAD;2024;770016475;HAD DE L'EST FRANCILIEN 77;440052041;0;;;;;380000;1;0;1;1;1;0;0;1;0;;0;1;0;0;1;100;;774;16753;495
HAD;2024;770021186;GCS HAD REGION DE MELUN - ACTIVITE;770021160;0;;;;;350000;1;;1;1;1;0;0;;1;1;;1;0;0;1;120;2;1161;37628;905
HAD;2024;770021251;HAD NORD SEINE ET MARNE;440052041;0;;;;;500000;1;0;1;1;1;0;0;0;0;;;1;0;0;1;100;;1406;31788;901
HAD;2024;770700011;CENTRE DE READAPTATION DE COUBERT;930027347;0;;;;;1400000;2;0;1;;1;0;0;;0;;1;0;0;0;0;90;1;498;23302;390
HAD;2024;780004529;HAD KORIAN YVELINES SUD INICEA;310021233;0;;;;;1000000;1;0;1;1;1;0;0;;0;;0;1;0;0;0;120;1;1337;44333;1104
HAD;2024;780023545;HAD LEOPOLD BELLAN;750720609;0;;;;;;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;35;;247;13775;181
HAD;2024;790017289;HAD NORD 79;790017271;0;;;;;152000;1;0;1;2;3;0;0;0;1;1;0;1;0;0;;45;;267;9874;202
HAD;2024;790020960;CH NIORT- HAD SUD DEUX SEVRES;790000012;0;;;;;;2;0;;;;0;0;;1;1;0;1;0;1;;100;;1133;37685;587
HAD;2024;800000226;CH DOULLENS;800000069;0;;;;;;2;1;1;1;1;0;0;1;0;;0;1;0;0;1;35;;276;10007;197
HAD;2024;800000523;HAD ASS BOVES;800000853;0;;;;;235000;1;0;1;1;1;0;0;;1;1;1;1;1;1;1;280;1;1506;90599;921
HAD;2024;800015448;HAD CH PÉRONNE;800000093;0;;;;;35907;2;0;1;1;1;0;0;0;1;1;0;1;0;0;1;10;;181;4553;131
HAD;2024;800015489;HAD CH ALBERT;800000036;0;;;;;30078;2;;1;1;;0;0;;0;;0;1;0;0;;14;;172;5440;117
HAD;2024;800015539;HAD CH ABBEVILLE;800000028;0;;;;;;1;1;1;1;2;0;0;0;1;1;0;1;0;0;1;30;;349;9002;289
HAD;2024;800015588;HAD CH HAM;800000077;0;;;;;;2;0;1;1;3;0;0;0;0;;0;1;0;0;0;10;;125;3177;98
HAD;2024;800016768;HAD PAUCHET MONTDIDIER;800003071;0;;;;;;2;0;1;1;3;0;0;;1;1;0;1;0;0;1;15;;232;6878;166
HAD;2024;800016776;HAD CHIMR MONTDIDIER;800000085;0;;;;;;2;0;1;1;3;0;0;;1;1;0;1;0;0;1;15;;242;7488;178
HAD;2024;810000505;CH ALBI;810000331;0;;;;;203074;2;1;1;1;1;0;0;1;0;;0;1;0;0;1;54;;689;16561;423
HAD;2024;810007989;HAD KORIAN PAYS D'OVALIE;310025010;0;;;;;215000;1;0;1;1;1;0;0;;1;1;1;1;1;1;0;60;2;524;18556;402
HAD;2024;820000032;CH MONTAUBAN;820000016;0;;;;;147679;1;1;1;1;2;0;0;1;1;1;0;1;1;0;1;30;;707;7926;329
HAD;2024;820000883;CHI CASTELSARRASIN MOISSAC SITE MOISSA;820004950;0;;;;;79088;2;1;;1;1;0;0;0;1;1;0;1;0;0;1;30;;321;5555;175
HAD;2024;830012498;HOSPITALISATION A DOMICILE ST ANTOINE;830014049;0;;;;;204000;1;0;1;1;;0;0;0;1;2;0;1;0;0;1;80;;594;21625;469
HAD;2024;830019600;HAD CAP DOMICILE ANTENNE OUEST;830000063;1;2;830000063;;;310000;2;0;1;1;2;0;0;0;1;1;0;1;0;0;1;120;;1401;39577;700
HAD;2024;830100392;POLYCLINIQUE NOTRE DAME;830000154;1;0;;;;120000;2;0;1;1;1;0;0;;0;;0;1;0;0;;110;2;671;31553;506
HAD;2024;830207114;HAD SANTE ET SOLIDARITE DU VAR;830001855;0;;;;;800000;1;0;1;1;1;;;;1;3;0;1;0;0;0;485;;3108;176505;2347
HAD;2024;840011340;HADAR;840003164;0;;;;;;1;0;1;1;1;0;0;0;1;1;;1;0;0;1;150;;2315;47217;923
HAD;2024;850006008;HAD DE VENDEE;850005968;0;;;;;704000;1;0;1;3;3;0;1;;1;5;1;1;1;1;1;315;2;3630;92295;2250
HAD;2024;860000223;CHU LA MILETRIE;860014208;1;1;860000025;;;439385;2;1;1;1;1;0;1;1;0;;1;1;0;0;1;80;1;2393;20311;941
HAD;2024;860008929;H.A.D. DE POITIERS;860008879;0;0;;;;436000;1;0;1;1;1;1;1;;1;1;0;1;1;1;;150;;1199;39705;823
HAD;2024;870003514;HOPITAL JEAN REBEYROL LIMOGES;870000015;1;1;870000270;;;401724;2;1;1;1;2;0;0;1;1;1;0;1;0;0;;74;;1634;20337;584
HAD;2024;870004231;H A D SANTE SERVICE LIMOUSIN LIMOGES;870004074;1;3;870004231;870004231;870004231;372000;1;0;1;1;1;0;0;0;1;2;0;1;0;0;1;60;;1110;17917;362
HAD;2024;880000039;CHI HMV - SITE GERARDMER;880009147;0;;;;;154124;2;1;1;1;1;0;;1;1;1;0;1;1;0;1;50;;472;16777;347
HAD;2024;880006606;HAD KORIAN PAYS DES IMAGES;310025010;0;;;;;130000;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;60;;423;14924;283
HAD;2024;880006721;HAD NEUFCHATEAU;310025010;0;;;;;75000;1;0;1;1;1;0;0;0;1;2;0;1;0;0;0;65;;511;17647;375
HAD;2024;890009178;HAD SUD YONNE ET BOURGOGNE NIVERNAISE;750047367;0;;;;;235000;1;0;1;1;1;0;0;0;1;2;1;1;1;1;1;55;2;579;20198;390
HAD;2024;890975543;CH JOIGNY;890000417;1;2;890975543;;;333896;2;1;1;1;1;0;0;1;1;1;1;1;1;1;1;40;2;647;11489;446
HAD;2024;910025410;HAD DE L'ESSONNE INICEA;310021233;0;;;;;1313768;1;0;1;1;1;0;0;;1;1;0;1;0;0;0;80;;498;19630;349
HAD;2024;920300043;HOPITAL PRIVE D ANTONY;920001526;0;;;;;;2;;;;;;;;0;;0;0;1;0;;6;;34;236;30
HAD;2024;920813623;HAD SANTE SERVICE;920029097;0;;;;;;1;0;1;1;1;1;0;0;0;;1;1;1;1;;1972;1;39997;682959;16074
HAD;2024;930000286;GHI LE RAINCY MONTFERMEIL;930021480;0;;;;;;2;1;1;1;1;0;0;1;1;1;0;1;0;0;1;20;;296;6444;207
HAD;2024;930000328;CH GENERAL DELAFONTAINE;930110051;0;;;;;;2;1;1;2;1;0;0;0;1;1;1;0;0;0;;20;1;75;4802;64
HAD;2024;950000323;GHEM SIMONE VEIL SITE EAUBONNE;950013870;0;;;;;599594;2;1;2;2;1;0;1;1;1;1;1;1;0;0;;40;1;576;6428;508
HAD;2024;970100020;CENTRE MEDICO SOCIAL;970100152;0;;;;;;2;0;1;1;1;0;0;;0;;;1;0;0;1;70;;426;33234;313
HAD;2024;970100418;CENTRE HOSPITALIER L-D. BEAUPERTHUY;970100194;0;;;;;61000;2;0;;1;1;0;0;0;0;;0;0;1;0;0;50;1;131;11456;109
HAD;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;0;;;;;;2;0;1;1;;0;0;0;0;;;1;0;0;1;35;;242;13409;205
HAD;2024;970102596;CLINIQUE DE CHOISY;970100491;0;;970111563;970115002;;166911;2;0;1;1;1;0;0;;1;1;0;1;0;0;1;105;;355;31590;299
HAD;2024;970103099;CLINIQUE LES NOUVELLES EAUX MARINES;970100525;0;;;;;70041;2;0;1;1;1;0;0;0;1;1;1;1;0;0;;60;1;357;22087;260
HAD;2024;970111217;H.A.D. DE MARIE-GALANTE;970111209;0;;;;;10000;2;1;1;1;1;0;0;1;1;2;0;1;1;0;0;20;;63;5248;45
HAD;2024;970111365;HAD NORD BASSE TERRE;970111969;0;;;;;98813;1;0;1;1;1;0;0;;0;;0;1;1;1;0;90;;391;26073;318
HAD;2024;970111563;HAD ILES DU NORD;970100491;0;;;;;35927;1;;1;1;1;0;0;;1;2;0;1;0;0;1;85;;258;28188;188
HAD;2024;970112033;C.H.G. JACQUES SALIN;970100210;0;;;;;87788;2;0;1;1;1;0;0;;0;;0;0;0;0;0;35;;136;10857;125
HAD;2024;970115002;CLINIQUE DE CHOISY HAD ST BARTHELEMY;970100491;0;;;;;10124;1;0;1;1;1;0;0;;1;2;0;1;0;0;1;35;;102;9606;69
HAD;2024;970212833;CLINIQUE DE LA TOUR HOSP. A DOMICILE;970212825;0;;;;;350000;1;0;1;1;1;0;0;0;0;;0;1;0;0;;200;;1198;62741;860
HAD;2024;970303608;HAD GUYANE ANTENNE DE KOUROU;970303590;0;;;;;31200;2;1;1;1;1;0;0;1;1;1;1;1;1;1;0;100;1;129;4500;100
HAD;2024;970303640;HAD GUYANE ANTENNE DE CAYENNE;970303590;0;;;;;140000;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;100;1;424;15007;353
HAD;2024;970303657;HAD GUYANE - ANTENNE DE SAINT-LAURENT;970303590;0;;;;;;1;;;;;;;;1;1;1;1;1;1;;100;1;116;8279;90
HAD;2024;970304614;H.A.D DE LA CLINIQUE ST PAUL;970304739;0;;;;;;2;0;1;1;1;0;0;;1;1;;1;0;0;0;65;;277;35826;218
HAD;2024;970403119;HAD SUD (ST PIERRE) ASDR;970463600;1;4;970404851;970406625;970410783;307000;1;0;1;1;1;0;0;;1;2;0;1;0;0;0;120;;744;32685;588
HAD;2024;970404711;ARAR HAD NORD;970400396;1;4;970407318;970405395;970407656;181901;1;0;1;1;1;0;1;0;0;;0;1;0;0;;40;1;259;9436;143
HAD;2024;970404851;HAD EST (ST-ANDRE) ASDR;970463600;1;4;970406625;970410783;970403119;155500;1;0;1;1;1;0;0;;1;2;0;1;0;0;0;70;;356;19688;252
HAD;2024;970405395;ARAR HAD SUD;970400396;1;4;970407318;970407656;970404711;298934;1;0;1;1;1;0;1;0;0;;1;1;0;0;0;55;1;251;9515;195
HAD;2024;970406625;HAD OUEST (LA POSSESSION) ASDR;970463600;1;4;970404851;970410783;970403119;235800;1;0;1;1;1;0;0;;1;2;0;1;0;0;0;90;;555;21810;409
HAD;2024;970407318;ARAR HAD OUEST;970400396;1;4;970404711;970407656;970405395;228969;1;0;1;1;1;0;1;0;0;;1;1;0;0;;60;1;296;10633;178
HAD;2024;970407656;ARAR HAD EST;970400396;1;4;970404711;970407318;970405395;151092;1;0;1;1;1;0;1;0;0;;1;1;0;0;;35;1;223;9691;147
HAD;2024;970410783;HAD NORD (STE CLOTILDE) ASDR;970463600;1;4;970406625;970404851;970403119;187400;1;0;1;1;1;0;0;;1;2;0;1;0;0;0;70;;425;20812;309
HAD;2024;980500011;CHM;980500003;0;;;;;400000;2;1;1;1;1;0;0;1;1;1;0;1;1;0;1;75;;103;7895;11
HAD;2024;980502298;SAS MDZHADE;980502280;0;;;;;50;1;0;1;3;1;0;0;0;0;;0;1;0;0;0;50;;184;15897;144
