"FI";"FI_EJ";"RS_ET";"AN";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"BIOGENSPE";"MICROBIO";"HEMATO";"IMMUNO";"GENE";"ASSISTMED";"ANOTO";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL"
"060000304";"060780657";"CH DE BREIL SUR ROYA";"2024";5;0;0;5;130;0;0;130;1696;0;0;1696;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;10;89;2814;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;1;0;0;0;0;0;0;0;0;1;7;7;0;0;0;0;0;0;0;0;7;0,3;0,3;0;0;0;0;0;0;0;0;0,3;;;0;2;0;6;10;8;1;1;28;1;0;8;0;0;4;0;0;0;36;49;77;0;2;0;6;8,83;4,31;1;0,07;22,21;0,07;0;2,2;0;0;1,95;0;0;0;6,08;10,3;32,51;;;;;;;;5;0;10;0;65;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"060000411";"060780780";"CH DU PAYS DE LA ROUDOULE A PUGET";"2024";6;;;6;71;0;0;71;1092;0;0;1092;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;123;4845;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0,75;0,75;0;0;0;0;0;0;0,1;0;0,85;;;0;0;0;6;12;3;0;2;23;0;0;10;0;0;3;0;0;0;26;39;62;0;0;0;5,8;12;3;0;0,42;21,22;0;0;1,91;0;0;0,18;0;0;0;1,68;3,77;24,99;;;;;;;;6;0;15;0;164;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"060000486";"060780905";"CH SAINT ELOI DE SOSPEL";"2024";12;;;12;279;0;0;279;3643;0;0;3643;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;126;4022;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0;6;9;3;0;1;20;0;0;19;2;0;3;0;1;0;43;68;88;0;0,71;0;5,8;6,59;3,58;0;0,09;16,77;0;0;6,42;0,28;0;1,72;0;1;0;7,29;16,71;33,48;;;;;;;;12;0;13;0;185;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"060000494";"060780921";"CH SAINT LAZARE DE TENDE";"2024";5;0;0;5;51;0;0;51;1026;0;0;1026;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;2;1;2;0;0;5;0;0;6;0;0;1;0;0;0;9;16;21;0;0;0;1,16;1;1,51;0;0;3,67;0;0;0,8;0;0;0,6;0;0;0;3,02;4,42;8,09;;;;;;;;5;;;;50;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"070000062";"070005558";"CH DE BOURG SAINT ANDEOL";"2024";8;;;8;164;0;0;164;2961;0;0;2961;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;22;300;6202;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0,5;0;0,5;;1;0;2;0;13;22;1;1;4;43;2;0;8;1;1;1;0;0;0;7;19;62;0;1,3;0;11,05;20,46;0,2;0,8;2,53;36,34;0,6;0;3,45;0,5;0,5;0,4;0;0;0;4,51;9,46;45,8;;;;;;;;8;;22;;291;1;0;0;;;;;;;;;;;;;;;;;;;;;;
"070000021";"070007927";"CH DE JOYEUSE";"2024";15;;;15;384;0;0;384;5957;0;0;5957;0;;;0;5;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;18;231;4665;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0,93;0,81;0;0;0;0;0;0;0;0;0,93;4;3,33;0;2;0;14;21;4;1;3;45;1;0;10;2;1;2;0;0;0;14;29;74;0;0,9;0;14;14,68;3,15;0,4;1,89;35,02;0,17;0;2,6;0,89;0,56;1,76;0;0;0;3,08;8,5;43,52;;;;;;;;15;;18;;110;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"070000112";"070007927";"CH LEOPOLD OLLIER";"2024";15;;;15;335;0;0;335;4340;0;0;4340;0;;;0;6;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0;8;6;2;1;2;20;1;0;10;1;1;2;0;0;0;14;28;48;0;1,1;0;7,93;6;1,08;0,04;0,47;16,62;0,17;0;1,75;0,4;0,4;1,7;0;0;0;4;8,02;24,64;;;;;;;;15;;;;145;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"070000039";"070780119";"CH DE VALLON PONT D'ARC";"2024";16;;;16;129;0;0;129;1366;0;0;1366;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;10;186;4102;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;1;0;0;0;0;0;0;3;0;4;2;2;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;1,3;0;2,3;;;0;1;0;8;10;4;0;3;26;1;0;8;1;1;1;0;0;0;3;14;40;0;1;0;6,9;8,4;2,5;0;1,57;20,37;0,5;0;2,76;0,32;0,32;0,5;0;0;0;1,3;5,38;25,75;;;;;;;;16;0;10;0;113;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"070000047";"070780127";"CH DE VILLENEUVE DE BERG";"2024";12;0;0;12;414;0;0;414;4826;0;0;4826;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;35;369;8918;0;0;75;40;23030;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;1;0;0;0;0;0;0;3;0;6;1;1;0;0;0;0;0;0;0;0;1;2,5;1;0;0;0;0;0;0;1,22;0;3,72;;;0;2;0;36;75;30;1;8;152;4;1;19;3;2;4;0;0;0;33;64;216;0;1,83;0;29;61,73;23,97;0,8;3,88;121,21;2,33;1;9,66;2,04;1,04;3,6;0;0;0;26,56;45,19;166,4;;;;;;;;12;;35;75;217;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"070000070";"070780150";"CH DU CHEYLARD";"2024";20;0;0;20;479;0;0;479;3454;0;0;3454;2;0;0;2;7;0;0;7;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;244;3914;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;1;137;0;0;0;0;0;0;0;;;1;1;0;0;0;0;0;0;1;0;2;7;7;0;0;0;0;0;0;0;0;7;0,5;0,5;0;0;0;0;0;0;0,8;0;1,3;;0;0;2;0;13;16;5;2;3;41;0;0;6;1;1;2;0;2;0;9;20;61;0;1,41;0;10,96;14,55;3,15;0,6;1,4;32,07;0;0;4,29;0,5;0,5;0,52;0;1,04;0;5,33;11,68;43,75;;;;;;;;20;0;15;0;99;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"070000096";"070780184";"HÔPITAL DE MOZE";"2024";9;;;9;366;0;0;366;2789;0;0;2789;6;;;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;21;439;7529;0;0;;;;;;;;;;;;;;;;0;;;1;0;;0;0;0;;;;;;0;;0;;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;1;0;8;2;0;0;0;3;0;0;0;0;0;5;1,84;1,68;0;0;0;0;0;0;0,58;0;2,42;1;;5;1;0;11;12;7;1;3;40;1;0;10;0;0;2;0;0;0;14;27;67;1,88;1;0;8,56;9,9;5,54;0,27;1,95;29,1;1;0;5,69;0;0;0,75;0;0;0;6,71;14,15;43,25;;;;;;;;9;;21;;80;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"070000187";"070780366";"CH DE LAMASTRE";"2024";12;;;12;377;0;0;377;3832;0;0;3832;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;27;218;5561;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;0;0;0;0;0;0;0;1;0;2;3;3;0;0;0;0;0;0;0;0;3;0,41;0;0;0;0;0;0;0;0,6;0;1,01;;;0;2;0;14;12;2;1;4;35;0;0;13;1;1;4;0;2;0;9;29;64;0;1,4;0;13,04;11,3;2,01;0,21;2,72;30,68;0;0;5,98;0,4;0,4;2,01;0;1,13;0;6,06;15,58;46,26;;;;;;;;12;;27;;;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"070000195";"070780374";"CH DE TOURNON SUR RHONE";"2024";38;;;38;1181;0;0;1181;10327;0;0;10327;;;;;0;0;0;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;23;268;8170;0;0;;;;;;;;;;;;;;;;0;;;1;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;2;1;9;0;0;0;0;0;0;0;0;0;0;0;4,56;3,4;0;0;0;0;0;0;1,21;0,04;5,81;2;1,66;6;3;0;29;44;12;2;4;100;1;0;17;4;2;3;0;1;0;22;48;148;4,28;2,24;0;23,57;35,51;3,98;0,82;2,62;73,02;0,82;0;11,27;2,46;1,55;1,02;0;0,5;0;11,96;28,03;101,05;;;;;;;;38;;23;;144;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"070000203";"070780382";"CH DE SAINT FELICIEN";"2024";11;;;11;145;0;0;145;1765;0;0;1765;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;24;275;7542;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;1;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;1;0,98;0,98;0;0;0;0;0;0;0,75;0;1,73;;;0;1;0;10;15;3;1;3;33;1;0;10;1;0;3;0;0;0;16;31;64;0;1;0;10,69;12,41;1,17;0,2;1,28;26,75;0,15;0;4,93;0,2;0;0,5;0;0;0;4,6;10,38;37,13;;;;;;;;11;;24;;103;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"080000276";"080001969";"CH DE VOUZIERS";"2024";24;0;0;24;444;0;0;444;5378;0;0;5378;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;24;192;5665;0;0;20;16;6133;;;;;;;;;1;0;0;0;0;;;1;0;;0;0;0;;;;;;0;;0;;0;0;0;0;0;0;0;6;3;3;0;1;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;10,85;4,85;4,6;0,37;0,16;0,01;0;0;0;0,3;11,31;;;0;1;0;18;15;8;0;2;44;0;0;8;2;1;0;0;0;0;18;28;72;0;0,94;0,1;22,37;13,95;7,25;0,38;0,19;45,18;0,49;0;11,42;1,86;0,86;0;0,5;0,93;0;18,54;33,74;78,92;;;;;;;;;;;;;;;;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;
"080000284";"080011174";"CH DE FUMAY";"2024";15;;;15;372;0;0;372;3443;0;0;3443;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;232;5527;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,42;0,4;0;0;0,04;0;0;0;0;0;1,46;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53;1,03;0;16,79;17,06;4,63;0;0,3;40,34;0;0;5,47;0;0;0;0;1,63;0;10,19;17,29;57,63;;;;;;;;;;;;;;;;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;;;;;;
"080000300";"080011174";"CH DE NOUZONVILLE";"2024";8;;;8;155;0;0;155;1989;0;0;1989;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;8;117;3309;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,68;0;0;0;0;0;0;0;0;0;0,68;;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,03;0;8,38;9,06;5,46;0;0,09;24,02;0;0;1,86;0,05;0;0;0;0;0;0,55;2,46;26,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"090001629";"090781774";"CHIVA SITE LAVELANET";"2024";23;;;23;377;0;0;377;6497;0;0;6497;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;226;8232;0;0;;;;;;;;;;;;;;;;0;;;1;0;;0;0;0;;;;;;0;;0;;0;0;0;0;0;0;0;8;6;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;5,74;3,63;0;0;0,16;0,06;0;0;0;0,1;6;;;2;2;0;20;39;14;1;2;80;0;0;6;2;1;3;0;3;0;2;16;96;0,5;2;0;20,47;33,21;12,03;0,4;1,86;70,47;0;0;6,58;2;1;2,28;0;2,15;0,3;2,21;15,52;85,99;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"100000116";"100000041";"CH DE BAR SUR AUBE";"2024";20;;;20;512;0;0;512;7778;0;0;7778;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;25;298;7233;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;2;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1,74;0;3,74;1;0,17;0;3;0;17;28;11;1;3;63;0;0;9;3;1;4;0;0;0;25;41;104;0;2,31;0;16,53;25,85;9,6;1;2,32;57,61;0;0;9,24;2,25;1;3,68;0;0;0;23,09;38,26;95,87;;;;;;;;20;;25;0;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"100000140";"100000058";"CH DE BAR-SUR-SEINE";"2024";10;;;10;286;0;0;286;2090;0;0;2090;4;;;4;94;0;0;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;23;337;9167;0;0;30;26;10432;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2,2;1,2;0;0;0;0;0;0;0;0;2,2;2;0,16;0;0;0;27;49;12;2;7;97;0;0;11;4;2;0;0;0;0;23;38;135;0;0;0;18,56;26,75;10,28;1,23;4,05;60,87;0;0;9,14;1,67;1,36;0;0;0;0;21,04;31,85;92,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"510000177";"100006279";"CENTRE HOSPITALIER DE SEZANNE";"2024";10;0;0;10;492;0;0;492;5106;0;0;5106;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;17;170;3144;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2,06;0,14;0;0;0;0;0;0;0;0,15;2,21;1;1,53;0;0;0;13;21;6;1;2;43;0;0;4;2;0;0;0;2;0;21;29;72;0;0,17;0;11,69;20,5;4,85;0,51;0,66;38,38;0;0;3;2,7;0,64;0;0;1,12;0;19,5;26,32;64,7;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"110000049";"110780087";"CH JEAN PIERRE CASSABEL";"2024";25;;;25;1541;0;0;1541;7912;0;0;7912;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;25;237;7443;0;0;30;27;10477;;;;;1;12407;0;;;;;;0;;;1;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;1;16;8;3;0;0;0;0;0;3;1;20;0;0;0;0;0;0;0;0;0;0;0;10,72;6,26;2,35;0;0;0;0;0;1,51;0,1;12,33;;;0;6;1;39;55;33;2;5;141;5;0;34;3;2;4;0;8;0;33;87;228;0;4,7;1;37,17;53,34;32,12;0,29;4,75;133,37;4,81;0;33,37;1,48;1,27;3,43;0;8,84;0;32,96;84,89;218,26;;;;;;;;25;;15;30;120;1;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;;;;;;
"110000189";"110780707";"CH LIMOUX QUILLAN SITE DE LIMOUX";"2024";30;;;30;457;0;0;457;8556;0;0;8556;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;29;351;10496;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;10;3;0;0;1;1;0;0;2;2;15;9;9;0;0;0;0;0;0;0;0;9;5,02;2,03;0;0;0,1;0,1;0;0;1,86;1,2;8,18;1;1;0;2;0;21;22;10;0;12;67;4;1;24;2;1;2;0;4;0;44;81;148;0;1,5;0;20,97;21,58;9;0;10,1;63,15;4;1;22,5;1,3;0,8;1,91;0;2,34;0;41,86;74,91;138,06;;;;;;;;30;;29;;;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;
"110780236";"110780707";"CH LIMOUX QUILLAN SITE DE QUILLAN";"2024";12;;;12;222;0;0;222;3953;0;0;3953;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;15;158;4326;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;1;0;0;0;0;0;0;0;0;4;8;8;0;0;0;0;0;0;0;0;8;2,25;1;0;0;0;0;0;0;0;0;2,25;;;0;1;0;9;11;8;1;5;35;0;0;2;1;1;0;0;0;0;2;5;40;0;0,5;0;7,87;10,47;7,86;0,26;2,4;29,36;0;0;1,5;0,2;0,2;0;0;0;0;1,4;3,1;32,46;;;;;;;;12;;15;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"110000247";"110780772";"CH LEZIGNAN CORBIERES";"2024";37;;;37;1259;0;0;1259;9885;0;0;9885;2;;;2;127;0;0;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;37;247;12252;0;0;30;19;10980;20;101;3765;87;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;6;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3,07;2,87;0;0;0;0;0;0;0;0;3,07;;;0;5;0;44;61;15;2;4;131;1;0;18;2;1;3;0;0;0;32;56;187;0;4,67;0;43,01;59,46;14,86;0,79;2,18;124,97;1;0;16,29;1,12;0,78;2,54;0;0;0;30,08;51,03;176;;;;;;;;37;0;37;30;189;1;1;0;;;;;;;;;;;;;;;;;1;0;;697;1;4
"120000088";"120780093";"CH ETIENNE RIVIE ST GENIEZ D'OLT";"2024";6;;;6;86;0;0;86;1762;0;0;1762;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;24;206;6513;0;0;30;19;6981;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;1;0;0;0;0;0;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;1,15;1,15;0;0;0;0;0;0;2,9;0;4,05;;;0;2;0;12;25;16;1;5;61;0;0;9;3;1;3;0;0;0;23;38;99;0;1,81;0;11,03;26,16;15,8;0,71;3,83;59,34;0;0;8,06;1,62;0,4;3,06;0;0;0;22,22;34,96;94,3;;;;;;;;6;;24;30;124;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
