BOR;AN;FI;RS;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A26;DIM_A27;DIM_A18;DIM_A19;DIM_A20;DIM_A28;DIM_A29;DIM_A30;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A31;DIM_A25;DIM_A32
INFOMED;2024;230000952;CTRE HOSPITALIER MOYEN SEJOUR EVAUX;230780512;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;230780066;;;0.1;
INFOMED;2024;230000960;CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE;230780520;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0.03;
INFOMED;2024;230780082;CENTRE MEDICAL NATIONAL SAINTE FEYRE;750005068;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;;0.81;;0.65;
INFOMED;2024;230780157;CLINIQUE DE LA MARCHE GUERET;230000861;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;1;1;870000288;0.8;;0.1;
INFOMED;2024;230780181;CLINIQUE CHATELGUYON VIERSAT;230000879;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.2;0.2;;
INFOMED;2024;230782617;CRRF ANDRE LALANDE;920028560;;;;0;1;0;0;1;0;;;;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;;1.3;1.3;0.35;0.35
INFOMED;2024;240000091;CH DE LANMARY;240000034;;;;;;;;;1;;;;0;0;0;0;0;;;0;0;0;;;;;0;240000489;0.5;;;
INFOMED;2024;240000174;CENTRE HOSPITALIER DE BELVES;240000042;;;1;;;;;;1;;;;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;240000083;0.1;;0;
INFOMED;2024;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;;;1;;;;;;;;;;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;;4.5;2.5;0.28;0.28
INFOMED;2024;240000208;CLINIQUE PASTEUR;240000612;0;0;1;;;;0;0;1;;;;1;0;1;1;1;1;1;0;;;;;;;0;;1.2;;;
INFOMED;2024;240000216;CLINIQUE DU PARC;240000620;;;1;;;;;;;;;;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;;2;2;0.25;
INFOMED;2024;240000273;CLINIQUE PIERRE DE BRANTOME;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;;920030269;0.3;;0.1;
INFOMED;2024;240000307;CENTRE MEDICAL CHATEAU DE BASSY;330056540;;;;;;;1;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.19;0.05;0.06;
INFOMED;2024;240000372;C.H DE BERGERAC;240000059;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;;3.61;3;0.78;0.78
INFOMED;2024;240000414;CENTRE HOSPITALIER DE DOMME;240000067;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;1;240000117;0;;0.1;
INFOMED;2024;240000455;CENTRE HOSPITALIER D'EXCIDEUIL;240000075;1;;;;;;1;;;;;;1;1;1;1;1;1;0;0;;;;;;;1;240000489;0.07;0.07;0;0
INFOMED;2024;240000463;CENTRE HOSPITALIER VAUCLAIRE;240000083;;1;;;;;;1;;1;;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;240000489;2;;0.3;
INFOMED;2024;240000471;CENTRE HOSPITALIER DE NONTRON;240000109;1;0;0;;;;1;0;0;;;;0;0;0;0;0;;;0;;;;;;0;0;;;;;
INFOMED;2024;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;0;1;0;0;1;;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;;7;6;1.5;0.5
INFOMED;2024;240000505;CENTRE HOSPITALIER DE RIBERAC;240016055;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;240000117;0.06;;0.05;
INFOMED;2024;240000513;CENTRE HOSPITALIER DE SAINT-ASTIER;240000141;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;240000117;;;;
INFOMED;2024;240000646;FONDATION JOHN BOST;240000265;;;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;;;;;;1;0;;1;1;0.05;
INFOMED;2024;240000661;CENTRE MEDICALISE DE LOLME;240000281;;;;;;;0;0;1;;;;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;;0.3;;0.1;
INFOMED;2024;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;240000117;1;;0.3;
INFOMED;2024;240002402;CENTRE DE REEDUCATION LA LANDE;240003251;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;;;;0.28;
INFOMED;2024;240008318;CENTRE DE SOINS LE VERGER DES BALANS;240002428;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0.1;
INFOMED;2024;240011668;HAD DE LA CLINIQUE PASTEUR;240000612;;;;1;;;;;;;;;1;1;1;1;1;1;1;0;1;0;0;0;0;0;;;1.2;;0.4;
INFOMED;2024;250000270;CLINIQUE SAINT VINCENT BESANCON;250000643;;;1;;;;;;1;;;;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;;3.8;3.8;1;1
INFOMED;2024;250000288;CLINIQUE SAINT PIERRE PONTARLIER;250000643;;;;;;;;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;1;;0.1;
INFOMED;2024;250000544;CRRF LES SALINS DE BREGILLE;250002284;;;;;;;0;0;1;;;;0;0;0;0;0;0;0;0;;;;;;0;0;;0;0;0.1;
INFOMED;2024;250000627;CH PAUL NAPPEZ MORTEAU;250000221;;;1;;;;;;1;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;1;250000700;0.8;;;
INFOMED;2024;250000635;CH SAINTE CROIX BAUME LES DAMES;250000239;;;1;;;;;;1;;;;1;0;1;1;1;0;0;0;;;;;;0;0;;0;;0;
INFOMED;2024;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;0;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;3.42;3.02;1.57;1.57
INFOMED;2024;250000718;CHS NOVILLARS;250000460;;;1;;;;;;;1;;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;1;;0.98;
INFOMED;2024;250000726;CH SAINT LOUIS ORNANS;250000478;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;210780581;0.7;0;0.01;0
INFOMED;2024;250000759;CENTRE DE SOINS TILLEROYES;250000569;;;;;;;;;0;;;;0;0;0;0;0;0;0;;;;0;;;;1;390780476;1;1;;
INFOMED;2024;250000882;ETABLISSEMENT DE SANTE DE QUINGEY;250002839;;;;;;;0;1;0;;;;0;0;0;0;0;0;1;1;0;1;1;1;1;;0;;0.2;0.2;0.7;0.7
INFOMED;2024;250005196;HOPITAL DE JOUR VELOTTE;250001013;;;;;;;;;;1;;;0;1;1;1;1;0;0;0;;;;;;;1;250000718;;;0.01;0.01
INFOMED;2024;250006954;CHU JEAN MINJOZ BESANCON;250000015;0;1;0;;;;;;;1;0;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;;15.32;11.8;4;3
INFOMED;2024;250011848;POLYCLINIQUE DE FRANCHE COMTE;690046347;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;;3.2;2.2;0.2;0.2
INFOMED;2024;250012069;HAD COMTOISE PONTARLIER;250001161;;;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;;0.2;;0.25;
INFOMED;2024;250014008;CHS ST REMY ET NFC CTRE JEAN MESSAGIER;700004096;;;;;;;;;;;;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;700004096;0.9;0.6;0.06;
INFOMED;2024;250016003;CRCPFC LES HAUTS DE CHAZAL;250006335;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;700004575;0.16;0.16;0.05;0.05
INFOMED;2024;250016037;HAD COMTOISE ETUPES;250001161;;;;1;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0.3;;0.25;
INFOMED;2024;250016045;HAD COMTOISE CHÂTILLON LE DUC;250001161;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;;;;;;1;0;;1;;0.25;
INFOMED;2024;250021078;CLINIQUE DU PAYS DE MONTBELIARD;250021060;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;0.4;0.4;0.1;0.1
INFOMED;2024;260000013;CH DE VALENCE;260000021;0;1;0;;;;0;1;0;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;8.86;8.86;2.5;2.5
INFOMED;2024;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;;3.8;;0.5;
INFOMED;2024;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;;;1;1;;;;;1;;;;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;;6.5;6.5;2;2
INFOMED;2024;260000146;CH DE CREST;260000054;0;0;1;0;0;1;;;;;;;0;0;0;0;0;1;1;0;;;;;;1;1;260000013;2;;0.3;
INFOMED;2024;260000195;CLINIQUE PNEUMOLOGIE LES RIEUX;010783009;0;0;1;0;0;0;0;0;;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;;0.2;;0.1;
INFOMED;2024;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;4;;1;
INFOMED;2024;260000260;CLINIQUE LA PARISIERE;260000377;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;;1.6;;0.1;
INFOMED;2024;260000278;CH DE BUIS LES BARONNIES;260000096;1;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;260000047;0.6;;0.09;
INFOMED;2024;260000286;CH DU DIOIS;260000104;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;;0.6;0.6;0;0
INFOMED;2024;260000302;ETABLISSEMENT MEDICAL LA TEPPE;260000161;;;;;;;;;;;;1;1;;1;1;1;;;0;0;0;;;0;0;0;;;;;
INFOMED;2024;260000823;CH DROME-VIVARAIS;260003264;;;;;;;;;;1;;;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;;0.63;;0.27;
INFOMED;2024;260003017;CLINIQUE KENNEDY;260000781;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1.78;1.28;0.1;
INFOMED;2024;260006267;CLINIQUE GENERALE VALENCE;070000245;;1;;;;;;1;;;;;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;;2.9;;;
INFOMED;2024;260017454;DIEULEFIT SANTE;260016761;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;260000047;0.3;0.3;0.1;0.1
INFOMED;2024;260021795;SSR LE SAFRAN LADAPT;930019484;;;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;1;;
INFOMED;2024;270000045;CH BERNAY;270000060;0;0;1;;;;0;0;1;;;;0;0;0;0;0;0;1;;;;;;;;1;;2.1;;0;
INFOMED;2024;270000326;HOPITAL PRIVE PASTEUR;270000680;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;;1;1;0.2;0.2
INFOMED;2024;270000342;INSTITUT MEDICAL SPECIALISE DE L'EURE;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;270000359;CH EURE SEINE EVREUX;270023724;1;;;;;;;;;;;;0;0;0;0;0;0;1;0;;;;;;;0;;14.01;;2.53;
INFOMED;2024;270000367;CH GISORS;270000086;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;;2;;;
INFOMED;2024;270000417;CSMR L'HOSTREA;760025734;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;540019726;0.6;0.6;0.2;0.2
INFOMED;2024;270000425;CH PONT-AUDEMER;270000102;;;1;1;;;;;1;;;;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;760780726;1.04;;0.27;
INFOMED;2024;270000441;CH VERNEUIL-SUR-AVRE;270000110;;;1;;;1;;;1;;;;0;0;0;0;0;0;0;0;;;;;;1;1;270023724;1;;0.15;
INFOMED;2024;270000458;CH VERNON CH EURE-SEINE;270023724;;;1;;;;;;1;;;;0;0;0;0;;0;1;0;;;;;;;0;;1;;;
INFOMED;2024;270000474;CENTRE HOSPITALIER SAINT JACQUES;270000136;;;;;;;1;;;;;;1;1;1;0;0;0;0;0;;;;;;0;1;760782227;0;;0;
INFOMED;2024;270000482;CH BOURG ACHARD;270000144;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;;0.05;;;
INFOMED;2024;270000516;HL LE NEUBOURG;270000177;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;;;;;;0;1;760000463;0.4;;0.05;
INFOMED;2024;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;;;;;;;;;;1;;;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;3;;0.88;
INFOMED;2024;270000862;CLINIQUE BERGOUIGNAN;270000953;;;1;;;;;;;;;;0;0;0;0;0;;;0;0;0;0;0;0;1;0;;1;;0.2;
INFOMED;2024;270000870;CLINIQUE LES BRUYERES;920031770;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;270000896;LADAPT EURE;930019484;;;;;;;;0;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;0.39;0.39;;
INFOMED;2024;270000912;HOPITAL LA MUSSE;750814030;;;;;;;0;1;0;;;;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;;4.8;;0.1;
INFOMED;2024;270016058;HAD EURE SEINE;750047367;;;;;1;;;;;;;;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;;1;1;0.03;0.03
INFOMED;2024;270025984;CLINIQUE LA MARE Ô DANS;270029275;;;;;;;;;;1;1;;0;0;0;0;1;0;0;0;;;;;;0;0;;0.2;;;
INFOMED;2024;270027279;CLINIQUE DES PORTES DE L'EURE;270027881;;;;;;;;;;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;;0.2;0.2;0.1;0.1
INFOMED;2024;280000050;CH BONNEVAL;280000142;;;;;;;;;;1;;;0;0;0;0;0;0;0;0;;;;;;0;0;;2.08;1;;
INFOMED;2024;280000084;CH DREUX;280000183;0;1;0;0;0;0;0;1;;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;;;4;4;0;
INFOMED;2024;280000100;CH DE LA LOUPE;280000225;0;0;1;;;;0;0;1;;;;0;0;0;0;0;0;1;0;;;;;;0;1;280500075;0.1;0.1;0.07;
INFOMED;2024;280000266;CRF BEAUROUVRE SITE DE BLANDAINVILLE;450018106;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;;;0;0;;0.2;;;
INFOMED;2024;280000431;KORIAN PARC DE GASVILLE;310021167;;;;;;;0;0;1;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;0.1;;0.1;
INFOMED;2024;280000449;INSTITUT MEDICAL SPECIALISE;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;280000662;CH CHATEAUDUN;280500075;;;1;;;;;1;;;;;0;0;0;0;0;0;0;;0;0;0;1;1;;0;;2;2;0.6;
INFOMED;2024;280001678;ASSAD HAD D'EURE ET LOIR;370001638;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;;0.5;0.5;0.07;0.07
INFOMED;2024;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;280000662;4;2;0.33;0.33
INFOMED;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;;;;;;1;;;1;;;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;8;;1;
INFOMED;2024;280504689;NEPHROCARE VERNOUILLET;940000060;;;1;;;;;;;;;;0;0;1;1;1;1;;0;0;0;0;0;0;0;1;690780499;;;0.05;
INFOMED;2024;280505264;CLINIQUE LA BOISSIÈRE;280006370;;;;;;;;1;;;;;0;0;0;1;0;;;0;0;0;0;0;0;0;0;;0.4;;0.15;
INFOMED;2024;280505777;HOPITAL PRIVE D'EURE ET LOIR;280001199;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;;2.5;0;0;0
INFOMED;2024;280506015;LE C.A.L.M.E. ILLIERS COMBRAY;280001264;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;;1.37;1.37;0.01;
INFOMED;2024;290000025;CHIC QUIMPER;290020700;;1;;;;;;;;;;;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;;10.95;8.95;2;0
INFOMED;2024;290000033;C.H. DES PAYS DE MORLAIX;290021542;0;0;1;;;;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;;5.26;4.46;1.6;0.8
INFOMED;2024;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;;3;3;0.86;0.46
INFOMED;2024;290000140;CLINIQUE PASTEUR LANROZE;290000447;;;1;;;;;;;;;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;2.5;2.5;;
INFOMED;2024;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;;2;2;1.4;1.4
INFOMED;2024;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;;1;290020700;2.85;2.85;0.13;0.13
INFOMED;2024;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;;1.6;1.6;0.81;0.51
INFOMED;2024;290000272;CENTRE HOSPITALIER CROZON;290000090;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;290025519;0;0;0;0
INFOMED;2024;290000322;CENTRE HOSPITALIER LESNEVEN;290000108;;;1;;;;;;1;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;290000017;0.4;;0.05;
INFOMED;2024;290000363;CLINIQUE DE KERFRIDEN;920030269;;;;;;;;;;;1;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;290000371;CLINIQUE LES GLENAN;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;290000389;CENTRE HOSPITALIER LANMEUR;290000116;0;0;1;;;;0;0;1;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.6;0.5;0;
INFOMED;2024;290000686;CENTRE DE SOINS DE SUITE DE KERAMPIR;440042844;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;;0.02;0.02;0.12;0.12
INFOMED;2024;290000728;HOPITAL INSTR ARMEES CLERMONT-TONNERRE;750821092;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;290000728;2;0.9;0.8;0.2
INFOMED;2024;290000744;CLINIQUE PEN AN DALAR;290001007;;;;;;;;;;;;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;0.5;;0.2;
INFOMED;2024;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;;;1;;;1;;;1;;;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;;1.74;;1;
INFOMED;2024;290000827;FONDATION ILDYS SITE DE TY-YANN;290000546;;;;;;;1;0;0;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;;1.07;;0.45;
INFOMED;2024;290000850;CTRE NEPHROLOGIE B BRAUN AVITUM BREST;920040862;0;1;0;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;0;0;;0.05;;0.05;
INFOMED;2024;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;;2.44;;0.8;
INFOMED;2024;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;;;1;;;;1;;;1;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;2.74;2.74;;
INFOMED;2024;290000975;FONDATION ILDYS SITE DE PERHARIDY;290000546;1;;;;;;1;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;;1.17;;0.49;
INFOMED;2024;290000983;FONDATION ILDYS SITE ST LUC;290000546;;;;;;;1;0;0;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;;0.16;;0.07;
INFOMED;2024;290001015;CENTRE HOSPITALIER ST RENAN;290000751;;;1;;;;;;1;;;;0;0;0;0;0;;;1;1;0;;;;0;;;0.3;;;
INFOMED;2024;290002344;POLE RÉADAPT DE CORNOUAILLE SAINT YVI;440042844;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;;0.1;;0.2;
INFOMED;2024;290003953;CRF DE TREBOUL;920030269;;;;;;;;1;;;;;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;920030269;0.3;;0.1;
INFOMED;2024;290004142;CLINIQUE DU GRAND LARGE;290022508;;;1;;;;;;;;;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;1.07;;0;0
INFOMED;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;;12.7;7.7;0.86;0.46
INFOMED;2024;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;0.4;0.4;0.5;0.49
INFOMED;2024;290004365;CHU BREST SITE GUILERS;290000017;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;;0.4;0.4;0.86;0.76
INFOMED;2024;290007905;AJD SSR PÉDIATRIQUE POLYVALENT;750826307;;;;;;;0;1;0;;;;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;;0.09;;;
INFOMED;2024;290019777;POLYCLINIQUE DE KERAUDREN;290022508;;;1;;;;;;;;;;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;;4;;;
INFOMED;2024;290023431;SAS CLINIQUE DE LA BAIE;290001049;1;;;;;;;;;;;;0;0;0;0;0;;;1;1;0;0;0;0;1;0;;1.8;;0.01;
INFOMED;2024;290036375;HAD DU PONANT SITE CLINIQUE GD LARGE;290000447;;;;;;1;;;;;;;0;0;0;0;0;0;0;0;;;;;;1;0;;1;;;
INFOMED;2024;290036466;POLE READAPT DE CORNOUAILLE CONCARNEAU;440042844;;;;;;;;;1;;;;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;0.3;;0.4;
INFOMED;2024;290036540;CLIN MUTUALISTE BRETAGNE OCCIDENTALE;290029974;0;1;0;;;;;;;;;;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;;2.96;1.91;0.8;0.4
INFOMED;2024;290037548;MAISON SAINT JOSEPH;220020739;;;;;;;;;1;;;;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;;0.2;;0.1;
INFOMED;2024;2A0000030;CRF ET MAISON DE REPOS DU FINOSELLO;2A0000048;;;;;;;;;1;;;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;;;;1;
INFOMED;2024;2A0000139;HOPITAL PRIVE SUD CORSE;2A0000063;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;;0;;2;0;1;0
INFOMED;2024;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;;;1;;;;;;;;;;1;1;1;;1;0;0;0;;;;;;;0;;2;;0.5;
INFOMED;2024;2A0000212;HOPITAL LOCAL DE BONIFACIO;2A0000170;1;0;0;;;;1;0;0;;;;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;2B0004089;0.5;;0;0
INFOMED;2024;2A0000261;CENTRE REPOS CONVALESCENCE;2A0000279;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;;;;;
INFOMED;2024;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;;;1;;;;;1;;1;;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;3.63;1;1;
INFOMED;2024;2A0001988;HAD AJACCIO ET GRAND AJACCIO;2A0001848;;;;;;1;;;;;;;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;2A0000014;0.05;0.05;0.05;0.05
INFOMED;2024;2A0002051;CRF LES MOLINI;2A0000303;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;;0.8;0.7;0.25;0.25
INFOMED;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;0;1;0;;;;1;0;0;;;;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;;6.82;;0.9;
INFOMED;2024;2A0022554;MAIS CONVAL ET REGIME VALICELLI;2A0000311;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;;;;0.2;
INFOMED;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;;0;1;1;0;1;1;;;1;0;;8.19;;0.2;
INFOMED;2024;2B0000079;CLINIQUE DR FILIPPI;2B0000046;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.2;;0.2;
INFOMED;2024;2B0000145;POLYCLINIQUE LA RESIDENCE MAYMARD;2B0000053;;;1;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;;1;;0.8;
INFOMED;2024;2B0000392;POLYCLINIQUE DE FURIANI;2B0000129;0;0;1;;;;;;;;;;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;;2;;0.25;
