BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU
PSY;2024;290000033;C.H. DES PAYS DE MORLAIX;290021542;TOT;1;;1;0;184;;;17;;71039;169;;1;3098;52539;;;3865;;17461;;866;15;;11;47342;;7702;5537;876;1627;55;8305;6253;0;13.12;;6.8;;;;397.83;284.47;23.62;20.91;8.09;17.4
PSY;2024;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;GEN;;1;;;13;;;;;5070;;2;;177;2798;;;;;;0;;0;4;;0;3139;0;16;4;54;;479;346;;5.27;;;;;;22.95;12.32;;6.34;1.03;0.65
PSY;2024;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;INF;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;3;;;;;;;;;;;
PSY;2024;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;TOT;1;;;0;13;;;;;5070;;2;;177;2798;;;;;;0;;0;4;;0;3140;0;16;4;54;;479;347;;8.27;;;;;;22.95;12.32;;6.34;1.03;0.65
PSY;2024;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;GEN;;1;;;47;;;;;16992;15;4;1;614;13253;;;;;5827;351;1660;2;;1;16870;;8830;1594;1409;1105;;2157;1824;;6.6;;;;;;113.88;83.95;0.05;4.04;3;3
PSY;2024;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;TOT;1;;0;0;47;;;;;16992;15;4;1;614;13253;;;;;5827;351;1660;2;;1;16870;;8830;1594;1409;1105;;2157;1824;;6.6;;;;;;113.88;83.95;0.05;4.04;3;3
PSY;2024;290000363;CLINIQUE DE KERFRIDEN;920030269;GEN;;;;;86;;;;;31476;13;;;764;28121;;;;;3822;;;;;;;;;;;;;591;;5;;3;;0;0;;52.47;31.23;8.87;3.53;4.16;0.93
PSY;2024;290000363;CLINIQUE DE KERFRIDEN;920030269;TOT;0;;;0;86;;;;;31476;13;;;764;28121;;;;;3822;;;;;;;;;;;;;591;;5;;3;;;;;52.47;31.23;8.87;3.53;4.16;0.93
PSY;2024;290000728;HOPITAL INSTR ARMEES CLERMONT-TONNERRE;750821092;GEN;;;;;16;;;;;5840;10;1;1;335;4422;0;0;0;0;1572;134;1907;;1;;;1196;;;;;;742;539;;4.25;;0.18;0;1;;21.28;10.43;7;2.05;1.8;
PSY;2024;290000728;HOPITAL INSTR ARMEES CLERMONT-TONNERRE;750821092;TOT;0;;;0;16;;;;;5840;10;1;1;335;4422;0;0;0;0;1572;134;1907;;1;;;1196;;;;;;742;539;;4.25;;0.18;;;;21.28;10.43;7;2.05;1.8;
PSY;2024;290000736;CLINIQUE DE L'IROISE;290000991;GEN;;;;;73;;;;;22985;12;;;805;24478;;;;;2959;;;;;;;;;;;;;715;;4;;2;0.6;0;1;2;29.88;18.98;10.65;0.8;;
PSY;2024;290000736;CLINIQUE DE L'IROISE;290000991;TOT;0;;;0;73;;;;;22985;12;;;805;24478;;;;;2959;;;;;;;;;;;;;715;;4;;2;0.6;;;2;29.88;18.98;10.65;0.8;;
PSY;2024;290000744;CLINIQUE PEN AN DALAR;290001007;GEN;;;;;123;;;;7;47450;32;10;;1801;43099;;;;1737;1345;1612;;;;;;;;;;;;1118;;7;;6;1.51;0;1;3;84.48;35.52;15.59;4;2.77;0.8
PSY;2024;290000744;CLINIQUE PEN AN DALAR;290001007;TOT;0;;;0;123;;;;7;47450;32;10;;1801;43099;;;;1737;1345;1612;;;;;;;;;;;;1118;;7;;6;1.51;;;3;84.48;35.52;15.59;4;2.77;0.8
PSY;2024;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;GEN;;;;;20;0;0;0;0;7320;0;0;0;390;5961;0;0;0;0;0;0;0;0;1;0;0;231;0;0;0;17;0;364;73;;1.2;;0.3;;;;;11.31;5.96;1.03;;
PSY;2024;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;TOT;0;;;0;20;0;0;0;0;7320;0;0;0;390;5961;0;0;0;0;0;0;0;0;1;0;0;231;0;0;0;17;0;364;73;;1.2;;0.3;;;;;11.31;5.96;1.03;;
PSY;2024;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;GEN;;3;;;173;;8;;;62363;143;5;;2231;54150;;1841;;;19585;851;;11;41;14;56040;9744;3518;4516;2509;7942;37;10059;8034;;24.45;;7.14;0;0;;440.3;330.69;26.45;21.37;3.34;17
PSY;2024;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;INF;;2;;;12;;;;;4002;62;7;;169;2773;;;;;5284;636;;7;14;8;20165;4014;2481;1079;108;1016;98;2156;1961;;9.4;;;0;0;;123.64;68.52;3.3;12.58;10.52;20.81
PSY;2024;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;TOT;1;;5;0;185;;8;;;66365;205;12;;2400;56923;;1841;;;24869;1487;;18;55;22;76205;13758;5999;5595;2617;8958;135;11996;9781;;33.85;;7.14;;;;563.94;399.21;29.75;33.95;13.86;37.81
PSY;2024;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;GEN;;1;;;20;;;;;7300;;;;199;4024;;;;;;;;;;;;;;;;;;150;;;0.8;;0.39;;1;;30.15;11.05;11.11;0.4;0.7;
PSY;2024;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;TOT;1;;;0;20;;;;;7300;;;;199;4024;;;;;;;;;;;;;;;;;;150;;;0.8;;0.39;;;;30.15;11.05;11.11;0.4;0.7;
PSY;2024;290003995;GHBS - HOPITAL KERGLANCHARD;560005746;GEN;;1;;;48;;;;;17520;25;0;;575;11064;;;;;3829;0;;2;1;2;13165;22;2082;493;68;1258;;2444;1942;;4.23;;0.5;;1;;83.14;63.84;1;3.13;0.66;
PSY;2024;290003995;GHBS - HOPITAL KERGLANCHARD;560005746;TOT;1;;;0;48;;;;;17520;25;0;;575;11064;;;;;3829;0;;2;1;2;13165;22;2082;493;68;1258;;2444;1942;;4.23;;0.5;;;;83.14;63.84;1;3.13;0.66;
PSY;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;GEN;;;;;3;;;;;1098;;;;434;396;;;;;;;;;1;;;2125;;;764;3565;;2457;2055;;6.28;;;1;0;;37.77;30.59;;1.7;;2.25
PSY;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;TOT;0;;;0;3;;;;;1098;;;;434;396;;;;;;;;;1;;;2125;;;764;3565;;2457;2055;;6.28;;;;;;37.77;30.59;;1.7;;2.25
PSY;2024;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;GEN;;4;;;201;;6;;;70293;94;21;;3479;56887;0;0;;;6521;1954;;5;;6;36339;0;19623;8648;4137;2053;2;10349;8570;;;;;;;;126.75;99.39;;5.76;;2.15
PSY;2024;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;INF;;1;;;14;16;;;;3653;39;;;582;2368;;;;;3350;;;3;;1;8461;0;2740;1292;22;147;6;1779;1216;;;;;;;;61.8;27.23;1;6.03;5.79;10.95
PSY;2024;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5742;;;;647;647;;;;;;;;;;;;;
PSY;2024;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;TOT;1;;6;1;215;16;6;;;73946;133;21;;4061;59255;0;0;;;9871;1954;;8;;7;44800;0;22363;15682;4159;2200;8;12582;10249;;;;;;;;188.55;126.62;1;11.79;5.79;13.1
PSY;2024;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;GEN;;2;;;151;;;;;55266;16;6;8;1122;35837;0;0;0;0;1010;1;0;6;;7;34184;0;3599;1281;341;618;0;3855;3101;;15.1;;4.94;;;;403.55;225.08;66.28;9.84;1;11.28
PSY;2024;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;INF;;1;;;6;;;;;2196;14;6;7;88;2695;0;;;;1127;1;532;7;;7;27715;0;3666;63;17;2;1252;1446;1284;;4.3;0;0;;;;106.56;62.68;2;11.19;2;9.41
PSY;2024;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;TOT;1;;16;1;157;;;;;57462;30;12;15;1210;38532;0;0;0;0;2137;2;532;13;;14;61899;0;7265;1344;358;620;1252;5295;4360;;19.4;0;4.94;;;;510.11;287.76;68.28;21.03;3;20.69
PSY;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;GEN;;2;;;34;;;;;13296;0;0;0;716;9867;;;;;;;;5;;;13839;;;2379;173;592;3;2558;1986;;6.84;;1.06;0;1;;70.79;34.38;19.81;4.8;0.2;3.98
PSY;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;INF;;1;;;3;;;;;459;25;;;59;227;;;;;1399;;;5;;1;27428;;294;171;29;1075;203;1590;54;;5.38;;;0;1;;53.06;16.81;0.21;14.07;8.1;9.33
PSY;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;PEN;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;295;295;;;;;;;;;;;;;
PSY;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;TOT;1;;1;1;37;;;;;13755;25;0;0;775;10094;;;;;1399;;;10;;1;41267;;294;2550;202;1667;206;4443;3791;;12.22;;1.06;;;;123.85;51.19;20.02;18.87;8.3;13.31
PSY;2024;2B0003016;CLINIQUE DU CAP;2B0003990;GEN;;;;;48;;;;;17520;;;;343;16613;;;;;;;;;;;;;;;;;;257;;2;;;;0;0;2;;8;7;;;0.3
PSY;2024;2B0003016;CLINIQUE DU CAP;2B0003990;TOT;0;;;0;48;;;;;17520;;;;343;16613;;;;;;;;;;;;;;;;;;257;;2;;;;;;2;;8;7;;;0.3
PSY;2024;2B0003917;CENTRE JOUR VILLA SAN ORNELLO;2B0003891;GEN;;;;;;;;;;;37;;;;;;;;;14949;;;;;;;;;;;;;382;;5;;;;;;5;;9.6;;1;1;1
PSY;2024;2B0003917;CENTRE JOUR VILLA SAN ORNELLO;2B0003891;TOT;0;;;0;;;;;;;37;;;;;;;;;14949;;;;;;;;;;;;;382;;5;;;;;;5;;9.6;;1;1;1
PSY;2024;2B0004113;CLINIQUE SAN ORNELLO;2B0000467;GEN;;;;;100;;;;0;36058;;;;467;33163;;;;5556;;;;;;;;;;;;;;467;;4;;;1.3;;;;75.23;22;11;1.5;;3.8
PSY;2024;2B0004113;CLINIQUE SAN ORNELLO;2B0000467;INF;;;;;9;;;;0;2895;;;;64;2895;;;;344;;;;;;;;;;;;;;64;;;;;;;;;;;;;;
PSY;2024;2B0004113;CLINIQUE SAN ORNELLO;2B0000467;TOT;0;;;0;109;;;;0;38953;;;;531;36058;;;;5900;;;;;;;;;;;;;;531;;4;;;1.3;;;;75.23;22;11;1.5;;3.8
PSY;2024;300000023;CH ALES CEVENNES;300780046;GEN;;2;;;66;0;0;0;0;24156;16;3;0;916;18764;0;0;0;0;3085;156;0;5;1;1;11515;147;3027;2735;197;4742;4;3261;2671;0;5.42;0;0.5;0;1;0;121.5;84.34;0;6.34;0;0
PSY;2024;300000023;CH ALES CEVENNES;300780046;INF;;1;;;0;0;;;0;0;37;0;0;0;0;0;;;;3170;0;0;3;0;0;8857;0;0;11;2;79;2;834;788;0;1.92;0;0;0;1;0;45.48;5.78;0;10.42;3.28;0
PSY;2024;300000023;CH ALES CEVENNES;300780046;TOT;1;;6;0;66;0;0;0;0;24156;53;3;0;916;18764;0;0;0;0;6255;156;0;8;1;1;20372;147;3027;2746;199;4821;6;4055;3424;0;7.34;0;0.5;;;0;166.98;90.12;0;16.76;3.28;0
PSY;2024;300000080;CHS LE MAS CAREIRON UZES;300780103;GEN;;3;;;160;21;;;;58560;87;;;2020;46264;4636;;;;11935;;;8;1;2;53543;3425;12600;2162;1332;517;;7156;5779;;23.14;;2.1;0;1;;341.92;218.7;37.41;9.1;;10.55
PSY;2024;300000080;CHS LE MAS CAREIRON UZES;300780103;INF;;1;;;6;;;;;1560;34;;;246;892;;;;;2473;;;3;1;0;18059;41;0;295;2;102;10;1433;1292;;4.39;;;0;0;;68.64;26.51;4.9;7.28;3.47;19.73
PSY;2024;300000080;CHS LE MAS CAREIRON UZES;300780103;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;705;;;;230;227;;0.65;;;;;;1.65;1.65;;;;
PSY;2024;300000080;CHS LE MAS CAREIRON UZES;300780103;TOT;1;;0;1;166;21;;;;60120;121;;;2266;47156;4636;;;;14408;;;11;2;2;71602;3466;12600;3162;1334;619;10;8534;6192;;28.18;;2.1;;;;412.21;246.86;42.31;16.38;3.47;30.28
PSY;2024;300000387;AEMC;300000387;GEN;;;;;21;;;;;7665;10;;;97;4630;;;;;4714;;;;;;;;;;;;;206;;;1.45;;;;;;29.11;10.21;2;1.38;;9.68
PSY;2024;300000387;AEMC;300000387;INF;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;;;;;0;0;;0;;;;;;2.16;;;;;
PSY;2024;300000387;AEMC;300000387;TOT;0;;;0;21;;;;;7665;10;;;97;4630;;;;;4714;;;0;;;0;;;;;;;206;0;;1.45;;;;;;31.27;10.21;2;1.38;;9.68
PSY;2024;300000759;ASSOC CIGALIERES;300000759;INF;;2;;;0;0;;;0;0;8;0;1;0;0;0;;;0;691;0;0;1;0;0;8184;0;0;0;0;0;0;188;157;0;0.9;0;0;0;0;0;0.71;3;0;2.5;2.33;5.45
PSY;2024;300000759;ASSOC CIGALIERES;300000759;TOT;1;;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;691;0;0;1;0;0;8184;0;0;0;0;0;0;188;157;0;0.9;0;0;;;0;0.71;3;0;2.5;2.33;5.45
PSY;2024;300002128;CHATEAU DE COULORGUES BAGNOLS SUR CEZE;300000247;GEN;;;;;;;;46;;;;;;;;;;15242;;;;;;;;;;;;;;;92;;;1;;0.25;0;0;;24.01;7.31;5.77;2.09;1;7.84
PSY;2024;300002128;CHATEAU DE COULORGUES BAGNOLS SUR CEZE;300000247;TOT;0;;;0;;;;46;;;;;;;;;;15242;;;;;;;;;;;;;;;92;;;1;;0.25;;;;24.01;7.31;5.77;2.09;1;7.84
PSY;2024;300780210;CL BELLE RIVE VILLENEUVE LES AVIGNON;300000148;GEN;;;;;101;;;;25;46116;80;;;1143;36719;;;;8917;15715;;;;;;;;;;;;;1795;;8;;;5.52;1;1;4;64.57;39.25;9.9;4;10.88;0.54
PSY;2024;300780210;CL BELLE RIVE VILLENEUVE LES AVIGNON;300000148;TOT;0;;;0;101;;;;25;46116;80;;;1143;36719;;;;8917;15715;;;;;;;;;;;;;1795;;8;;;5.52;;;4;64.57;39.25;9.9;4;10.88;0.54
PSY;2024;300780244;CL DU PONT DU GARD REMOULINS;920030269;GEN;;;;;70;;;;;25620;;;;617;23298;;;;;;;;;;;;;;;;;;420;;2;1;;1.85;0;0;;38.73;22.62;4.6;2.33;0.72;1.75
PSY;2024;300780244;CL DU PONT DU GARD REMOULINS;920030269;TOT;0;;;0;70;;;;;25620;;;;617;23298;;;;;;;;;;;;;;;;;;420;;2;1;;1.85;;;;38.73;22.62;4.6;2.33;0.72;1.75
PSY;2024;300780251;CL PSYCHIATRIQUE QUISSAC;300000189;GEN;;4;;;219;0;0;0;0;80154;0;0;0;1002;65171;;;;;;;;0;;0;0;0;0;0;0;0;0;649;;6;0;2;0;0;0;;70;34.27;29.93;2.8;;2.86
PSY;2024;300780251;CL PSYCHIATRIQUE QUISSAC;300000189;TOT;1;;0;0;219;0;0;0;0;80154;0;0;0;1002;65171;;;;;;;;0;;0;0;0;0;0;0;0;0;649;0;6;0;2;0;;;;70;34.27;29.93;2.8;;2.86
PSY;2024;300780269;CL LES SOPHORAS NIMES;300000197;GEN;;;;;96;;;;9;35040;12;;;1006;33736;;;;1679;3684;;;;;;;;;;;;;857;;4;;;3.84;0;1;4;67.22;39.65;10.66;2.45;1;1
PSY;2024;300780269;CL LES SOPHORAS NIMES;300000197;TOT;0;;;0;96;;;;9;35040;12;;;1006;33736;;;;1679;3684;;;;;;;;;;;;;857;;4;;;3.84;;;4;67.22;39.65;10.66;2.45;1;1
PSY;2024;300780384;CTRE PROTECTION INFANTILE MONTAURY CRF;750721334;INF;;1;;;;6;;;;;8;;;;;893;;;;1400;;;1;1;;3443;1522;;38;;;44;369;333;;;;;0;1;;26.59;8.23;;3.26;2.65;12.45
PSY;2024;300780384;CTRE PROTECTION INFANTILE MONTAURY CRF;750721334;TOT;1;;;0;;6;;;;;8;;;;;893;;;;1400;;;1;1;;3443;1522;;38;;;44;369;333;;;;;;;;26.59;8.23;;3.26;2.65;12.45
PSY;2024;300781424;CL LA CAMARGUE BOUILLARGUES;300000692;GEN;;1;;;63;;;;;22995;8;;;450;21103;;;;;5160;;;;;;;;;;;;;297;;3;;3;0.5;0;0;1;28;15;6;2.5;2.2;2
PSY;2024;300781424;CL LA CAMARGUE BOUILLARGUES;300000692;TOT;1;;;0;63;;;;;22995;8;;;450;21103;;;;;5160;;;;;;;;;;;;;297;;3;;3;0.5;;;1;28;15;6;2.5;2.2;2
PSY;2024;300782117;CHU NIMES CAREMEAU;300780038;GEN;;2;;;70;;;;;25620;20;;3;724;17389;;;;;1883;;1678;4;3;0;15523;6036;0;761;27;1;1;4840;4012;;13.53;;2;1;0;;200.71;89.91;62.2;12.87;3.2;0.63
PSY;2024;300782117;CHU NIMES CAREMEAU;300780038;INF;;1;;;10;;;;;3660;24;;;222;2344;;;;;2566;;;4;2;0;6734;890;0;0;1;5;21;1531;1240;;3.86;;;0;0;;64.52;25.96;4;9.79;5.08;14.16
PSY;2024;300782117;CHU NIMES CAREMEAU;300780038;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.71;;;;13.71;10.15;1;1.03;0.04;
PSY;2024;300782117;CHU NIMES CAREMEAU;300780038;TOT;1;;1;0;80;;;;;29280;44;;3;946;19733;;;;;4449;;1678;8;5;0;22257;6926;0;761;28;6;22;6317;5227;;17.39;;6.71;;;;278.94;126.02;67.2;23.69;8.32;14.79
PSY;2024;310000187;SA CL DE BEAUPUY;310000187;GEN;;;;;183;;;;;66125;;;;1584;58561;;;;;;;;;;;;;;;;;;1090;;5;;2;7.85;0;0;;115.36;71.32;19.74;1;;2.46
PSY;2024;310000187;SA CL DE BEAUPUY;310000187;TOT;0;;;0;183;;;;;66125;;;;1584;58561;;;;;;;;;;;;;;;;;;1090;;5;;2;7.85;;;;115.36;71.32;19.74;1;;2.46
PSY;2024;310000369;CH GERARD MARCHANT TOULOUSE;310780754;GEN;;7;;;202;13;19;27;;73730;93;1;;1499;67725;2660;5758;7963;;14125;130;;13;18;14;61473;4620;47904;5672;283;18;4630;7236;5864;;42.64;;;0;1;0;707.95;427.47;87.28;35.26;10.24;61.82
PSY;2024;310000369;CH GERARD MARCHANT TOULOUSE;310780754;INF;;1;;;12;;;;8;4380;62;;;977;1860;;;;2250;7545;;;5;7;3;12857;2869;8479;163;61;2;115;1695;1362;;11.13;;1;0;1;0;153.96;60.41;;18;15;44.34
PSY;2024;310000369;CH GERARD MARCHANT TOULOUSE;310780754;PEN;;;;;40;;;;;14600;18;;;325;14059;;;;;5206;;;;;;;;;37895;;;;3452;3134;;13.69;;;;;0;116.25;68.46;13.31;9.22;2.52;7.67
PSY;2024;310000369;CH GERARD MARCHANT TOULOUSE;310780754;TOT;1;;8;1;254;13;19;27;8;92710;173;1;;2801;83644;2660;5758;7963;2250;26876;130;;18;25;17;74330;7489;56383;43730;344;20;4745;12189;10221;;67.46;;1;;;0;978.16;556.34;100.59;62.48;27.76;113.83
PSY;2024;310000427;SA AUFRERY;310000427;GEN;;;;;150;;;;;54900;20;;;1636;52999;;;;;8019;;;1;;;12942;;;;;;;1888;543;9;1.1;2;4.36;0;0;6;81.64;54.63;3.07;2.41;3.83;1.1
PSY;2024;310000427;SA AUFRERY;310000427;TOT;0;;;0;150;;;;;54900;20;;;1636;52999;;;;;8019;;;1;;;12942;;;;;;;1888;543;9;1.1;2;4.36;;;6;81.64;54.63;3.07;2.41;3.83;1.1
PSY;2024;310018650;SECTORISATION PSY NEBOUZAN ASEI;310781562;INF;;1;;;;;;;;;;;;;;;;;;;;;1;;;1832;;;;;;;120;120;;;;0.11;0;1;;2.99;1;;1.25;0.24;0.5
PSY;2024;310018650;SECTORISATION PSY NEBOUZAN ASEI;310781562;TOT;1;;;0;;;;;;;;;;;;;;;;;;;1;;;1832;;;;;;;120;120;;;;0.11;;;;2.99;1;;1.25;0.24;0.5
PSY;2024;310780119;CL DE MONTBERON;310000047;GEN;;1;;;141;;;;;51465;25;;;1303;43745;;;;;2618;;;;;;;;;;;;;936;;7;0.42;8;4.89;;;1;54.85;37.18;11.91;1;3.76;1
PSY;2024;310780119;CL DE MONTBERON;310000047;TOT;1;;;0;141;;;;;51465;25;;;1303;43745;;;;;2618;;;;;;;;;;;;;936;;7;0.42;8;4.89;;;1;54.85;37.18;11.91;1;3.76;1
PSY;2024;310780143;CL DU CHATEAU DE SEYSSES;920030269;GEN;;;;;242;;;;;88572;26;;;2246;87683;;;;;6660;;;;;;;;;;;;;2095;;10;6.09;1;3.39;0;0;1;141.89;75.37;18.18;8.64;4.61;3.6
PSY;2024;310780143;CL DU CHATEAU DE SEYSSES;920030269;INF;;;;;13;;;;;4758;;;;202;5183;;;;;;;;;;;;;;;;;;125;;;2.5;;;0;0;;13.2;6;2;1.2;;5
PSY;2024;310780143;CL DU CHATEAU DE SEYSSES;920030269;TOT;0;;;0;255;;;;;93330;26;;;2448;92866;;;;;6660;;;;;;;;;;;;;2187;;10;8.59;1;3.39;;;1;155.09;81.37;20.18;9.84;4.61;8.6
PSY;2024;310780358;MAISON DE SANTE DE MAILHOL LABASTIDE;310000146;GEN;;;;;100;;;;;36500;6;;8;1296;36176;;;;;1379;;1160;;;;;;;;;;;698;;5;;3;1.2;;;;;;;;;
PSY;2024;310780358;MAISON DE SANTE DE MAILHOL LABASTIDE;310000146;TOT;0;;;0;100;;;;;36500;6;;8;1296;36176;;;;;1379;;1160;;;;;;;;;;;698;;5;;3;1.2;;;;;;;;;
PSY;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;GEN;;;;;125;;;;;45750;5;;;1201;45540;;;;;9398;;;;;;;;;;;;;1630;;8;;;;;;;68.55;47.96;16.85;0.9;;3
PSY;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;TOT;0;;;0;125;;;;;45750;5;;;1201;45540;;;;;9398;;;;;;;;;;;;;1630;;8;;;;;;;68.55;47.96;16.85;0.9;;3
PSY;2024;310781141;CL DU VIEUX CHATEAU D'OC CASTELMAUROU;310000435;GEN;;;;;188;;;;;68888;5;;;1478;54347;;;;;3037;;;;;;;;;;;;;1226;;7;0.89;;2;0;0;;82.59;46.18;8.55;5.01;3.53;1.58
PSY;2024;310781141;CL DU VIEUX CHATEAU D'OC CASTELMAUROU;310000435;TOT;0;;;0;188;;;;;68888;5;;;1478;54347;;;;;3037;;;;;;;;;;;;;1226;;7;0.89;;2;;;;82.59;46.18;8.55;5.01;3.53;1.58
PSY;2024;310781430;CTRE POST CURE ROUTE NOUVELLE TOULOUSE;310788906;GEN;;;;;;;;;;;55;;;;;;;;;11794;;;;;;;;;;;;;113;113;;1.1;;;0;0;0;11.8;8.8;0;1;1;1
PSY;2024;310781430;CTRE POST CURE ROUTE NOUVELLE TOULOUSE;310788906;TOT;0;;;0;;;;;;;55;;;;;;;;;11794;;;;;;;;;;;;;113;113;;1.1;;;;;0;11.8;8.8;0;1;1;1
PSY;2024;310782446;ARSEAA;310782446;INF;;1;;;;;;;;;90;;;;;;;;;7011;;;12;3;6;31249;1956;13592;169;10;2197;186;4147;4129;;15.76;;;1;1;1;138.48;38.89;0;22.76;21.65;55.18
PSY;2024;310782446;ARSEAA;310782446;TOT;1;;1;0;;;;;;;90;;;;;;;;;7011;;;12;3;6;31249;1956;13592;169;10;2197;186;4147;4129;;15.76;;;;;1;138.48;38.89;0;22.76;21.65;55.18
PSY;2024;310783063;HOPITAL LA GRAVE CHU TOULOUSE;310781406;GEN;;1;;;88;;;;;31965;25;;;1061;29327;;;;;3846;;;1;3;0;8611;21269;;177;;3131;;6956;5757;;;;;;;;141.72;76.62;44.41;6.1;1.1;0
PSY;2024;310783063;HOPITAL LA GRAVE CHU TOULOUSE;310781406;INF;;1;;;11;;;;6;4015;60;;;89;9843;;;;1985;6943;;;5;3;1;18392;13757;4038;1233;7;9021;185;6087;5567;;;;;;;;155.96;60.7;12.23;17.68;18.27;20.36
PSY;2024;310783063;HOPITAL LA GRAVE CHU TOULOUSE;310781406;TOT;1;;;0;99;;;;6;35980;85;;;1150;39170;;;;1985;10789;;;6;6;1;27003;35026;4038;1410;7;12152;185;12643;11284;;;;;;;;297.68;137.32;56.64;23.78;19.37;20.36
PSY;2024;310783097;CENTRE DE SANTE MENTALE MGEN TOULOUSE;750005068;GEN;;;;;;;;;;;42;;;;;;;;;12964;;;;;;;;;;;;;194;;;3.5;;;;;;17.2;10.4;;2.5;1;3.3
PSY;2024;310783097;CENTRE DE SANTE MENTALE MGEN TOULOUSE;750005068;TOT;0;;;0;;;;;;;42;;;;;;;;;12964;;;;;;;;;;;;;194;;;3.5;;;;;;17.2;10.4;;2.5;1;3.3
PSY;2024;310795463;CENTRE DE POST CURE APRES TOULOUSE;310785068;GEN;;8;;;0;0;0;19;0;0;31;0;0;0;0;0;0;3995;0;3887;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0.24;0;0;0;0;0;15.03;7;2.83;0.2;0;5
PSY;2024;310795463;CENTRE DE POST CURE APRES TOULOUSE;310785068;TOT;1;;0;0;0;0;0;19;0;0;31;0;0;0;0;0;0;3995;0;3887;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0.24;0;0;;;0;15.03;7;2.83;0.2;0;5
PSY;2024;320000094;CHS DU GERS;320780125;GEN;;3;;;117;0;0;0;0;42822;35;2;1;944;34326;0;0;0;0;2920;0;952;8;9;8;25946;3647;4981;10078;1092;1182;7;4509;3708;;10.31;;;1;1;;272.41;133.5;66.78;9.3;3;19.1
PSY;2024;320000094;CHS DU GERS;320780125;INF;;1;;;5;0;;;0;1825;9;2;0;204;1559;0;;;0;988;103;0;5;4;0;7614;2818;0;611;75;187;12;949;864;;2.29;;1;1;1;;57.56;30.44;0.58;8.36;3.8;8.85
PSY;2024;320000094;CHS DU GERS;320780125;TOT;1;;0;0;122;0;0;0;0;44647;44;4;1;1148;35885;0;0;0;0;3908;103;952;13;13;8;33560;6465;4981;10689;1167;1369;19;5373;4478;;12.6;;1;;;;329.97;163.94;67.36;17.66;6.8;27.95
PSY;2024;320780109;CL PSY D'EMBATS AUCH;320000078;GEN;;;;;68;;;;;24820;20;;;428;26550;;;;;7908;;;;;;;;;;;;;588;;3;0.23;3;;1;0;;;22.1;4.6;2.5;0.5;1
