BOR;AN;FI;RS;FI_EJ;PSY_A45;PSY_A46;PSY_B45;PSY_B46;PSY_C45;PSY_C46;PSY_D45;PSY_D46;PSY_E45;PSY_E46;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44;PSY_A47;PSY_B47;PSY_A48;PSY_B48;PSY_A49;PSY_B49
PSY2;2024;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;;;;;;;;;695;2040;44562;2087;;;520;11278;808;9735;16;1;;;164;1;88729;235;2;;59;271;16;0;;0;;0;;0;0;0;;1;3;1;4741
PSY2;2024;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;;;;;;;;;1226;;25224;3484;711;0;191;3171;2912;;;;;;;;;;;;;;;1;1;1;;0;;0;0;1;4;1;5;0;
PSY2;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;;;;;;;;;;;10094;;;;;;;1399;;;;;;;49419;;;;;;;0;;0;;0;;0;0;1;;1;;0;
PSY2;2024;2B0003016;CLINIQUE DU CAP;2B0003990;;;;;;;;;;;16613;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;2B0003917;CENTRE JOUR VILLA SAN ORNELLO;2B0003891;;;;;;;;;;;;;;;;;;14949;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;2B0004113;CLINIQUE SAN ORNELLO;2B0000467;;;;;;;;;;;21313;3492;359;10;1903;5103;2294;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;1;2;0;
PSY2;2024;300000023;CH ALES CEVENNES;300780046;0;0;0;0;0;0;0;0;0;0;14218;1517;0;0;0;2865;104;5289;0;0;0;0;122;0;37835;209;15;0;0;324;18;1;1;0;;0;;0;0;0;;1;3;0;
PSY2;2024;300000080;CHS LE MAS CAREIRON UZES;300780103;;;;;;;;;;;34720;2790;1476;;1085;9042;2679;13421;17;98;;;667;207;90843;877;229;;9;2099;572;1;0.6;1;34.3;0;;0;0;1;3;1;13;1;2524
PSY2;2024;300000387;AEMC;300000387;;;;;;;;;;;4630;;;;;;;4714;;;;;;;;;;;;;;;;0;;0;;0;0;0;;0;;;
PSY2;2024;300000759;ASSOC CIGALIERES;300000759;;;;;;;;;;;0;0;0;0;0;0;0;691;0;0;0;0;0;0;8184;0;0;0;0;0;0;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;300780210;CL BELLE RIVE VILLENEUVE LES AVIGNON;300000148;;;;;;;;;;;45990;;;;;;;15715;;;;;;;;;;;;;;0;;0;;0;;0;0;1;;0;;0;
PSY2;2024;300780244;CL DU PONT DU GARD REMOULINS;920030269;;;;;;;;;;;23298;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;300780251;CL PSYCHIATRIQUE QUISSAC;300000189;0;0;0;0;0;0;0;0;0;0;65171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;300780269;CL LES SOPHORAS NIMES;300000197;;;;;;;;;;;35415;;;;;;;3684;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;300780384;CTRE PROTECTION INFANTILE MONTAURY CRF;750721334;;;;;;;;;;;893;;;;;;;770;;;;;;;4965;;;;;;;0;;0;;0;;0;0;1;2;0;;0;
PSY2;2024;300781424;CL LA CAMARGUE BOUILLARGUES;300000692;;;;;;;;;;;21103;;;;;;;5160;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;300782117;CHU NIMES CAREMEAU;300780038;;;;;;;;;;;7683;2925;935;;;6566;1624;5957;66;;;;102;3;37180;213;81;;;278;4;1;17.39;1;37.91;0;;0;0;;;;;;
PSY2;2024;310000187;SA CL DE BEAUPUY;310000187;;;;;;;;;;;45203;388;;;;11823;1147;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;1;2;0;
PSY2;2024;310000369;CH GERARD MARCHANT TOULOUSE;310780754;;;;;;;;;;;56241;13285;7843;29;4808;17991;2391;25897;229;397;;169;314;;180592;2187;1290;;102;2692;179;1;1.3;0;;1;37.84;1;0;;5;1;18;1;206
PSY2;2024;310000427;SA AUFRERY;310000427;;;;;;;;;;;52999;;;;;;;8019;;;;;;;12942;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;310018650;SECTORISATION PSY NEBOUZAN ASEI;310781562;;;;;;;;;;;;;;;;;;;;;;;;;1832;;;;;;;;;0;;0;;0;0;;;;;;
PSY2;2024;310780119;CL DE MONTBERON;310000047;;;;;;;;;;;43745;;;;;;;5236;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;310780143;CL DU CHATEAU DE SEYSSES;920030269;;;;;;;;;;;92866;;;;;;;6660;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;310780358;MAISON DE SANTE DE MAILHOL LABASTIDE;310000146;;;;;;;;;;;36176;;;;;;;1379;;;;;;;;;;;;;;;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;;;;;;;;;;;45540;;;;;;;4524;;;;;;;;;;;;;;0;;;;0;;0;0;0;;0;;0;
PSY2;2024;310781141;CL DU VIEUX CHATEAU D'OC CASTELMAUROU;310000435;;;;;;;;;;;54347;;;;;;;3037;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;310782446;ARSEAA;310782446;;;;;;;;;2514;1242;4147;;;;;;;7011;;;;;;;57341;;;;;;;0;;0;;0;;0;0;1;3;0;;0;
PSY2;2024;310783063;HOPITAL LA GRAVE CHU TOULOUSE;310781406;;;;;;;;;;;25761;1478;294;;118;7166;479;10780;1;;;;8;;92256;150;87;;;434;41;0;;0;;0;;0;0;;;;;0;
PSY2;2024;310795463;CENTRE DE POST CURE APRES TOULOUSE;310785068;0;0;0;0;0;0;0;0;0;0;3995;0;0;0;0;0;0;3887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;320000094;CHS DU GERS;320780125;0;0;0;0;0;0;0;0;614;808;24016;1707;366;0;0;5270;4894;3730;14;0;0;0;59;45;58183;787;0;0;0;935;1173;1;0.6;0;;0;;0;0;1;2;1;4;1;5671
PSY2;2024;320780109;CL PSY D'EMBATS AUCH;320000078;;;;;;;;;;;26550;;;;;;;4150;;;;;;;;;;;;;;0;;0;;0;;0;0;1;;0;;0;
PSY2;2024;330000431;MONTALIER;330000431;;;;;;;;;;;21185;;;;;;;1640;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;330000639;CH CHARLES PERRENS;330781287;9;5;2348;1542;6;6;708;598;6822;0;109009;17480;1097;288;2;23477;4816;24704;313;114;8;0;314;26;254227;5769;268;14;0;2454;412;1;3.23;0;;1;22.17;0;0;;;;;0;
PSY2;2024;330000647;CH DE CADILLAC;330781295;;;;;;;;;1419;;60722;24675;9397;68;5602;19592;5956;18863;674;93;;;434;213;144350;3476;477;13;11;5069;1613;1;1.1;1;177.01;0;;1;0;1;8;1;20;1;1866
PSY2;2024;330000779;SOCIETE D'HYGIENE MENTALE D'AQUITAINE;330000779;;;;;;;;;;;;;;;;;;12601;;;;;;;7618;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;330058504;CENTRE AMBULATOIRE DE CENON;330059825;;;;;;;;;;;;;;;;;;4227;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;330058603;ESAP LA RENCONTRE;240000265;;;;;;;;;;;660;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;1;7;0;;0;
PSY2;2024;330780289;HOPITAL DE JOUR L'OISEAU LYRE;330790809;;;;;;;;;;;;;;;;;;5285;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330780297;CLINIQUE ANOUSTE;330000175;0;0;0;0;0;0;0;0;0;0;13578;0;0;0;0;0;0;6510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330780313;MAISON DE SANTE LES PINS;330000191;;;;;;;;;;;32004;;;;;;;3654;;;;;;;4459;;;;;;;0;;0;;0;;0;0;1;1;1;1;0;
PSY2;2024;330780321;CLINIQUE BETHANIE;330000209;;;;;;;;;;;29131;;;;;;;22309;;;;;;;;;;;;;;0;;0;;0;;0;0;1;2;0;;0;
PSY2;2024;330780636;CSMI RENOVATION - CMP BORDEAUX-NORD;330785072;;;;;;;;;;1172;;;;;;;;;;;;;;;24182;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330780776;CLINIQUE LES HORIZONS;330056839;0;0;0;0;0;0;0;0;0;0;26513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;330781170;CENTRE READAPT PASTEUR - RENOVATION;330785072;;;;;;;;;;;11548;;;;;;;723;;;;;;;697;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330781188;CTRE DE REHABILITATION PSYCHO-SOCIALE;330056540;;;;;;;;;;;4709;;;;;;;4102;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;330782350;CENTRE PSYCHOTHERAPIQUE LES PLATANES;330000480;;;;;;;;;;;;;;;;;;9371;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330783614;HOPITAL DE JOUR DU PARC - RENOVATION;330785072;;;;;;;;;;;;;;;;;;9665;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330783721;HOPITAL GARDEROSE;330781253;;;;;;;;;275;214;16759;1797;;;;3100;921;11470;88;;;;123;62;59881;1226;;10;;2655;344;1;4.5;0;;;;0;0;1;3;1;3;0;
PSY2;2024;330783960;HOPITAL DE JOUR CENTRE SANTE MENT MGEN;750005068;;;;;;;;;;;;;;;;;;11306;;;;;;;3046;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;330802752;CENTRE JEAN ABADIE - CHU;330781196;;;;;;;;;;;2002;;;;;;;214;;;;;;;208;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;340000033;CH BEZIERS;340780055;;;;;;;;;738;297;3204;1;;;;13;5;;;;;;;;24719;208;28;;37;850;264;1;0.77;0;;0;;0;0;0;;0;;0;
PSY2;2024;340000223;HOPITAL ST CLAIR SETE HBT;340011295;0;0;;;0;0;;;0;0;2204;235;;;;1863;169;3985;2;;;;70;;34510;331;19;;;1597;124;1;1;0;;0;;0;0;0;;1;2;;139
PSY2;2024;340010149;CL ST CLEMENT;340010099;;;;;;;;;;;23656;;;;;;;5677;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;340016732;HJ PSY GEN SITE PERREAL CH BEZIERS;340780055;;;;;;;;;;;15825;3177;1713;;409;12056;4090;13504;664;93;;;852;146;55690;1335;193;;;1928;503;1;0.77;0;;0;;0;0;1;4;1;5;0;
PSY2;2024;340780121;CL LA PERGOLA BEZIERS;340000082;;;;;;;;;;;38878;;;;;;;6098;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;340780485;CHS LA COLOMBIERE CHU MONTPELLIER;340780477;;;;;;;;;;;20316;6658;2622;0;1510;31420;5669;25216;496;477;0;0;2437;651;164590;3456;2641;0;28;11257;3265;1;0.2;0;;0;;0;0;1;10;1;21;0;
PSY2;2024;340780758;CL RECH MONTPELLIER;340000355;;;;;;;;;;;52151;;;;;;;4440;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;340780766;CL LA LIRONDE ST CLEMENT DE RIVIERE;920030269;;;;;;;;;;;40585;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;340780782;CL STELLA VERARGUES;340000371;;;;;;;;;;;53006;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;0;;;;;0;
PSY2;2024;340780790;CL ST ANTOINE;340000389;0;0;0;0;0;0;0;0;0;0;27361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;0;;0;0
PSY2;2024;340780931;CL ST MARTIN VIGNOGOUL PIGNAN;340000454;;;;;;;;;;;30108;;;;;;;5494;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;;;;;;;;;;;2530;0;100;0;0;0;0;6188;0;22;0;0;0;0;15137;0;0;0;0;0;0;1;0.05;0;;0;;0;0;0;;0;;0;
PSY2;2024;340787266;HJ PIJ SETE HBT;340011295;;;;;;;;;386;286;33;;;;;;;1266;;;;;;;9744;0;;;;;;1;0.3;0;;0;;0;0;0;;0;;0;
PSY2;2024;350000121;CHP SAINT GREGOIRE;350000303;;;;;;20;;802;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;350000147;GHRE - SITE SAINT MALO BROUSSAIS;350000022;0;;;;0;;;;201;321;24098;626;519;;;1537;757;5568;24;;;;4;;69028;38;18;;;471;160;1;0.72;0;;0;;0;0;1;4;1;2;1;26196
PSY2;2024;350000162;CHIRC SITE REDON;350000048;;;;;;;;;;;3424;188;444;;;1651;;1317;122;176;;;52;;12023;234;64;;;520;;1;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;350000337;C.H. GUILLAUME REGNIER RENNES;350000246;;;;;;;;;1408;15;118018;7519;5941;139;3395;22586;13152;19686;324;293;15;127;460;58;320529;940;985;7;322;3539;957;0;;0;;1;22.68;1;1;;;;;1;
PSY2;2024;350002119;CLINIQUE DU MOULIN;350000386;;;;;;;;;;;29744;;;;;;;7210;;;;;;;;;;;;;;0;;0;;0;;0;0;1;2;0;;0;
PSY2;2024;350002176;CLINIQUE DE L'ESPERANCE;350000402;;;;;;;;;;;27538;;;;;;;2789;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;350002234;CLINIQUE FSEF RENNES BEAULIEU;750720575;;;;;;;;;;;2244;;;;;;;1865;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;350002754;CENTRE RÉADAPTATION ESCALE THÉBAUDAIS;440042844;0;0;0;0;0;0;0;0;0;0;7992;;;;;;;2520;;;;;;;805;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;350054680;POLYCLINIQUE SAINT LAURENT;220020739;;;;;;;;;;;27408;;;;;;;1592;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;1;150
PSY2;2024;360000137;CH CHATEAUROUX;360000053;;;;;;;;;;;29567;754;;;65;6263;1025;3812;3;2;;;124;4;70250;531;18;;28;2041;377;1;0.3;0;;0;;0;0;0;;1;11;1;1145
PSY2;2024;360000210;CLINIQUE DU HAUT-CLUZEAU;920030269;;;;;;;;;;;20630;;;;;;;4209;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;370000119;CLINIQUE VONTES;370013062;;;;;;;;;;;54305;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;1;4;0;;0;
PSY2;2024;370000127;CLINIQUE RONSARD;370000259;;;;;;;;;;;24269;;;;;;;5194;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;370000143;CLINIQUE DU VAL DE LOIRE;370000291;0;0;0;0;0;0;0;0;0;0;19385;0;0;0;0;0;0;2780;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;
PSY2;2024;370000499;CHRU CLOCHEVILLE - TOURS;370000481;;;;;;;;;;;1258;;;;;;;62;;;;;;;16516;;;;;;;0;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;370000531;CH DU CHINONAIS;370000606;;;;;;;;;;;8320;16;;;;1628;227;12709;;;;;118;;28935;174;;;;480;106;0;;0;;0;;0;0;1;2;1;2;;
PSY2;2024;370000580;CHIC CHÂTEAU-RENAULT HÔP DR J.DELANEAU;370000564;;;;;;;;;;;11150;1109;329;;;1746;354;2254;;;;;;;8809;108;;;;78;21;0;;0;;0;;0;0;;;;;0;
PSY2;2024;370000861;CHRU BRETONNEAU - TOURS;370000481;;;;;;;;;;;6348;1024;21;;;3241;508;7128;53;100;;;377;45;43452;520;262;;;4253;458;0;;0;;0;;0;0;0;;1;2;0;
PSY2;2024;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;;;;;;;;;;;;;;;;;;2293;;27;;;323;;10764;;;;;;;0;;0;;0;;0;0;;;;;;
PSY2;2024;370000903;CH PAUL MARTINAIS - LOCHES;370000614;;;;;;;;;;;;;;;;;;2712;;;;;94;;8434;;;;;331;120;1;0.86;0;;0;;0;0;0;;0;;0;
PSY2;2024;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;;;;;;;;;;;12354;3065;416;35;5;10614;1778;7123;339;219;;;1505;204;34069;1069;384;;;6061;1095;;;;;;;;;1;1;1;3;;
PSY2;2024;370005050;CENTRE PSY.UNIVERSITAIRE-CHRU TOURS;370000481;;;;;;;;;;;11133;294;20;;;4287;1178;80;;;;;;;16624;7;1;;;63;22;0;;0;;0;;0;0;0;;1;3;0;
PSY2;2024;370015976;CENTRE AMBULATOIRE DE TOURS;370016065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;;;;;;;;;;;;;;;;;;1907;;;;;;;10510;;;;;;;0;;0;;0;;0;0;1;2;0;;0;
PSY2;2024;380000067;HOPITAL NORD - CHU38;380780080;;;;;;;;;;;7427;164;;;;1679;577577;672;;;;;;;8496;;;;;5;1;0;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;380000133;CH ALPES ISERE;380780247;0;0;0;0;6;6;667;632;2566;2591;45648;18213;1290;98;241;24029;11548;29470;295;0;0;0;675;264;204089;4100;185;24;79;6702;2144;0;;0;;1;11.77;0;1;1;14;1;11;;
PSY2;2024;380022715;CH VINATIER- SMPR ST QUENTIN FALLAVIER;690780101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;8.61;0;0;;;;;0;
PSY2;2024;380024257;PSYPRO GRENOBLE;690048798;;;;;;;;;;;;;;;;;;9838;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;380780296;CLINIQUE DU DAUPHINE;920039674;;;;;;;;;;;47120;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;380780312;CLINIQUE FSEF GRENOBLE LA TRONCHE;750720575;;;;;;;;;;;21482;;;;;;;5165;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;380784462;ETAB. DE SANTE MENTALE DE GRENOBLE;750005068;;;;;;;;;;;187;;;;;;;6251;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;380794297;FONDATION GEORGES BOISSEL;380794297;;;;;;;;;2475;976;26707;2498;154;8;;6159;4028;8002;52;;;;148;97;86140;1236;107;19;;1424;594;0;;0;;0;;0;0;1;2;1;8;1;1063
PSY2;2024;390000164;CHS SAINT YLIE JURA;390780476;;;;;;;;;;;50045;2765;468;12;73;15961;6334;16154;85;11;13;0;384;72;74548;292;132;11;2;612;286;1;1.94;0;;0;;0;0;1;5;1;5;1;2676
PSY2;2024;390008019;CLINIQUE VAL JURA;710016387;;;;;;;;;;;12860;;;;;108;24;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;1;1;0;
PSY2;2024;400000105;CENTRE HOSPITALIER DAX;400780193;;;;;;;;;1873;354;3838;212;4;;;1336;318;6789;;;;;;;65043;;;;;;;1;8.17;0;;0;;0;0;0;;1;1;0;
PSY2;2024;400000113;CH MONT DE MARSAN - SITE DE STE ANNE;400011177;;;;;;;;;1213;4173;22728;2935;640;55;608;6305;1784;11906;46;0;0;0;198;66;89284;905;171;7;517;2808;1024;1;3.3;0;;0;;0;0;0;;1;6;0;
PSY2;2024;400014072;HOPITAL DE JOUR CMPA;400014064;;;;;;;;;;;;;;;;;;6784;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;400015533;HOPITAL DE JOUR HEGALDIA SUD LANDES;400015491;;;;;;;;;;;;;;;;;;7883;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;400015863;CENTRE AMBULATOIRE BENESSE MAREMNE;400013801;;;;;;;;;;;2280;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;400780367;CLINIQUE FSEF AIRE-SUR-L'ADOUR;750720575;;;;;;;;;;;15311;;;;;;;1735;;;;;;;2599;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;400780375;CLINIQUE MAYLIS;400013801;;;;;;;;;;;21862;;;;;;;7244;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;410000020;CH BLOIS SIMONE VEIL;410000087;;;;;;;;;414;353;4191;413;366;;21;3497;159;2053;9;;;;97;7;45304;71;;;;557;43;1;0.9;0;;0;;0;0;1;2;1;2;1;41
PSY2;2024;410000046;CH ROMORANTIN-LANTHENAY;410000103;;;;;;;;;;;14641;667;;;;1053;517;7111;;;;;;64;30296;129;;9;1;229;57;0;;0;;0;;0;0;1;2;1;3;1;
PSY2;2024;410000277;CLINIQUE DE COUR CHEVERNY;410000467;;;;;;;;;;;36991;;;;;;;7668;;;;;;;;;;;;;;0;;0;;0;;0;0;1;1;0;;0;
PSY2;2024;410000475;CLINIQUE MEDICALE DU CENTRE DE SAUMERY;410000475;;;;;;;;;;;19054;;;;;;;6021;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;410003768;SERVICE PSYCHIATRIE-ANNEXE-CH VENDOME;410000095;;;;;;;;;;;9670;197;;;;795;58;19301;391;;;;379;;3576;;20;;;12;;1;;0;;0;;0;0;1;1;1;2;1;
PSY2;2024;420000010;CH DE ROANNE;420780033;;;;;;;;;;;8760;1185;;;12;3134;975;5313;391;;;0;601;133;45620;;;;;;;1;1.81;0;;0;;0;0;1;2;1;2;1;
PSY2;2024;420000226;CH DU FOREZ SITE DE MONTBRISON;420013831;0;0;0;0;0;0;0;0;19;2152;10414;409;;;;1909;24;4035;5;;;;2;;39890;125;217;;;79;;0;;0;;0;;0;0;1;3;1;3;1;276
PSY2;2024;420781767;CLINIQUE DES MONTS DU FOREZ;420000523;;;;;;;;;;;23460;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;
PSY2;2024;420782559;HOPITAL DE BELLEVUE - CHU42;420784878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2166;10;0;0;0;0;0;23371;196;9;117;2;985;78;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;420782567;HOPITAL DE LA CHARITE - CHU42;420784878;0;0;0;0;0;0;0;0;0;0;;;;;;;;2072;43;;;;2;;16262;107;4;55;2;677;33;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;420783102;CENTRE DE POST-CURE LA MUSARDIÈRE;420000929;;;;;;;;;;;13591;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;420785354;HOPITAL NORD - CHU42;420784878;0;0;0;0;0;0;0;0;1014;184;41505;5258;770;27;194;8352;1478;8640;327;0;0;0;138;45;57872;151;12;43;1409;745;55;1;5.83;0;;0;;0;0;1;2;1;6;0;
PSY2;2024;420788440;CLINIQUE DE SAINT VICTOR;420001794;;;;;;;;;;;37127;;;;;;;4151;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;420790081;CLINIQUE LE CLOS MONTAIGNE;750071292;;;;;;;;;;;27058;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;430000026;CENTRE HOSPITALIER SAINTE MARIE LE PUY;630786754;;;;;;;;;191;439;33282;1624;130;;14;10125;2352;16816;335;22;;;625;275;70883;667;99;;;2287;454;1;1.21;0;;0;;0;0;1;5;1;5;1;2850
PSY2;2024;440000180;CHS EPSYLAN BLAIN;440000263;;;;;;;;;;;31926;2259;850;73;32;5594;2387;11188;116;131;;;737;370;88910;614;189;9;;1811;682;;;0;;0;;0;0;;;;;;
PSY2;2024;440000800;CLINIQUE DU PARC;440001246;;;;;;;;;;;20572;;;;;;;5299;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;440001972;CH GEORGES DAUMEZON;440003309;;;;;;;;;;;30002;2005;465;28;39;6589;2292;12541;153;30;2;0;325;88;80255;741;153;4;0;2516;314;0;;0;;0;;0;0;1;4;1;2;1;
PSY2;2024;440003390;CLINIQUE DE LA BRIERE - LNA ES;440052041;;;;;;;;;;;25575;;;;;;;5867;;;;;;;;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;440007482;PSY'ACTIV;440007482;;;;;;;;;;;17471;;;;;;;2320;;;;;;;1232;;;;;;;0;;0;;0;;0;0;1;3;0;;0;
PSY2;2024;440007607;CH ST NAZAIRE HEINLEX;440000057;;;;;;;;;1241;362;18528;1975;4;7;0;8515;1722;4940;65;0;0;0;501;91;92536;889;0;2;3;3099;1075;1;;0;;0;;0;0;0;;1;4;0;
PSY2;2024;440018729;LES APSYADES;440018729;;;;;;;;;;;4057;;;;;;;1046;;;;;;;34637;;;;;;;0;;0;;0;;0;0;0;;0;;0;
PSY2;2024;440021392;HOP PSY STJACQUES CHU NANTES;440000289;;;;;;;;;;;60947;5382;0;0;0;9167;4862;18106;324;0;0;0;175;32;119326;1398;0;0;0;1195;408;1;4.38;0;;1;29.04;0;1;;;;;0;
PSY2;2024;450000062;CH AGGLOMERATION MONTARGOISE;450000104;;;;;;;;;;;6202;455;378;;;88;878;2152;105;;;;607;17;30206;170;7;;;344;23;;;0;;0;;0;0;;;;;;
PSY2;2024;450000559;SA CLINIQUE BELLE ALLEE;450000559;;;;;;;;;;;25314;;;;;;;1217;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;450000930;EPSM DU LOIRET G. DAUMEZON;450002423;;;;;;;;;;;50921;5462;950;7;3563;11471;3091;15726;148;278;0;5;76;25;132396;1500;178;0;77;1426;216;1;4.67;0;;1;20.04;1;1;;;;;1;2384
PSY2;2024;450018924;CLINIQUE DU PONT DE GIEN;450015409;;;;;;;;;;;27368;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;0;;;;;0;
PSY2;2024;460785090;INSTITUT CAMILLE MIRET;460785090;0;0;0;0;0;0;0;0;0;0;24308;2570;727;0;0;6036;4266;11355;100;72;0;0;141;406;71476;372;28;0;0;759;941;1;0.28;0;;0;;0;0;;;;;1;80
PSY2;2024;470000563;CH DEPARTEMENTAL DE LA CANDELIE;470000381;;;;;;;;;;;41879;11337;107;;247;5516;7165;16986;973;;;;359;443;109916;2080;50;5;443;614;943;1;0.86;0;;0;;0;;1;5;1;8;1;149
