BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT;DIALYSE_AA100;DIALYSE_AA101
DIALYSE;2024;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;140000852;121AX;;;;;9;;;;484;;;;
DIALYSE;2024;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;140000852;121CX;;;;5;5;;;;264;;;;
DIALYSE;2024;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;140000852;TOT;0;;;;;;;;;;;0;1
DIALYSE;2024;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;280000852;1130X;;;;4;16;2812;;;;;;;
DIALYSE;2024;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;280000852;1140X;;;;6;16;1474;;;;;;;
DIALYSE;2024;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;280000852;TOT;0;;;;;;;;;2;0;0;0
DIALYSE;2024;280502741;A.I.R.B.P IRC CHARTRES;280000852;112AX;;;;2;0;188;;;;;;;
DIALYSE;2024;280502741;A.I.R.B.P IRC CHARTRES;280000852;1130X;;;;6;28;3649;;;;;;;
DIALYSE;2024;280502741;A.I.R.B.P IRC CHARTRES;280000852;1140X;;;;6;26;3609;;;;;;;
DIALYSE;2024;280502741;A.I.R.B.P IRC CHARTRES;280000852;1150A;;;;6;6;1133;;;;;;;
DIALYSE;2024;280502741;A.I.R.B.P IRC CHARTRES;280000852;TOT;0;;;;;;0;2;;6;0;0;0
DIALYSE;2024;280503848;A.I.R.B.P. IRC - DREUX;280000852;1140X;;;;12;41;4863;;;;;;;
DIALYSE;2024;280503848;A.I.R.B.P. IRC - DREUX;280000852;TOT;0;;;;;;0;0;;14;0;0;0
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;112AX;;;;1;;62;;;;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;112BA;;;;20;109;14226;;;;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1150A;;;;3;4;1138;;;;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1210;;;;;11;;;;552;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;121AX;;;;;5;;;;295;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;121CX;;;;1;6;;;;257;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;122AX;;;;1;;;;;3;;;;
DIALYSE;2024;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;TOT;0;;;;;;1093;2;;116;6;1;1
DIALYSE;2024;280504309;A.I.R.B.P. IRC CHATEAUDUN;280000852;1130X;;;;4;16;2143;;;;;;;
DIALYSE;2024;280504309;A.I.R.B.P. IRC CHATEAUDUN;280000852;1140X;;;;4;12;1718;;;;;;;
DIALYSE;2024;280504309;A.I.R.B.P. IRC CHATEAUDUN;280000852;TOT;0;;;;;;0;0;;2;0;0;0
DIALYSE;2024;280504689;NEPHROCARE VERNOUILLET;940000060;112AX;;;;2;1;797;;;;;;;
DIALYSE;2024;280504689;NEPHROCARE VERNOUILLET;940000060;112BA;;;;18;80;11757;;;;;;;
DIALYSE;2024;280504689;NEPHROCARE VERNOUILLET;940000060;1130X;;;;7;31;4570;;;;;;;
DIALYSE;2024;280504689;NEPHROCARE VERNOUILLET;940000060;TOT;0;;;;;;0;1;;13;;1;0
DIALYSE;2024;290000025;CHIC QUIMPER;290020700;112BA;;;;20;201;9269;;;;;;;
DIALYSE;2024;290000025;CHIC QUIMPER;290020700;122BX;;;;0;;;;;91;;;;
DIALYSE;2024;290000025;CHIC QUIMPER;290020700;TOT;0;;;;;;958;;;52;1;1;1
DIALYSE;2024;290000850;CTRE NEPHROLOGIE B BRAUN AVITUM BREST;920040862;112BA;;;;12;66;10558;;;;;;;
DIALYSE;2024;290000850;CTRE NEPHROLOGIE B BRAUN AVITUM BREST;920040862;1130X;;;;8;7;966;;;;;;;
DIALYSE;2024;290000850;CTRE NEPHROLOGIE B BRAUN AVITUM BREST;920040862;TOT;0;;;;;;0;;;21;;1;0
DIALYSE;2024;290000975;FONDATION ILDYS SITE DE PERHARIDY;290000546;112BA;;;;8;;5707;;;;;;;
DIALYSE;2024;290000975;FONDATION ILDYS SITE DE PERHARIDY;290000546;112BE;;;;0;;12;;;;;;;
DIALYSE;2024;290000975;FONDATION ILDYS SITE DE PERHARIDY;290000546;TOT;0;;;;;;22;;;;;1;0
DIALYSE;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;112BA;;;;12;52;6600;;;;;;;
DIALYSE;2024;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;TOT;0;;;;;;1473;;;;;1;0
DIALYSE;2024;290005131;UNITE DIALYSE PLOURIN-LES-MORLAIX AUB;350000626;112AX;;;;3;7;995;;;;;;;
DIALYSE;2024;290005131;UNITE DIALYSE PLOURIN-LES-MORLAIX AUB;350000626;112BA;;;;15;31;4133;;;;;;;
DIALYSE;2024;290005131;UNITE DIALYSE PLOURIN-LES-MORLAIX AUB;350000626;TOT;0;;;;;;0;;;18;;1;0
DIALYSE;2024;290005172;UNITE DIALYSE BREST LOSCOAT AUB;350000626;1140X;;;;27;41;6189;;;;;;;
DIALYSE;2024;290005172;UNITE DIALYSE BREST LOSCOAT AUB;350000626;TOT;0;;;;;;;;;6;;0;0
DIALYSE;2024;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;350000626;1130X;;;;6;6;1078;;;;;;;
DIALYSE;2024;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;350000626;1140X;;;;12;13;2202;;;;;;;
DIALYSE;2024;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;350000626;TOT;0;;;;;;;;;1;;0;0
DIALYSE;2024;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;350000626;112AX;;;;1;;1;;;;;;;
DIALYSE;2024;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;350000626;1130X;;;;10;27;3413;;;;;;;
DIALYSE;2024;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;350000626;1140X;;;;9;20;3279;;;;;;;
DIALYSE;2024;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;350000626;TOT;0;;;;;;;;;8;;0;0
DIALYSE;2024;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;350000626;112AX;;;;4;6;665;;;;;;;
DIALYSE;2024;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;350000626;1130X;;;;23;26;4119;;;;;;;
DIALYSE;2024;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;350000626;1140X;;;;22;24;3969;;;;;;;
DIALYSE;2024;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;350000626;TOT;0;;;;;;0;;;13;;0;0
DIALYSE;2024;290021070;UNITE DIALYSE CONCARNEAU - AUB;350000626;1140X;;;;10;13;1935;;;;;;;
DIALYSE;2024;290023779;UNITE DIALYSE CARHAIX AUB;350000626;112AX;;;;1;2;240;;;;;;;
DIALYSE;2024;290023779;UNITE DIALYSE CARHAIX AUB;350000626;112BA;;;;9;14;2435;;;;;;;
DIALYSE;2024;290023779;UNITE DIALYSE CARHAIX AUB;350000626;1130X;;;;9;14;2311;;;;;;;
DIALYSE;2024;290023779;UNITE DIALYSE CARHAIX AUB;350000626;1140X;;;;8;16;2083;;;;;;;
DIALYSE;2024;290023779;UNITE DIALYSE CARHAIX AUB;350000626;TOT;0;;;;;;0;;;8;;1;0
DIALYSE;2024;290023787;UNITE DIALYSE LANDIVISIAU AUB SANTE;350000626;1140X;;;;6;5;589;;;;;;;
DIALYSE;2024;290023787;UNITE DIALYSE LANDIVISIAU AUB SANTE;350000626;TOT;0;;;;;;;;;1;;0;0
DIALYSE;2024;290023795;UNITE DIALYSE LE FOLGOET - AUB;350000626;1140X;;;;11;22;3065;;;;;;;
DIALYSE;2024;290023795;UNITE DIALYSE LE FOLGOET - AUB;350000626;TOT;0;;;;;;;;;4;;0;0
DIALYSE;2024;290025337;UNITE DIALYSE PONT L'ABBE AUB;350000626;1140X;;;;16;13;2248;;;;;;;
DIALYSE;2024;290025337;UNITE DIALYSE PONT L'ABBE AUB;350000626;TOT;0;;;;;;;;;1;;0;0
DIALYSE;2024;290028539;UNITE DIALYSE LANDERNEAU AUB SANTE;350000626;1140X;;;;6;5;743;;;;;;;
DIALYSE;2024;290029669;UNITE DIALYSE QUIMPER AUB SANTE;350000626;112AX;;;;3;6;634;;;;;;;
DIALYSE;2024;290029669;UNITE DIALYSE QUIMPER AUB SANTE;350000626;112BA;;;;24;29;4955;;;;;;;
DIALYSE;2024;290029669;UNITE DIALYSE QUIMPER AUB SANTE;350000626;TOT;0;;;;;;0;;;7;;1;0
DIALYSE;2024;290030808;UNITE DIALYSE CROZON AUB SANTE;350000626;112AX;;;;1;;5;;;;;;;
DIALYSE;2024;290030808;UNITE DIALYSE CROZON AUB SANTE;350000626;1130X;;;;8;12;1943;;;;;;;
DIALYSE;2024;290030808;UNITE DIALYSE CROZON AUB SANTE;350000626;1140X;;;;5;7;1165;;;;;;;
DIALYSE;2024;290030808;UNITE DIALYSE CROZON AUB SANTE;350000626;TOT;0;;;;;;;;;3;;0;0
DIALYSE;2024;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;350000626;112AX;;;;8;19;1702;;;;;;;
DIALYSE;2024;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;350000626;1130X;;;;21;27;4573;;;;;;;
DIALYSE;2024;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;350000626;1140X;;;;7;9;1421;;;;;;;
DIALYSE;2024;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;350000626;TOT;0;;;;;;0;;;23;;0;0
DIALYSE;2024;290032655;UNITE DIALYSE QUIMPERLE MELLAC AUB;350000626;1130X;;;;6;6;1042;;;;;;;
DIALYSE;2024;290032655;UNITE DIALYSE QUIMPERLE MELLAC AUB;350000626;1140X;;;;3;2;449;;;;;;;
DIALYSE;2024;290032655;UNITE DIALYSE QUIMPERLE MELLAC AUB;350000626;TOT;0;;;;;;;;;2;;0;0
DIALYSE;2024;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;112BA;;;;12;46;2699;;;;;;;
DIALYSE;2024;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;1130X;;;;18;45;2748;;;;;;;
DIALYSE;2024;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;TOT;1;6;9;;;;70;;;;;1;0
DIALYSE;2024;2A0003174;CENTRE D'AUTO DIALYSE;2A0003166;1140X;;;;12;24;3716;;;;;;;
DIALYSE;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;112BA;;;;9;;5409;;;;;;;
DIALYSE;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;1130X;;;;6;20;2648;;;;;;;
DIALYSE;2024;2A0004842;CH ND LA MISERICORDE;2A0000014;TOT;0;;;;;;656;1;;26;0;1;0
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;112BA;;;;12;;6309;;;;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1140X;;;;4;;2070;;;;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1210;;;;;;;;;335;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;121AX;;;;;;;;;194;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;121CX;;;;4;;;;;141;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;122AX;;;;8;;;;;1;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;122BX;;;;8;;;;;;;;;
DIALYSE;2024;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;TOT;0;;;;;;522;1;;;;1;1
DIALYSE;2024;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;130006810;112AX;;;;1;0;145;;;;;;;
DIALYSE;2024;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;130006810;1130X;;;;5;8;1425;;;;;;;
DIALYSE;2024;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;130006810;1140X;;;;0;0;31;;;;;;;
DIALYSE;2024;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;130016058;1130X;;;;6;15;2071;;;;;;;
DIALYSE;2024;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;130016058;1140X;;;;4;6;1052;;;;;;;
DIALYSE;2024;2B0005797;CENTRE DE DIALYSE SAINTE CATHERINE;2B0005789;1140X;;;;12;38;4012;;;;;;;
DIALYSE;2024;2B0005797;CENTRE DE DIALYSE SAINTE CATHERINE;2B0005789;TOT;0;;;;;;;;;10;;0;0
DIALYSE;2024;300007119;AIDER SANTE UAD UDM CH ALES 1;340000264;112AX;;;;2;1;1336;;;;;;;
DIALYSE;2024;300007119;AIDER SANTE UAD UDM CH ALES 1;340000264;1130X;;;;13;71;9782;;;;;;;
DIALYSE;2024;300007119;AIDER SANTE UAD UDM CH ALES 1;340000264;1140X;;;;12;7;1376;;;;;;;
DIALYSE;2024;300007119;AIDER SANTE UAD UDM CH ALES 1;340000264;TOT;0;;;;;;0;1;;0;0;0;0
DIALYSE;2024;300008588;NEPHROCARE NIMES NEWCO 3;940023849;112AX;;;;2;6;854;;;;;;;
DIALYSE;2024;300008588;NEPHROCARE NIMES NEWCO 3;940023849;112BA;;;;33;130;20265;;;;;;;
DIALYSE;2024;300008588;NEPHROCARE NIMES NEWCO 3;940023849;TOT;1;1;42;;;;0;3;;22;;1;0
DIALYSE;2024;300008638;NEPHROCARE UDM BAGNOLS SUR CEZE NEWCO3;940023849;112AX;;;;2;;173;;;;;;;
DIALYSE;2024;300008638;NEPHROCARE UDM BAGNOLS SUR CEZE NEWCO3;940023849;1130X;;;;14;41;6052;;;;;;;
DIALYSE;2024;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;112AX;;;;3;7;2176;;;;;;;
DIALYSE;2024;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;112BA;;;;23;72;10006;;;;;;;
DIALYSE;2024;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;TOT;0;;;;;;0;2;;22;0;1;0
DIALYSE;2024;300021961;AIDER SANTE DIALYSE DOMICILE NIMES;340000264;1150A;;;;12;12;1201;;;;;;;
DIALYSE;2024;300021961;AIDER SANTE DIALYSE DOMICILE NIMES;340000264;1210;;;;;35;;;;574;;;;
DIALYSE;2024;300021961;AIDER SANTE DIALYSE DOMICILE NIMES;340000264;121AX;;;;;14;;;;235;;;;
DIALYSE;2024;300021961;AIDER SANTE DIALYSE DOMICILE NIMES;340000264;121CX;;;;21;21;;;;339;;;;
DIALYSE;2024;300021961;AIDER SANTE DIALYSE DOMICILE NIMES;340000264;122AX;;;;3;3;;;;55;;;;
DIALYSE;2024;300021961;AIDER SANTE DIALYSE DOMICILE NIMES;340000264;TOT;0;;;;;;;;;0;0;0;1
DIALYSE;2024;300782117;CHU NIMES CAREMEAU;300780038;112BA;;;;16;90;12271;;;;;;;
DIALYSE;2024;300782117;CHU NIMES CAREMEAU;300780038;122AX;;;;2;;;;;173;;;;
DIALYSE;2024;300782117;CHU NIMES CAREMEAU;300780038;122BX;;;;4;;;;;60;;;;
DIALYSE;2024;300782117;CHU NIMES CAREMEAU;300780038;TOT;0;;;;;;2064;4;;;;1;1
DIALYSE;2024;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;112AX;;;;6;2;1885;;;;;;;
DIALYSE;2024;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;1130X;;;;24;95;13518;;;;;;;
DIALYSE;2024;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;1140X;;;;12;16;2652;;;;;;;
DIALYSE;2024;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;TOT;0;;;;;;0;2;;2;0;0;0
DIALYSE;2024;310006473;NEPHROCARE OC UAD RIEUX VOLVESTRE;310002712;1140X;;;;6;7;1322;;;;;;;
DIALYSE;2024;310011838;CL NEPHRO ST EXUPERY UDM CORNEBARRIEU;310000617;1130X;;;;14;25;3338;;;;;;;
DIALYSE;2024;310011838;CL NEPHRO ST EXUPERY UDM CORNEBARRIEU;310000617;TOT;0;;;;;;;;;8;;0;0
DIALYSE;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;112BE;;;;6;24;1191;;;;;;;
DIALYSE;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;122AX;;;;2;0;;;;21;;;;
DIALYSE;2024;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;TOT;0;;;;;;64;;;;;1;1
DIALYSE;2024;310018684;CL NEPHRO ST EXUPERY UAD TLS SANS;310000617;1140X;;;;15;10;1574;;;;;;;
DIALYSE;2024;310018684;CL NEPHRO ST EXUPERY UAD TLS SANS;310000617;TOT;0;;;;;;;;;2;;0;0
DIALYSE;2024;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;112AX;;;;1;1;;;;;;;;
DIALYSE;2024;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;112BA;;;;32;143;21175;;;;;;;
DIALYSE;2024;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;112BE;;;;0;;4;;;;;;;
DIALYSE;2024;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;122AX;;;;3;;;;;128;;;;
DIALYSE;2024;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;122BX;;;;2;;;;;0;;;;
DIALYSE;2024;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;TOT;0;;;;;;239;;;;;1;1
DIALYSE;2024;310020169;AAIR UAD COLOMIERS MONNET;310000633;1140X;;;;10;19;2706;;;;;;;
DIALYSE;2024;310020169;AAIR UAD COLOMIERS MONNET;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310026612;CL NEPHRO ST EXUPERY UDM UNION ST JEAN;310000617;1130X;;;;18;57;7912;;;;;;;
DIALYSE;2024;310026612;CL NEPHRO ST EXUPERY UDM UNION ST JEAN;310000617;TOT;0;;;;;;;;;14;;0;0
DIALYSE;2024;310026919;AAIR UAD UDM DD RAMONVILLE ST AGNE;310000633;1130X;;;;3;8;1201;;;;;;;
DIALYSE;2024;310026919;AAIR UAD UDM DD RAMONVILLE ST AGNE;310000633;1140X;;;;5;11;1586;;;;;;;
DIALYSE;2024;310026919;AAIR UAD UDM DD RAMONVILLE ST AGNE;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310031414;CL NEPHRO ST EXUPERY UAD QUINT;310000617;1140X;;;;14;22;2910;;;;;;;
DIALYSE;2024;310031414;CL NEPHRO ST EXUPERY UAD QUINT;310000617;TOT;0;;;;;;;;;13;;0;0
DIALYSE;2024;310031927;AAIR UAD TOULOUSE PERIOLE;310000633;1140X;;;;12;44;6444;;;;;;;
DIALYSE;2024;310031927;AAIR UAD TOULOUSE PERIOLE;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310035548;AAIR UAD CASTELNAU D'ESTRETEFONDS;310000633;1140X;;;;8;8;190;;;;;;;
DIALYSE;2024;310035548;AAIR UAD CASTELNAU D'ESTRETEFONDS;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310781000;CL DES CEDRES CORNEBARRIEU;310788880;TOT;0;;;;;;53;;;;;0;0
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;112AX;;;;4;2;420;;;;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;112BA;;;;63;260;41028;;;;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;1150A;;;;4;;969;;;;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;1210;;;;;5;;;;304;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;121AX;;;;;1;;;;95;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;121CX;;;;5;4;;;;209;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;122AX;;;;7;2;;;;23;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;122BX;;;;7;6;;;;267;;;;
DIALYSE;2024;310782016;CL NEPHRO ST EXUPERY TOULOUSE;310000617;TOT;1;3;69;;;;4250;6;;163;;1;1
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;112AX;;;;2;12;978;;;;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;1130X;;;;21;70;9743;;;;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;1140X;;;;2;0;10;;;;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;1150A;;;;8;8;2420;;;;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;1210;;;;;64;;;;3356;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;121AX;;;;;32;;;;1663;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;121CX;;;;32;32;;;;1693;;;;
DIALYSE;2024;310782065;AAIR UDM TOULOUSE LE GOFF;310000633;TOT;1;10;185;;;;;2;;22;0;0;1
DIALYSE;2024;310793401;CL NEPHRO ST EXUPERY UAD BESSIERES;310000617;1140X;;;;12;20;2802;;;;;;;
DIALYSE;2024;310793401;CL NEPHRO ST EXUPERY UAD BESSIERES;310000617;TOT;0;;;;;;;;;7;;0;0
DIALYSE;2024;310793419;CL NEPHRO ST EXUPERY UDM UAD ST GAUDEN;310000617;1130X;;;;16;13;2093;;;;;;;
DIALYSE;2024;310793419;CL NEPHRO ST EXUPERY UDM UAD ST GAUDEN;310000617;1140X;;;;16;34;4096;;;;;;;
DIALYSE;2024;310793419;CL NEPHRO ST EXUPERY UDM UAD ST GAUDEN;310000617;TOT;0;;;;;;;;;15;;0;0
DIALYSE;2024;310793435;CL NEPHRO ST EXUPERY UAD VILLEFRANCHE;310000617;1140X;;;;14;11;1726;;;;;;;
DIALYSE;2024;310793435;CL NEPHRO ST EXUPERY UAD VILLEFRANCHE;310000617;TOT;0;;;;;;;;;5;;0;0
DIALYSE;2024;310793567;AAIR UAD BLAGNAC;310000633;1140X;;;;12;15;2644;;;;;;;
DIALYSE;2024;310793567;AAIR UAD BLAGNAC;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310793575;AAIR UAD TOULOUSE CEPIERE;310000633;1140X;;;;6;11;1605;;;;;;;
DIALYSE;2024;310793575;AAIR UAD TOULOUSE CEPIERE;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310793807;CL NEPHRO ST EXUPERY UAD BRAX;310000617;1140X;;;;15;11;1596;;;;;;;
DIALYSE;2024;310793807;CL NEPHRO ST EXUPERY UAD BRAX;310000617;TOT;0;;;;;;;;;2;;0;0
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;112AX;;;;2;2;1544;;;;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;112BA;;;;49;131;19961;;;;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;1130X;;;;15;41;4904;;;;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;1140X;;;;2;4;631;;;;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;1150A;;;;1;1;164;;;;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;1210;;;;;7;;;;368;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;121AX;;;;;3;;;;208;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;121CX;;;;4;4;;;;160;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;122AX;;;;1;;;;;43;;;;
DIALYSE;2024;310794417;NEPHROCARE OC CENTRE UAD UDM DD MURET;310002712;TOT;0;;;;;;;1;;39;1;1;1
DIALYSE;2024;310794524;AAIR UAD UDM ST GAUDENS;310000633;1130X;;;;8;24;3109;;;;;;;
DIALYSE;2024;310794524;AAIR UAD UDM ST GAUDENS;310000633;1140X;;;;6;9;1276;;;;;;;
DIALYSE;2024;310794524;AAIR UAD UDM ST GAUDENS;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;310794532;CL NEPHRO ST EXUPERY UAD TLS BASSO;310000617;1140X;;;;15;10;1582;;;;;;;
DIALYSE;2024;310794532;CL NEPHRO ST EXUPERY UAD TLS BASSO;310000617;TOT;0;;;;;;;;;4;;0;0
DIALYSE;2024;310796768;CL NEPHRO ST EXUPERY UAD LUCHON;310000617;1140X;;;;8;1;672;;;;;;;
DIALYSE;2024;310796768;CL NEPHRO ST EXUPERY UAD LUCHON;310000617;TOT;0;;;;;;;;;1;;0;0
DIALYSE;2024;310796776;CL NEPHRO ST EXUPERY UAD REVEL;310000617;1140X;;;;12;25;3512;;;;;;;
DIALYSE;2024;310796776;CL NEPHRO ST EXUPERY UAD REVEL;310000617;TOT;0;;;;;;;;;2;;0;0
DIALYSE;2024;320000086;CH AUCH EN GASCOGNE;320780117;112AX;;;;2;1;548;;;;;;;
DIALYSE;2024;320000086;CH AUCH EN GASCOGNE;320780117;112BA;;;;14;48;6061;;;;;;;
DIALYSE;2024;320000086;CH AUCH EN GASCOGNE;320780117;1130X;;;;8;7;0;;;;;;;
DIALYSE;2024;320000086;CH AUCH EN GASCOGNE;320780117;1140X;;;;35;55;8580;;;;;;;
DIALYSE;2024;320000086;CH AUCH EN GASCOGNE;320780117;TOT;0;;;;;;879;2;;36;0;1;0
DIALYSE;2024;320001050;AAIR UAD MIRANDE;310000633;1140X;;;;6;11;1615;;;;;;;
DIALYSE;2024;320001050;AAIR UAD MIRANDE;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;320001688;AAIR UAD CONDOM;310000633;1140X;;;;6;11;1632;;;;;;;
DIALYSE;2024;320001688;AAIR UAD CONDOM;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;320004872;AAIR UAD L'ISLE JOURDAIN;310000633;1140X;;;;6;10;1499;;;;;;;
DIALYSE;2024;320004872;AAIR UAD L'ISLE JOURDAIN;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;320005523;AAIR UAD UDM NOGARO;310000633;1140X;;;;6;10;1623;;;;;;;
DIALYSE;2024;320005523;AAIR UAD UDM NOGARO;310000633;TOT;0;;;;;;;2;;;;0;0
DIALYSE;2024;320784515;AAIR UAD UDM DD PAVIE;310000633;1130X;;;;4;8;1204;;;;;;;
DIALYSE;2024;320784515;AAIR UAD UDM DD PAVIE;310000633;1140X;;;;8;16;2649;;;;;;;
