BOR;AN;FI;RS;FI_EJ;AUT;SALCAR;SALCARTO;SALHYBCAR;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2024;750301137;CLINIQUE CHIRURG ALLERAY LABROUSTE;750071870;1;2;;1;1090;1400;1432;1054;0;378;0;0;;;0;0;;0;0;0;0;0
CHIRCAR;2024;750803447;GHU APHP CUP SITE G POMPIDOU HEGP;750712184;1;5;2;1;3011;9831;4021;1970;0;2051;1;0;3;5;7;1187;421;946;19;48;2250;6186
CHIRCAR;2024;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;4;1;1;2524;6430;3063;1237;1;1825;1;0;;;3;1147;;991;24;50;2478;5906
CHIRCAR;2024;760037796;SCM DES CARDIOLOGUES DY PT COLMOULINS;760031393;1;1;0;1;1524;0;1700;0;0;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;760780619;CLINIQUE SAINT-HILAIRE;760000307;1;2;1;1;2320;4189;2482;785;0;1697;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;760780726;1;2;1;1;1334;2502;1574;799;0;775;0;0;;;0;0;;0;0;34;0;0
CHIRCAR;2024;770019032;GHEF MARNE LA VALLEE SITE JOSSIGNY;770021145;1;1;;1;2768;5845;3043;914;0;2129;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;770300135;CLINIQUE MEDICO CHIRURG LES FONTAINES;770000289;1;1;1;1;1255;3098;1521;779;0;742;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;780000311;CHI POISSY ST GERMAIN SITE DE POISSY;780001236;1;2;1;0;879;2579;973;429;0;544;1;0;;;0;0;;0;12;20;707;2354
CHIRCAR;2024;780300075;CENTRE CARDIOLOGIQUE D EVECQUEMONT;780000485;1;2;;1;858;3374;1087;121;0;966;0;0;;0;0;0;;0;0;;0;0
CHIRCAR;2024;780300406;HOPITAL PRIVE DE PARLY II;780018032;1;4;1;0;2224;4439;2647;1220;0;1427;1;0;3;3;0;1305;;1075;22;22;935;5528
CHIRCAR;2024;780800256;CH DE VERSAILLES SITE ANDRE MIGNOT;780110078;1;2;1;0;1135;3259;1295;139;0;1156;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;790000087;CENTRE HOSPITALIER DE NIORT;790000012;1;2;;1;1368;4443;1479;305;0;1174;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;800006124;CHU AMIENS SUD;800000044;1;2;2;1;2830;8851;3305;1469;3;1833;1;0;2;3;10;1895;;1462;12;66;510;3855
CHIRCAR;2024;810000224;CL CLAUDE BERNARD ALBI;810000471;1;2;;1;953;2238;1173;65;0;1108;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;810000505;CH ALBI;810000331;1;1;0;0;182;696;188;182;0;14;0;0;;;0;0;;0;0;15;0;0
CHIRCAR;2024;810000521;CHIC CASTRES MAZAMET SITE AUTAN;810000380;1;1;0;0;197;887;214;190;0;24;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;820000032;CH MONTAUBAN;820000016;1;1;;1;106;416;111;100;0;11;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;820000057;CL PONT DE CHAUME MONTAUBAN;820000131;1;2;;;1585;2801;1837;90;0;1747;0;0;;;;;;;;;;
CHIRCAR;2024;830000311;CHI DE FREJUS SAINT RAPHAEL;830100566;1;1;;1;1323;3717;1435;157;0;1278;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;830000345;CHITS CH SAINTE MUSSE;830100616;1;3;1;1;1894;5072;2125;770;0;1355;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;830100319;POLYCLINIQUE LES FLEURS;830020855;1;4;2;2;3398;4976;3789;1256;0;2533;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;830100574;HOP INSTRUC DES ARMEES SAINTE ANNE;750821092;1;2;1;0;494;1934;719;118;0;601;0;0;0;0;0;0;0;0;0;10;0;0
CHIRCAR;2024;840001861;CH D'AVIGNON HENRI DUFFAUT;840006597;1;2;0;2;2337;5041;2651;504;0;2147;0;0;;;0;0;;0;;48;0;0
CHIRCAR;2024;840013312;CLINIQUE RHONE DURANCE;840003685;1;4;;1;2896;5325;3454;1342;0;2112;0;0;;;0;0;;0;;42;0;0
CHIRCAR;2024;850000142;CHD SITE LA ROCHE SUR YON;850000019;1;5;3;0;1929;6577;2171;807;1;1363;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;860000223;CHU LA MILETRIE;860014208;1;4;2;0;3351;8644;3638;1381;0;2257;1;1;2;2;1;662;155;609;16;62;896;5285
CHIRCAR;2024;870000064;C H U DUPUYTREN LIMOGES;870000015;1;5;1;0;2605;7445;3114;884;0;2230;1;0;2;2;1;823;108;608;11;42;1613;9743
CHIRCAR;2024;890975527;CH AUXERRE;890000037;1;1;0;0;1471;3277;1620;517;0;1103;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;900003039;HNFC SITE TREVENANS;900000365;1;2;1;0;1762;4527;1961;691;0;1270;0;0;0;0;0;0;0;0;0;32;0;0
CHIRCAR;2024;910008028;ANGIO SCE INTERCLINQUE IMAGERIE-MASSY;910001221;1;4;0;0;3207;6444;3666;1573;0;2093;1;0;;;0;0;;0;0;0;0;0
CHIRCAR;2024;910020254;CH SUD FRANCILIEN SITE JEAN JAURES;910002773;1;3;1;0;1657;5848;1895;544;0;1351;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2024;910022888;ANGIO SCE INTERCLINIQUE IMAGERIE-QUINC;910001221;1;2;;;1693;3681;1829;647;0;1182;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;910300144;CMCO D EVRY;910000447;1;1;;;59;163;62;52;0;10;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;910300219;HOPITAL PRIVE JACQUES CARTIER;910003888;1;2;;1;802;1611;916;393;0;523;1;0;6;5;3;1465;147;1191;45;43;2607;11141
CHIRCAR;2024;920000577;CH DE NANTERRE;920110020;1;2;;2;63;516;68;61;0;7;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;920000650;HOPITAL FOCH;920150059;1;1;0;1;874;2121;931;51;0;880;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2024;920000684;HOPITAL MARIE LANNELONGUE;750150120;1;5;1;1;2346;5219;2986;150;292;2544;1;1;4;5;966;1340;;1081;28;14;1112;2014
CHIRCAR;2024;920029550;CMC AMBROISE PARE HARTMANN SITE 48 TER;920810736;1;9;3;1;5250;8806;6378;3768;0;2610;1;0;5;4;0;2238;;1807;48;47;5845;10989
CHIRCAR;2024;920100013;GHU APHP UPS SITE AMBROISE PARE;750712184;1;2;1;1;550;1804;611;37;0;574;0;0;;;0;0;;0;;13;0;0
CHIRCAR;2024;920120011;HOPITAL INSTRUCTION DES ARMEES PERCY;750821092;1;1;1;1;482;1769;598;318;0;280;0;0;;;0;0;;0;;14;0;0
CHIRCAR;2024;920300043;HOPITAL PRIVE D ANTONY;920001526;1;1;;0;832;2962;900;225;0;675;0;0;;;0;0;;0;;19;0;0
CHIRCAR;2024;920300787;HOPITAL AMERICAIN;920000981;1;2;1;1;763;506;876;362;0;514;0;0;0;0;0;0;0;0;;;0;0
CHIRCAR;2024;930000286;GHI LE RAINCY MONTFERMEIL;930021480;1;1;;1;1297;3781;1379;628;0;751;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;930000302;CHI ANDRE GREGOIRE;930110036;1;1;;1;966;1709;993;70;0;923;0;0;;;0;0;;0;0;20;0;0
CHIRCAR;2024;930000336;CHI ROBERT BALLANGER;930110069;1;1;0;1;731;2328;767;3;0;764;0;0;;;0;0;;0;0;20;0;0
CHIRCAR;2024;930026885;INSTITUT CARDIO GVM LA ROSERAIE;930024278;1;2;2;1;1078;4494;1090;7;4;1079;0;0;0;;0;0;;0;;;0;0
CHIRCAR;2024;930300066;HOPITAL PRIVE DE L EST PARISIEN;930000401;1;1;0;0;134;651;137;97;0;40;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2024;930300645;CENTRE CARDIOLOGIQUE DU NORD;930000682;1;5;2;1;3974;10335;4368;2024;0;2344;1;0;2;3;0;1288;;775;;62;0;0
CHIRCAR;2024;940000599;CHI LUCIE ET RAYMOND AUBRAC;940110042;1;1;0;1;745;2236;920;108;0;812;0;0;0;0;0;0;0;0;0;20;0;0
CHIRCAR;2024;940000649;HOPITAL SAINT CAMILLE;940150014;1;1;;;66;382;68;41;0;2591;0;0;;;;;;;;;;
CHIRCAR;2024;940100027;GHU APHP HM SITE HENRI MONDOR;750712184;1;4;4;2;2521;7226;2910;981;0;1929;1;0;2;3;0;823;;652;19;73;707;6551
CHIRCAR;2024;940100043;GHU APHP UPS SITE KREMLIN BICETRE APHP;750712184;1;0;;;87;472;99;53;0;46;0;0;;;0;0;;0;;14;0;0
CHIRCAR;2024;950000307;CH VICTOR DUPOUY;950110015;1;1;;1;754;2046;855;415;0;440;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2024;950000323;GHEM SIMONE VEIL SITE EAUBONNE;950013870;1;1;0;1;744;2120;794;104;0;690;0;0;;;0;0;;0;;18;0;0
CHIRCAR;2024;950000331;CH GENERAL DE GONESSE;950110049;1;1;0;1;642;2339;717;0;0;717;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;950000364;CH NOVO SITE RENE DUBOS;950110080;1;2;1;1;1179;3752;1439;565;0;874;0;0;;;0;0;;0;0;28;0;0
CHIRCAR;2024;970100392;CENTRE HOSPITALIER DE LA BASSE -TERRE;970100178;1;1;;1;324;1298;356;334;0;22;0;0;0;0;0;0;0;0;0;12;0;0
CHIRCAR;2024;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;1;2;;2;428;1947;494;0;0;494;0;0;;;0;0;;0;;;0;0
CHIRCAR;2024;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;1;3;1;1;1101;3541;3077;830;60;2011;1;1;2;2;1;1231;;245;12;28;933;9219
CHIRCAR;2024;970300026;CENTRE HOSPITALIER DE CAYENNE;970302022;1;1;;1;113;677;117;5;0;112;0;0;;;0;0;;0;;16;0;0
CHIRCAR;2024;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;1;1;1;1;1643;4671;1997;92;59;1846;1;1;2;3;143;740;;584;21;25;835;6605
CHIRCAR;2024;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;1;;1;880;2468;976;925;1;50;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2024;970462107;CLINIQUE STE-CLOTILDE;970400305;1;2;0;2;881;2114;950;247;0;703;0;0;;;0;0;;0;;;0;0
