BOR;AN;FI;RS;FI_EJ;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETPSAL_PM;ETPSAL_PMDOU;ETPSAL_IDE;ETPSAL_IDEDOU;ETPSAL_PSY;ETPSAL_PNMAUT
DOULEUR;2024;330000597;CH SUD GIRONDE - SITE LA REOLE;330027509;Consultation;;;;;;;;;;529;126;784;;723;2036;27;629;254;;;;;;;;;;;;;;;1;1;;;1;1;;;1;1;;;;;;;;;;;;;1;1;;;1;1;0.5;0.5;1;1;0.8;0.89
DOULEUR;2024;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;Consultation;32;;5;;;37;;36;31;373;;1523;;564;2460;;711;267;;;;;;;;;;;;;1;1;;;;1;0;0;1;;1;;0;0;;;;;0;0;;;;;0;0;1;;1;;1.21;1.21;0.5;;0.6;0.8
DOULEUR;2024;330000662;INSTITUT BERGONIE;330781329;Centre;;;;;;;;;;66;317;2160;0;;2226;546;;309;;;;;;;;;;301;124;;;;;;;;4;;2;;1;2;;;;;;;1;;2;;1;;3;;;;;2;1.26;;0.5;;0.2;0.6
DOULEUR;2024;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;Centre;3;319;1273;;770;2046;233;274;225;854;1213;5764;373;2668;9659;429;2610;1157;283;170;857;;404;1544;143;397;176;7;7;167;2;;1;;;1;3;;1;2;4;4;1;;;;1;;;;;;;;2;;1;2;3;4;3.74;;2;2;2.06;5.36
DOULEUR;2024;340000033;CH BEZIERS;340780055;Consultation;;;;;;;;;;300;2160;1329;;;1629;;1151;;;;;;;;;;;;;;;;1;;;1;3;2;;;1;;;;;;;;2;1;;;;;1;1;;;1;;0.95;0.75;1;;0.45;1
DOULEUR;2024;340000207;ICM MONTPELLIER;340780493;Consultation;;;107;29;;136;;63;46;72;1344;1190;142;1497;2901;231;784;338;;;;;;;;;;;;683;2;2;2;2;;1;3;3;;;;1;1;1;;;;;;;;;;;2;2;;;;1;1.81;1.81;2;2;;0.47
DOULEUR;2024;340000223;HOPITAL ST CLAIR SETE HBT;340011295;Consultation;0;244;248;0;246;494;0;105;82;489;790;1246;21;1500;3256;120;572;230;0;0;0;0;0;0;0;0;0;242;99;2;0;;0;;0;0;3;;4;;1;2;0;;0;;0;0;0;;0;;0;0;3;;4;;1;2;1.35;;1.35;;0.6;1.2
DOULEUR;2024;340780675;CL CLEMENTVILLE MONTPELLIER;340000298;Centre;;158;197;0;58;255;0;85;85;1003;745;2237;0;845;4085;355;860;606;;;13;0;0;13;0;4;1;76;48;;0;0;;;;;0;;1;;0;1;0;;;;;;;;;;;;;;1;;0;1;;;0.6;;;0.67
DOULEUR;2024;340782036;HOPITAL ST ELOI CHU MONTPELLIER;340780477;Centre;11;1201;997;545;858;2411;;1124;883;123;386;4252;1097;319;5791;;3054;1428;0;0;0;0;;0;;0;0;3085;1577;;3;;1;;;2;6;;6;;2;6;3;;;;;2;1;;;;1;4;2;;6;;1;;4.48;;5.39;;0.8;3.35
DOULEUR;2024;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;Consultation;;;;;;;;;;233;550;1126;182;493;2034;;541;311;233;550;1126;182;493;2034;;541;311;;;;;;;;;;1;;2;;1;1;;;1;;;;;;;;1;1;1;;1;;;;0.75;;0.98;;0.22;0.25
DOULEUR;2024;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;Consultation;;;;;;;;;;1071;997;2948;204;919;5142;;1614;788;;;;;;;;;;871;568;;;;2;;;;5;4;3;;;1;1;;;;;;1;1;;;;;3;3;3;;;1;2.87;2.77;3.14;;;0.4
DOULEUR;2024;350000147;GHRE - SITE SAINT MALO BROUSSAIS;350000022;Consultation;;;48;;;48;;39;;456;1325;1450;;1325;3231;;819;419;7;11;7;;11;25;;3;1;440;200;;2;2;5;1;;2;0;;1;;2;1;;;;;;;;;;;;;;;1;;2;1;2;2;1.93;1;0.67;1.85
DOULEUR;2024;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;Centre;428;;;;;428;;;;449;1799;3498;;1799;5746;27;1198;654;112;296;717;;287;1116;;323;241;662;207;40;3;;2;;1;1;4;;1;;2;2;2;;;;1;;;;;;;;2;;1;;1;2;2.57;;2.02;;0.5;1.26
DOULEUR;2024;350002812;C.R.L.C.C. EUGENE MARQUIS;350023503;Consultation;263;177;112;0;566;941;;105;38;113;38;338;0;225;676;;331;80;;;;;;;;;;0;0;426;2;;4;4;0;4;3;2;0;0;1;3;;1;;;;1;;1;;;;2;3;;;;1;;0.59;0.25;1.72;1.72;0.3;1.38
DOULEUR;2024;350036299;ICRB SAINT GREGOIRE;350056073;Consultation;;;;;;;;;;;;48;;;48;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;
DOULEUR;2024;360000137;CH CHATEAUROUX;360000053;Consultation;;184;13;;1;14;;;;334;89;1394;5;1136;2869;386;719;297;2;;2;;1;5;;;;;;142;;;1;1;;;2;2;2;2;1;1;1;1;;;;;;;1;1;;;1;1;1;1;1;1;0.7;0.7;1.81;1.81;0.5;0.8
DOULEUR;2024;370000499;CHRU CLOCHEVILLE - TOURS;370000481;Centre;;;;;;;;;;220;;365;;186;771;90;218;167;220;;365;;186;771;90;218;167;;;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.42;;;;;
DOULEUR;2024;370000531;CH DU CHINONAIS;370000606;Consultation;;;7;;;7;;;;699;5041;1385;;2520;4604;;370;326;;;;;;;;;;;;;;;;;;;3;3;2;2;2;3;;;;;;2;3;3;;;1;1;;;2;2;1;;0.54;0.54;0.66;0.66;0.52;0.59
DOULEUR;2024;370000861;CHRU BRETONNEAU - TOURS;370000481;Centre;61;0;1006;0;88;1155;;;;311;0;3322;0;241;3874;472;1540;947;;;;;;;;;;800;400;45;1;;0;0;0;1;3;;2;0;0;1;;;0;0;0;0;1;;0;0;0;0;2;;2;0;0;1;2.83;;1.22;0;0.42;1.56
DOULEUR;2024;380000018;CH RHUMATOLOGIQUE D'URIAGE;380780023;Consultation;512;74;;225;;737;;;;243;429;884;95;54;1276;54;530;54;;;;;;;;;;1813;1695;7;;;;;;;1;1;;1;2;2;;;;;;;;;;;;;1;1;;1;2;2;0.6;0.6;;0.5;1.1;0.7
DOULEUR;2024;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;Consultation;;;19;;;19;;;;370;241;835;86;226;1517;111;470;122;;;;;;;;;;;40;49;;;;;;;2;;1;1;1;1;1;;;;;;;;;;;1;1;;1;1;1;;0.6;;0.6;0.6;0.5;0.4
DOULEUR;2024;380000067;HOPITAL NORD - CHU38;380780080;Centre;;;;;;;;;;958;;6462;215;1665;9300;100;3250;974;;;;;;;;265;150;405;;;1;1;3;;2;2;6;4;;;;;0;0;;;;;3;1;;;;;3;3;;;;;3.96;3.96;2.26;;1.2;2
DOULEUR;2024;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;Consultation;10;12;451;0;12;473;40;140;69;506;484;1176;0;484;2166;;640;82;1;0;1;0;;2;;1;0;0;0;10;;;1;;;1;1;1;;;1;2;;;;;;;;;;;;1;1;1;;;1;1;0.82;0.82;1.03;0.03;0.5;1.75
DOULEUR;2024;380000406;HOPITAL DE VOIRON - CHU38;380780080;Centre;;;;;;;;;;903;2793;1713;;872;3488;123;876;505;;36;31;;12;43;10;11;8;42;42;;;;;;;;3;3;;;;;;;;;;;2;2;;;;;1;1;;;;;0.48;0.48;1;;1;0.7
DOULEUR;2024;380012658;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;380012609;Centre;0;0;164;0;17;181;0;160;160;1613;0;2999;639;1868;7119;321;1760;334;0;0;0;0;0;0;0;0;0;208;150;73;2;2;1;1;1;2;4;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;1;0;3.6;3;1.8;1.8;1.5;2
DOULEUR;2024;380780288;NOUVELLE CLINIQUE DE CHARTREUSE;380019224;Consultation;;;;;;;;;;;;43;;;43;;;;;;;;;;;;;5;13;15;;;;;;;1;1;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;
DOULEUR;2024;390000040;CH LONS;390780146;Centre;2;46;40;0;0;42;;;;390;1780;2253;0;420;3063;;603;270;;;;;;;;;;40;17;12;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.1;;0.45;0.3
DOULEUR;2024;390000065;CH LOUIS JAILLON SAINT CLAUDE;390780161;Consultation;0;0;149;0;0;149;0;;;0;0;202;0;0;202;0;125;42;;;;;;;0;;;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.47;0.47;;;;
DOULEUR;2024;400000105;CENTRE HOSPITALIER DAX;400780193;Consultation;1;0;11;0;13;25;;7;7;665;827;1578;0;1399;3642;95;710;467;;;;;;;;;;0;0;12;;;1;1;;;1;;1;;2;1;;;;;;;;;;;1;;1;;1;;1;1;0.59;;1.5;1;0.75;0.79
DOULEUR;2024;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;Consultation;6;16;51;0;17;74;;36;12;77;258;2820;0;370;3267;;1039;158;0;3;22;0;3;25;;16;1;;;;1;;;;;;2;;3;;1;1;0;;1;;;;1;;2;;;;1;;;;1;1;2.15;;0.56;;0.6;0.8
DOULEUR;2024;410000020;CH BLOIS SIMONE VEIL;410000087;Consultation;9;;41;0;37;87;;41;41;782;;1063;0;1125;2970;274;793;467;;;;0;;0;;;;;;18;1;1;1;1;1;1;1;;;;;1;1;;;;;;;;;;;1;;;;;;;1.1;1.1;1;1;1;1.25
DOULEUR;2024;410000046;CH ROMORANTIN-LANTHENAY;410000103;Consultation;0;2;17;;1;18;;;;449;1212;1467;;775;2691;;;;0;0;3;;5;8;;;;;;;;;1;1;0;0;1;1;;;1;1;;;;;;;;;;;;;1;1;;;1;1;0.6;0.6;1;1;0.5;0.5
DOULEUR;2024;420000010;CH DE ROANNE;420780033;Consultation;;;6;;;6;;6;6;823;662;2400;;947;4170;263;1183;276;3;15;16;;15;34;6;8;8;;;8;0;0;1;1;1;1;6;4;1;1;1;;2;1;;;;;2;1;;;;;2;2;1;1;1;;1.99;1.74;1;1;0.95;1
DOULEUR;2024;420000226;CH DU FOREZ SITE DE MONTBRISON;420013831;Consultation;28;0;0;0;0;28;0;0;0;99;3086;1697;0;543;2339;50;511;238;0;0;0;0;0;0;0;0;0;765;180;5;0;;0;0;0;0;2;1;2;0;1;3;1;;1;0;1;1;0;;0;0;;1;1;1;1;0;;1;0.62;0.55;1.18;0;0.19;0.98
DOULEUR;2024;420010050;CLINIQUE MUTUALISTE MFL SSAM;420787061;Consultation;;;;;;;;;;108;488;1975;0;453;2536;;715;;;;;;;;;;;611;247;;;;;;;;3;2;2;;1;2;;;;;;1;1;1;1;;;;2;1;1;;1;1;1.65;1.4;1.05;;0.5;0.97
DOULEUR;2024;420785354;HOPITAL NORD - CHU42;420784878;Centre;0;0;0;0;0;0;0;0;0;1106;840;6185;827;1863;9981;603;3270;1410;0;0;111;59;248;418;63;148;84;923;384;183;7;;2;;1;3;3;1;3;;3;6;;;;;;3;1;;;;;1;2;1;3;;3;2;3.56;0.8;3.02;;1.81;3.53
DOULEUR;2024;430000117;CH EMILE ROUX LE PUY;430000018;Consultation;8;10;37;0;84;129;3;75;55;1094;530;1707;0;1168;3969;25;624;220;0;;;;;0;;;;477;175;40;1;1;1;1;1;1;3;3;1;1;;4;;;;;;;2;2;;;;3;1;1;1;1;;1;2.4;2.4;1.87;1.8;1;2.02
DOULEUR;2024;430000307;CH PIERRE GALLICE DE LANGEAC;430000067;Consultation;;;;;;;;;;86;;67;;14;167;;14;14;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.15;0.1
DOULEUR;2024;440000016;CH DE SAINT NAZAIRE;440000057;Consultation;1;23;19;0;23;43;;19;17;596;830;1165;133;830;2724;;665;223;4;7;10;7;7;28;;6;4;223;86;;;;;;;;4;3;;;;;;;;;;;;;;;;;4;3;;;;;0.84;0.76;;;;
DOULEUR;2024;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;Centre;62;;15;;;77;;15;11;145;;1654;;;1799;;1410;1237;5;;45;;;50;;42;41;;;;7;;;;;;3;;;;;;1;;;;;;1;;;;;;1;;;;;;1.5;;;;;
DOULEUR;2024;440000412;CLINIQUE BRETECHE VIAUD;440000941;Centre;;;;;;;;;;1501;2540;13402;;3545;18448;163;4678;804;;;;;;;;;;1789;1021;267;;;11;4;;13;3;3;10;1;2;;;;1;;;;1;;2;;;;2;3;7;1;2;;1.63;1.36;16.49;4.84;2.13;11.41
DOULEUR;2024;440000453;CHU DE NANTES SITE HOPITAL BELLIER;440000289;Consultation;;;13;;;13;;11;3;;;243;6;;249;;64;39;;;;;;;;;;;;;1;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0.1;;;;;
DOULEUR;2024;440001113;ICO - SITE GAUDUCHEAU;490017258;Centre;;;298;;;298;;254;172;112;;2024;;;2136;121;978;660;;;;;;;;;;198;129;;1;;1;;;1;5;;;;1;1;5;;;;1;1;;;;;;;;;;;;;1.5;;1;;0.15;1.15
DOULEUR;2024;440017598;CHU DE NANTES SITE LAENNEC;440000289;Centre;1;8;27;22;21;71;;35;6;138;148;2280;289;148;2855;;1728;966;;3;15;;3;18;;13;13;948;581;;13;;0;;0;0;7;;8;;1;6;3;;2;;;0;0;;3;;;2;4;;3;;1;4;4.67;;3.67;;0.5;3.3
DOULEUR;2024;440041580;HOPITAL PRIVE DU CONFLUENT;440041572;Centre;;2;36;0;185;221;;36;2;;216;3453;0;520;3973;;2404;1330;;7;16;;0;16;;15;12;2568;1385;;;;;;;;1;;20;;3;22;;;20;;3;22;;;;;;;1;;;;;;0.6;;2.9;;0.32;2.08
DOULEUR;2024;440050433;CLINIQUE MUTUALISTE DE L'ESTUAIRE;440053429;Consultation;;;;;;;;;;777;;1183;;853;2813;;;;0;;;;;0;;;;0;0;;;;;;;;1;;;1;1;;;;;;;;1;;;1;1;;;;;;;;0.2;;;0.3;0.2;
DOULEUR;2024;450002613;CHRU ORLEANS - HOPITAL DE LA SOURCE;450000088;Centre;137;4;259;0;417;813;180;356;274;879;25;806;1;662;2348;;831;291;32;4;34;0;39;105;;23;9;254;210;88;2;;4;;2;6;;;2;;1;;;;;;;;;;2;;;;;;;;1;;2;;5.59;;2.5;6
DOULEUR;2024;460000110;CH JEAN ROUGIER CAHORS;460780216;Consultation;65;379;266;0;28;359;212;196;188;429;763;1367;0;628;2424;29;753;439;0;0;0;0;0;0;0;0;0;;;241;0;;1;;0;0;2;;0;;1;1;0;;0;;0;0;0;;0;;0;0;2;;0;;1;1;1;;1;;0.5;0.5
DOULEUR;2024;470000423;CH AGEN NERAC - HOPITAL SAINT-ESPRIT;470016171;Consultation;;;22;0;;22;0;;;358;715;1685;0;592;2635;0;968;350;;;;;;;;;;0;0;0;1;;1;;;1;;;1;1;1;;;;;;;;;;;;;;;;1;1;1;;1;;1.5;0.5;0.6;1
DOULEUR;2024;470000431;CH VILLENEUVE -POLE SANTE VILLENEUVOIS;470000324;Consultation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2024;480000017;HOPITAL LOZERE SITE VALLEE DU LOT;480780097;Consultation;;;25;;;25;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2024;490000049;CHR ANGERS SITE LARREY;490000031;Centre;9;0;95;0;136;240;0;0;0;890;955;2639;636;624;4789;113;1324;291;165;16;464;1;328;958;0;206;82;0;0;15;0;;1;;0;1;9;;3;;3;1;5;;;;1;;2;;;;;;2;;3;;2;1;2.1;;2.15;;0.84;1.51
DOULEUR;2024;490000155;ICO - SITE PAUL PAPIN;490017258;Centre;;3;254;;;254;183;131;83;112;208;2076;;;2188;;990;470;;;0;;;0;;;;3640;800;157;4;;1;;;1;1;;1;;1;1;;;;;1;;1;;;;;1;;;1;;;;4.43;;1.5;;0.1;1.2
DOULEUR;2024;490000635;CH DE CHOLET;490000676;Consultation;;;;;;;;;;640;;784;7;685;2116;;532;331;;;3;;3;6;;2;2;;;;3;3;;;;;3;2;;;;;;;;;;;1;1;;;;;2;1;;;;;0.86;0.12;0.61;;0.4;0.49
DOULEUR;2024;500000021;HOPITAUX DU SUD MANCHE;500000054;Consultation;0;120;48;0;40;88;;;;636;1417;1056;82;591;2365;64;695;289;;;;;;;;;;525;204;26;;0;1;1;0;1;2;2;1;;2;0;0;0;;;1;;1;1;;;;;1;1;1;;1;;0.65;0.65;1.5;1;0.64;1
DOULEUR;2024;500000187;CHPC - SITE CHERBOURG;500000013;Consultation;;;147;;162;309;;;;381;539;2772;86;1418;4657;52;931;354;;;;;;;;;;52;15;;1;1;1;1;;1;4;3;;;1;2;2;1;;;;2;1;1;;;;;1;1;;;1;;1.8;1.7;1;1;0.4;1.2
DOULEUR;2024;500000260;HOPITAUX DU SUD MANCHE;500000054;Consultation;1;117;60;0;39;100;;;;537;2430;943;30;1111;2621;42;455;226;;;;;;;;;;314;111;11;;;;;;;2;2;;;;;1;1;;;;;;;;;;;1;1;;;;;0.55;0.55;;;;
DOULEUR;2024;500000450;CH - SAINT-LO;500000112;Consultation;8;;43;0;58;109;;35;;526;498;2741;0;793;4060;124;1240;228;7;0;20;0;1;28;7;7;5;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;0.13;0.13;0.25;0.25;0.18;0.13
DOULEUR;2024;510000516;INSTITUT GODINOT;510000136;Consultation;40;0;95;0;0;135;0;0;0;160;0;1473;0;396;2029;284;681;257;0;0;10;0;;10;4;4;4;663;240;58;1;1;1;1;;1;2;2;1;1;;;2;2;;;;;;;;;;;;;1;1;;;1.2;1.2;1.8;1.8;;1
DOULEUR;2024;510002447;HOPITAL ROBERT DEBRE CHU REIMS;510000029;Consultation;0;0;0;0;0;0;0;0;0;372;;2332;66;1585;4355;174;1330;509;;;;;;;;;;;;;2;;2;;1;1;5;;0;;0;1;2;;0;;0;0;3;;0;;0;0;0;;0;;0;1;2.9;;1.8;;0.5;1.19
DOULEUR;2024;520000068;CH GENEVIEVE DE GAULLE ANTHONIOZ;520780073;Consultation;;;;;;;;;;515;83;1069;0;848;2432;66;390;89;;;0;;;0;;;;307;61;;1;1;;;;;;;1;1;1;2;;;;;;;;;;;;2;;;1;1;1;;1;1;0.5;0.5;0.7;0.48
DOULEUR;2024;530000017;CH HAUT ANJOU SITE CHATEAU GONTIER;530000025;Consultation;;;;;;;;;;617;2128;2157;;3341;6115;220;;784;1;;6;;1;8;;;;796;380;;1;;4;;;;2;;;;1;2;;;;;;;;;;;;;2;;;;1;2;1.3;;3.2;;0.5;1.1
DOULEUR;2024;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;Consultation;19;183;220;0;263;502;61;1548;820;1843;37;1904;0;616;4363;;;;0;0;;0;0;0;0;0;0;;;140;1;;1;;2;4;;;1;;1;;;;;;;;;;;;;;;;1;;1;;0.05;;0.85;;1.75;1.42
DOULEUR;2024;540001286;INSTITUT DE CANCEROLOGIE DE LORRAINE;540003019;Consultation;410;113;1082;25;619;2136;37;542;254;465;170;2326;50;1072;3913;347;755;320;;;;;;;;;;;;17;4;2;5;2;1;1;3;;1;;2;1;;;;;;;;;;;;;3;;1;;2;1;1.95;0.8;1.9;1.3;0.75;0.7
DOULEUR;2024;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;Centre;;;;;;;;;;468;6;228;96;71;863;;140;88;468;6;228;96;71;863;;140;88;;;;1;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;2;;0.28;;;;0.76;0.3
DOULEUR;2024;550000012;CH VERDUN/ST MIHIEL-HOP ST NICOLAS;550006795;Consultation;11;156;193;;267;471;57;87;35;540;495;1408;;495;2443;571;874;249;2;21;15;;17;34;29;21;19;;;3;;;;;;;1;1;1;;;1;;;;;;;;;;;;;1;1;1;;;1;0.65;0.65;0.9;;;0.5
DOULEUR;2024;560000127;CHBA SITE DE VANNES;560023210;Centre;125;245;250;0;252;627;1;84;48;837;1339;3586;0;1297;5720;232;1562;593;4;0;12;0;0;16;0;6;3;1014;338;155;4;4;1;0;0;0;0;0;10;0;2;12;0;0;0;0;;10;0;0;6;0;1;1;0;0;4;0;1;1;1.8;1.8;5.59;0;1.06;1.18
DOULEUR;2024;560000143;CHCB SITE KERIO;560014748;Consultation;;;78;;;78;;;;295;;823;;1283;2401;;700;413;;;;;;;;;;571;242;;;;;1;;1;1;1;;1;1;;;;;;;;;;;;;;1;1;;1;1;;0.6;0.6;;1.78;0.5;0.13
DOULEUR;2024;560002933;CLINIQUE MUTUALISTE PORTE DE L'ORIENT;560026965;Centre;;;;;;;;;;493;19;1228;145;483;2349;290;774;219;;;;;;;;;;287;235;102;2;2;1;;;2;1;;4;;2;4;;;;;;;1;;1;;1;4;;;3;;1;;1.7;1.1;3;;0.7;2.65
DOULEUR;2024;570000281;HOPITAL D'HAYANGE - CHR;570005165;Consultation;;;6;;;6;;5;5;588;;257;;;845;82;186;86;;;;;;;;;;;;;3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;0.5;;;;0.8;
DOULEUR;2024;570000901;HOPITAL ROBERT PAX DE SARREGUEMINES;570000158;Consultation;;;121;;;121;;;;469;438;1607;290;188;2554;;;302;;;;;;;;;;;;;;;;;;3;1;1;1;1;1;;;;;;;;;;;;;;1;1;1;1;1;;0.7;0.7;0.8;0.8;0.8;1.05
DOULEUR;2024;570001057;HOPITAL BELLE-ISLE DE METZ - HPM;570023630;Centre;1102;;;;;1102;1216;;;165;225;3412;;336;3913;;1813;;;;;;;;;;;6459;2151;132;3;3;22;4;2;6;2;1;3;;1;6;1;;;;;1;;;1;;;;1;1;2;;1;5;3.95;3.8;15.03;4;2.5;7.59
DOULEUR;2024;570026682;HOPITAL DE MERCY - CHR METZ THIONVILLE;570005165;Consultation;;;34;;;34;;24;20;499;38;1923;;405;2827;373;823;260;;;;;;;;;;569;211;;5;;;;;1;;;2;;1;;;;;;;;;;;;;;;;2;;1;;4.05;;0.97;;0.75;1
DOULEUR;2024;590000188;CLCC OSCAR LAMBRET LILLE;590780334;Centre;62;1233;280;208;3;553;2;246;90;147;1365;1383;543;385;2458;23;640;321;20;15;5;9;0;34;0;8;1;369;165;46;2;;;;;;2;;1;;;2;;;;;;;;;;;;;2;;1;;;2;3.88;;1;;;1
DOULEUR;2024;590000337;CH DUNKERQUE;590781415;Consultation;1;190;48;;56;105;;45;44;373;280;514;;78;965;337;205;250;0;0;0;;0;0;;0;0;;;53;1;;1;;;;1;;;;1;1;;;;;;;;;;;;;1;;;;1;1;0.56;;1;;0.5;0.4
DOULEUR;2024;590000428;CH CAMBRAI;590781605;Consultation;;1801;976;;1071;2047;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;2;;;1.5
DOULEUR;2024;590000436;CH LE CATEAU;590781621;Consultation;0;0;0;0;0;0;0;0;0;342;74;1993;0;474;2809;41;;451;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
DOULEUR;2024;590000618;CH VALENCIENNES;590782215;Centre;;;;0;;0;0;;;257;3900;7747;0;3611;11615;0;2435;1641;7;99;352;0;88;447;0;126;91;1037;731;52;5;5;2;1;;5;6;4;3;3;;1;1;1;;;;;5;3;;;;;0;0;3;3;;1;3.6;3.2;3.8;3.4;0.64;3.85
DOULEUR;2024;590000758;CH ARMENTIERES;590782637;Consultation;;;;;;;;;;291;823;1208;;416;1915;80;471;294;;;3;;;3;;2;2;720;289;;0;;1;;;1;3;2;;;1;1;0;;;;;;0;;;;1;1;3;2;;;;;0.7;0.54;1;;0.3;1.15
DOULEUR;2024;590001004;CH DOUAI DECHY;590783239;Consultation;;;40;;51;91;2;;;541;15;2957;0;348;3846;159;1511;460;;;28;;;28;;28;15;;;;1;1;1;1;;1;2;1;;;1;;1;;;;;;;;;;;;1;1;;;1;;1.63;1.5;1;1;0.7;0.3
DOULEUR;2024;590001442;HÔPITAL MARITIME VANCAUWENBERGHE;590784245;Consultation;;113;;;;;;;;391;356;476;;397;1264;51;106;99;;;;;;;;;;;;35;;;;;;;3;3;1;1;1;2;2;2;;;;2;1;1;;;;;;;1;1;1;;0.52;0.52;0.8;0.8;0.5;0.2
DOULEUR;2024;590006607;HOP JEANNE DE FLANDRE CHU LILLE;590780193;Centre;3;;22;;3;28;6;8;6;270;121;372;;167;809;147;267;147;265;121;366;;167;798;147;270;147;;;17;1;;;;;;1;;1;1;2;1;;;;;;;;;;;;;1;;1;1;2;1;0.33;;0.52;0.52;0.53;0.5
DOULEUR;2024;590780284;GCS GHICL HÔPITAL ST PHILIBERT;590051801;Consultation;63;;285;;776;1124;;609;;39;;1298;;590;1927;;605;;;;;;8;8;;;;424;202;;5;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1.3;;1;;0.1;
DOULEUR;2024;590781951;CLINIQUE DU SPORT ET D'ORTHOPEDIE;590053955;Consultation;;;;;;;;;;;;;;;;;;;;;;;;;;;;2172;1040;;7;;2;;;;;;1;;1;3;;;;;;;;;;;1;2;;;1;;;1;7;;2.5;;0.2;0.9
DOULEUR;2024;590782256;NOUVELLE CLINIQUE DES DENTELLIERES;590000659;Consultation;;;;;;;;;;2;;41;;2;45;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;;1;1;;
DOULEUR;2024;590790655;SAINT ROCH CHIRURGIE;440052041;Consultation;;;61;;;61;;;;84;3825;2401;;180;2665;48;2462;1342;;;;;;;;;;2901;;30;2;2;2;3;;3;;;1;;1;;;;;;;;;;;;1;;;;1;;;;2;2;3;3;1;3
DOULEUR;2024;590796975;HÔPITAL SALENGRO CHU LILLE;590780193;Centre;;;;;;;;;;442;;2352;80;;2874;;1834;;;;9;;;9;;;;;;120;4;1;;;;3;4;;1;1;2;;1;;;;;;2;;;;;;1;;1;1;2;;2.56;;0.8;0.8;1.6;2.85
