BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2022;260000823;CH DROME-VIVARAIS - SITE DE MONTELEGER;260003264;;;;1;A;;;;;;;;2;B;;;;;;;;50;C;D;;;;1;1;RHÔNE VERCORS VIVARAIS;;;;
ORG;2022;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;380793802;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2022;260003215;AGDUC VALENCE / MARECHAL JUIN;380793802;;;;;;;;;;;;;;;;;;;;;;5;A;C;;;;0;;;;;;
ORG;2022;260005277;HOPITAL DE JOUR ADULTES MONTELIMAR;630786754;;;;;;;;;;;;;;;;;;;;;;34;C;A;;;;0;;;;;;
ORG;2022;260006267;CLINIQUE GENERALE VALENCE;070000245;;;;;;;;;;;;;;;;;;;;;;62;;;;;;0;;;;;;
ORG;2022;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;380793802;;;;1;A;;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;
ORG;2022;260010418;AURAL UNITE DIALYSE CH VALENCE;690796552;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2022;260012760;AURAL UNITE DIALYSE CH MONTELIMAR;690796552;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;
ORG;2022;260017454;DIEULEFIT SANTE;260016761;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;SUD DRÔME ARDÈCHE;;;;
ORG;2022;260021688;AGDUC VALENCE / PIERRE TEZIER;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;260021795;SSR LE SAFRAN LADAPT;930019484;;;;1;A;;;;;;;;;;;;;;;;;12;A;C;;;;1;1;RHÔNE VERCORS VIVARAIS;;;;
ORG;2022;270000045;CH BERNAY;270000060;;;;;;;;;;;;;1;A;;;;;;;;48;A;C;;;;;;;;;;
ORG;2022;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;;;;;;;;;;;;;;;;4;A;D;;;;25;C;;;;;0;;;;;;
ORG;2022;270000342;CMPR LA LOVIERE LOUVIERS;920030269;;;;;;;;;;;;;;;;;;;;;;;;;15;C;D;0;;;;;;
ORG;2022;270000359;CH EVREUX CH EURE-SEINE;270023724;;;;10;A;;;;;;;;1;B;;3;D;;1;C;;64;C;A;5;C;A;0;;;;;;
ORG;2022;270000367;CH GISORS;270000086;;;;;;;;;;;;;1;B;;1;B;;1;D;;158;D;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2022;270000417;CTRE DE CONVALESCENCE L'HOSTREA NOYERS;760025734;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2022;270000425;CH PONT-AUDEMER;270000102;;;;3;A;C;;;;;;;;;;2;D;D;;;;14;C;C;;;;;;;;;;
ORG;2022;270000433;CLINIQUE LE VALLON;920030269;;;;;;;;;;;;;;;;;;;;;;49;C;A;;;;0;;;;;;
ORG;2022;270000441;CH VERNEUIL-SUR-AVRE;270000110;;;;1;D;;;;;;;;;;;;;;;;;26;C;A;;;;;;;;;;
ORG;2022;270000474;HL SAINT-JACQUES LES ANDELYS;270000136;;;;3;A;B;;;;;;;;;;;;;;;;21;C;A;;;;0;;;;;;
ORG;2022;270000482;CH PIERRE HURABIELLE BOURG-ACHARD;270000144;;;;2;A;G;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;270000516;HL LE NEUBOURG;270000177;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;VAL DE SEINE ET PLATEAUX DE L'EURE;;;;
ORG;2022;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;;;;2;A;A;;;;;;;;;;;;;1;D;;19;C;C;2;G;C;;;;;;;
ORG;2022;270000862;CLINIQUE BERGOUIGNAN;270000953;;;;1;G;;;;;;;;;;;;;;;;;7;D;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2022;270000870;CLINIQUE LES BRUYERES BROSVILLE;920031770;;;;;;;;;;;;;;;;;;;;;;24;;;;;;0;;;;;;
ORG;2022;270000896;CMPR LADAPT ST ANDRE DE L'EURE;930019484;;;;;;;;;;;;;;;;;;;;;;5;C;D;;;;0;;;;;;
ORG;2022;270000912;HOPITAL LA MUSSE ST SEBASTIEN/MORSENT;750814030;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;270016058;HAD EURE SEINE;750047367;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;1;1;EURE-SEINE PAYS D'OUCHE;;;;
ORG;2022;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;140000852;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;270027279;CLINIQUE DES PORTES DE L'EURE;270027881;;;;;;;;;;;;;;;;1;A;;;;;4;C;E;;;;1;1;VAL DE SEINE ET PLATEAUX DE L'EURE;;;;
ORG;2022;280000050;CH BONNEVAL;280000142;0;;;3;A;A;0;;;0;;;2;A;B;0;;;0;;;;;;;;;;;;;;;
ORG;2022;280000084;CH DREUX;280000183;0;;;9;C;A;0;;;0;;;4;A;D;0;;;1;C;;228;C;A;;;;0;;;;;;
ORG;2022;280000100;CH DE LA LOUPE;280000225;;;;4;A;B;;;;;;;3;A;;;;;;;;34;A;C;;;;;;;;;;
ORG;2022;280000266;CRF BEAUROUVRE SITE DE BLANDAINVILLE;450018106;2;C;;;;;2;A;;;;;;;;;;;;;;21;C;;;;;0;;;;;;
ORG;2022;280000431;KORIAN PARC DE GASVILLE;310021167;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;EURE-ET-LOIRE;;;;
ORG;2022;280000449;PÔLE MÉDICAL MAISON BLANCHE;920030269;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;280000662;CH CHATEAUDUN;280500075;;;;3;B;A;;;;;;;5;A;;1;D;;;;;;;;;;;1;1;EURE-ET-LOIRE;;;;
ORG;2022;280001678;ASSAD HAD D'EURE ET LOIR;370001638;;;;;;;;;;;;;2;B;A;;;;;;;2;A;C;;;;1;3;EURE-ET-LOIRE;TOURAINE VAL DE LOIRE;LOIRET;;
ORG;2022;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;280000852;0;;;0;;;0;;;0;;;0;;;1;B;;0;;;5;C;D;0;;;0;;;;;;
ORG;2022;280007261;HDJ CRF BEAUROUVRE SITE DU COUDRAY;450018106;4;C;A;;;;;;;;;;;;;;;;;;;10;C;;;;;0;;;;;;
ORG;2022;280502741;A.I.R.B.P IRC CHARTRES;280000852;0;;;0;;;0;;;0;;;0;;;1;B;;0;;;4;C;D;0;;;0;;;;;;
ORG;2022;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;;;;2;A;B;;;;;;;1;A;;1;D;;;;;;;;;;;;;;;;;
ORG;2022;280503848;A.I.R.B.P. IRC - DREUX;280000852;0;;;0;;;0;;;0;;;0;;;1;B;;;;;4;C;D;;;;0;;;;;;
ORG;2022;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;;;;5;B;C;;;;;;;4;A;;1;D;;1;C;;534;;;;;;0;;;;;;
ORG;2022;280504309;A.I.R.B.P. IRC CHATEAUDUN;280000852;0;;;0;;;0;;;0;;;0;;;1;B;;0;;;4;C;D;;;;0;;;;;;
ORG;2022;280504689;NEPHROCARE VERNOUILLET;940000060;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;1;1;EURE-ET-LOIRE;;;;
ORG;2022;280505223;INSTITUT DIABETOLOGIE NUTRITION CENTRE;440052041;;;;;;;;;;;;;1;B;;;;;;;;39;C;E;;;;0;;;;;;
ORG;2022;280506015;LE C.A.L.M.E. ILLIERS COMBRAY;280001264;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2022;290000025;CHIC QUIMPER;290020700;;;;9;A;D;5;C;D;;;;4;A;B;1;A;;;;;;;;;;;;;;;;;
ORG;2022;290000033;C.H. DES PAYS DE MORLAIX;290021542;;;;4;B;A;;;;;;;2;A;B;;;;;;;70;B;C;;;;;;;;;;
ORG;2022;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;;;;11;A;C;;;;1;A;;4;B;E;;;;;;;;;;1;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2022;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;;;;5;A;B;;;;;;;1;B;;;;;;;;7;C;D;;;;0;;;;;;
ORG;2022;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;;;;10;D;A;2;B;A;;;;4;A;E;;;;1;D;;50;A;C;;;;;;;;;;
ORG;2022;290000207;CLINIQUE ST MICHEL ET STE ANNE;290029974;;;;;;;;;;;;;;;;1;A;B;;;;1;C;;1;A;;0;;;;;;
ORG;2022;290000215;POLYCLINIQUE QUIMPER SUD;290029974;;;;;;;;;;;;;;;;1;A;B;;;;1;C;;1;A;;0;;;;;;
ORG;2022;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;;;;1;D;;;;;;;;1;A;;;;;;;;;;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2022;290000272;CENTRE HOSPITALIER CROZON;290000090;;;;;;;1;B;;;;;;;;;;;;;;27;C;A;;;;;;;;;;
ORG;2022;290000322;CENTRE HOSPITALIER LESNEVEN;290000108;;;;3;C;A;;;;;;;2;A;B;;;;;;;;;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2022;290000371;CLINIQUE LES GLENANS;920030269;;;;1;B;;;;;;;;;;;;;;;;;1;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290000389;CENTRE HOSPITALIER LANMEUR;290000116;;;;3;A;B;;;;;;;2;A;B;;;;;;;18;C;A;;;;;;;;;;
ORG;2022;290000686;CENTRE DE SOINS DE SUITE DE KERAMPIR;440042844;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;1;1;BRETAGNE OCCIDENTALE;;;;
ORG;2022;290000728;HOPITAL INSTRUCTION DES ARMEES;750821092;;;;2;C;C;;;;;;;;;;;;;;;;;C;D;;;;;;;;;;
ORG;2022;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;;;;5;D;C;;;;;;;1;A;;;;;;;;;;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290000850;STE BRESTOISE REIN ARTIFICIEL;920033578;;;;;;;;;;;;;;;;1;A;;;;;3;C;;;;;0;;;;;;
ORG;2022;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;;;;11;D;B;;;;;;;7;A;B;;;;;;;77;C;A;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290002344;POLE RÉADAPT DE CORNOUAILLE SAINT YVI;440042844;;;;2;D;C;;;;;;;2;A;;;;;;;;3;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290003953;CRF DE TREBOUL;920030269;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;290004142;CLINIQUE DU GRAND LARGE;290022508;;;;;;;;;;;;;;;;;;;;;;14;C;A;;;;0;;;;;;
ORG;2022;290008853;CTRE DE LONG SEJOUR - CH DOUARNENEZ;290000074;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;290019777;POLYCLINIQUE DE KERAUDREN;290022508;;;;;;;;;;1;C;;;;;;;;;;;25;C;A;;;;0;;;;;;
ORG;2022;290023431;SAS CLINIQUE DE LA BAIE;290001049;;;;;;;;;;;;;;;;;;;;;;22;C;D;;;;0;;;;;;
ORG;2022;290024462;RESIDENCE KERFILY EPSM FINISTERE SUD;290000298;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290036466;POLE READAPT DE CORNOUAILLE CONCARNEAU;440042844;;;;2;C;D;;;;;;;2;A;;;;;;;;3;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290036474;POLE RÉADAPT DE CORNOUAILLE QUIMPER;440042844;;;;2;C;D;;;;;;;2;A;;;;;;;;3;C;;;;;1;1;UNION HOSPITALIÈRE DE CORNOUAILLE;;;;
ORG;2022;290036540;CLIN MUTUALISTE BRETAGNE OCCIDENTALE;290029974;;;;;;;;;;;;;;;;1;A;B;;;;1;C;;1;A;;0;;;;;;
ORG;2022;290036706;INSTITUT DE RÉADAPTATION DU CAP HORN;440055911;1;A;;;;;;;;;;;;;;;;;;;;7;C;D;;;;0;;;;;;
ORG;2022;290037548;MAISON SAINT JOSEPH;220020739;;;;2;A;;;;;;;;;;;;;;;;;8;C;;;;;0;;;;;;
ORG;2022;2A0000022;CH ND LA MISERICORDE;2A0000014;0;;;3;B;C;0;;;0;;;1;;;0;;;0;;;102;A;C;0;;;1;1;CORSE DU SUD;;;;
ORG;2022;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;1;C;D;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;2A0000212;HOPITAL LOCAL DE BONIFACIO;2A0000170;;;;1;B;;;;;;;;1;B;;;;;;;;35;C;D;;;;1;1;CORSE DU SUD;;;;
ORG;2022;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;;;;3;B;D;;;;;;;;;;;;;;;;1;;;1;;;0;;;;;;
ORG;2022;2A0001988;HAD AJACCIO ET GRAND AJACCIO;2A0001848;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;2A0002614;CENTRE HOSPITALIER DE SARTENE;2A0002606;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;2A0003174;CENTRE D'AUTO DIALYSE;2A0003166;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;2A0023271;USLD D' AJACCIO;2A0000014;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;1;1;CORSE DU SUD;;;;
ORG;2022;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-CORSE G2HC;;;;
ORG;2022;2B0000038;CH CORTE;2B0004246;;;;1;B;;;;;;;;;;;;;;;;;20;A;C;;;;;;;;;;
ORG;2022;2B0000145;POLYCLINIQUE LA RESIDENCE MAYMARD;2B0000053;2;A;C;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;2B0000392;POLYCLINIQUE DE FURIANI;2B0000129;2;C;C;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-CORSE G2HC;;;;
ORG;2022;2B0000400;MAISON DE CONVALES LA PALMOLA;2B0000137;;;;;;;;;;;;;;;;;;;;;;7;C;A;;;;0;;;;;;
ORG;2022;2B0001739;HAD DE CORSE;2B0001689;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-CORSE G2HC;;;;
ORG;2022;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;130006810;;;;;;;;;;;;;;;;;;;;;;3;C;D;;;;0;;;;;;
ORG;2022;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;130016058;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;2B0005359;CH CALVI;2B0005342;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;2B0005664;CLINIQUE DE TOGA;2B0005656;;;;;;;;;;;;;;;;;;;;;;38;C;;;;;0;;;;;;
ORG;2022;300000023;CH ALES CEVENNES;300780046;;;;1;C;;;;;;;;2;A;;;;;;;;240;C;;;;;0;;;;;;
ORG;2022;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;1;C;;1;D;C;;;;;;;;;;;;;5;C;D;6;C;D;;;;0;;;;;;
ORG;2022;300000056;CH PONT ST ESPRIT;300780079;;;;;;;;;;;;;1;A;;;;;;;;1;C;;;;;;;;;;;
ORG;2022;300000064;CH UZES;300780087;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300000072;CH LE VIGAN;300780095;;;;;;;;;;;;;;;;;;;;;;38;C;A;;;;0;;;;;;
ORG;2022;300000080;CHS LE MAS CAREIRON UZES;300780103;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300000478;CH LES CHATAIGNIERS PONTEILS;300781010;;;;1;D;;;;;;;;1;A;;;;;;;;4;C;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300000759;ASSOC CIGALIERES;300000759;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;0;;;;;;
ORG;2022;300002128;CHATEAU DE COULORGUES BAGNOLS SUR CEZE;300000247;;;;;;;;;;;;;;;;;;;;;;5;D;C;;;;0;;;;;;
ORG;2022;300002169;SSR LES CADIERES ST PRIVAT DES VIEUX;780020715;;;;;;;;;;1;;;;;;;;;;;;10;;;;;;0;;;;;;
ORG;2022;300002508;CL DU GRAND AVIGNON LES ANGLES;300000213;;;;;;;;;;;;;;;;;;;;;;1;D;;;;;0;;;;;;
ORG;2022;300007119;AIDER SANTE UAD UDM CH ALES 1;340000264;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2022;300008588;NEPHROCARE NIMES NEWCO 3;940023849;;;;;;;;;;;;;;;;1;A;;;;;10;C;;;;;0;;;;;;
ORG;2022;300008638;NEPHROCARE UDM BAGNOLS SUR CEZE NEWCO3;940023849;;;;;;;;;;;;;;;;1;A;;;;;5;C;;;;;0;;;;;;
ORG;2022;300012309;ADENE HAD NIMES;340027937;;;;;;;;;;;;;;;;;;;;;;8;;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300012358;CTRE MED L'EGREGORE CAVEIRAC UGECAM;340015171;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;300013745;ADENE HAD ALES;340027937;;;;;;;;;;;;;;;;;;;;;;10;;;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300013778;HAD 3G SANTE NIMES;300013760;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300014040;GCS CTRE REEDUC GARD RHODANIEN BAGNOLS;300014024;;;;1;D;;;;;;;;;;;;;;;;;12;C;D;;;;1;1;CÉVENNES GARD CAMARGUE;;;;
ORG;2022;300017209;KENVAL ICG NIMES;300000726;;;;1;C;;;;;;;;;;;1;D;;;;;;;;;;;0;;;;;;
ORG;2022;300017423;CTRE MED L'EGREGORE CAVEIRAC AUDAVIE;380804542;;;;1;A;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2022;300780111;SSR LA POMAREDE FILIERIS SALLES DU GA;750050759;;;;;;;;;;;;;;;;;;;;;;;;;1;C;;0;;;;;;
ORG;2022;300780137;NOUVELLE CL BONNEFON ALES;920028396;;;;;;;;;;;;;;;;;;;;;;62;C;D;;;;0;;;;;;
ORG;2022;300780152;HOPITAL PRIVE LES FRANCISCAINES NIMES;300017985;1;C;A;;;;;;;;;;;;;3;A;B;;;;15;C;D;;;;0;;;;;;
ORG;2022;300780210;CL BELLE RIVE VILLENEUVE LES AVIGNON;300000148;;;;;;;;;;;;;;;;;;;;;;22;C;A;;;;0;;;;;;
ORG;2022;300780244;CL DU PONT DU GARD REMOULINS;920030269;;;;;;;;;;;;;;;;;;;;;;8;C;;;;;0;;;;;;
ORG;2022;300780251;CL NEURO PSYCHIATRIQUE QUISSAC;300000189;0;;;0;;;0;;;0;;;0;;;0;;;0;;;10;B;;0;;;0;;;;;;
ORG;2022;300780384;CTRE PROTECTION INFANTILE MONTAURY CRF;750721334;;;;;;;;;;1;C;;;;;;;;;;;;;;4;C;A;0;;;;;;
ORG;2022;300780491;CL LES OLIVIERS GALLARGUES;340016963;;;;;;;;;;;;;;;;;;;;;;17;C;;;;;0;;;;;;
ORG;2022;300781424;CL LA CAMARGUE BOUILLARGUES;300000692;;;;;;;;;;;;;;;;;;;;;;16;;;;;;0;;;;;;
ORG;2022;300781440;CTRE SSR DOMAINE DU CROS QUISSAC;300000700;0;;;0;;;0;;;0;;;0;;;0;;;0;;;10;C;;0;;;0;;;;;;
ORG;2022;300781465;POLYCL KENNEDY NIMES;300017985;;;;;;;;;;;;;;;;3;A;B;;;;;;;;;;0;;;;;;
ORG;2022;300782117;CHU NIMES CAREMEAU;300780038;1;C;;5;B;D;1;D;;4;C;E;;;;1;D;;15;E;C;76;C;D;;;;;;;;;;
ORG;2022;300786274;INSTITUT REINS AVEUGLES ARAMAV NIMES;300786266;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;300788502;POLYCLINIQUE GRAND SUD NIMES;300017985;;;;;;;;;;;;;;;;3;A;B;;;;37;C;;;;;0;;;;;;
ORG;2022;310000013;CTRE CONVAL GERONTO HOPITAUX DE LUCHON;310180013;;;;1;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;1;A;;1;F;;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;310000336;CH REVEL;310780713;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;TARN REVELOIS ET SAINT-PONAIS - COEUR D'OCCITANIE;;;;
ORG;2022;310000369;CH GERARD MARCHANT TOULOUSE;310780754;;;;2;C;;;;;;;;1;E;;;;;;;;;;;;;;;;;;;;
ORG;2022;310005459;HAD SANTE RELAIS DOMICILE;310021886;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310013628;CH MURET;310786256;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;310018650;SECTORISATION PSY NEBOUZAN ASEI;310781562;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310019351;HOPITAL LARREY CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;310020938;CL KORIAN VAL DE SAUNE QUINT FONSEGRIV;750056335;;;;;;;;;;;;;;;;;;;;;;5;C;;;;;0;;;;;;
ORG;2022;310021571;CL DES MINIMES TOULOUSE;310021563;;;;1;D;;;;;;;;1;B;;;;;;;;3;C;D;1;A;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310022298;HOPITAL GARONNE CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;310023007;CL LA RECOUVRANCE FRONTON;810005678;;;;;;;;;;;;;;;;;;;;;;13;;;;;;0;;;;;;
ORG;2022;310025333;ONCOPOLE CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2022;310026083;CL RIVE GAUCHE TOULOUSE;310026075;;;;2;A;E;;;;;;;1;E;E;3;E;;;;;1;A;;;;;0;;;;;;
ORG;2022;310026927;CL CAPIO LA CROIX DU SUD QUINT FONSEGR;310026794;;;;;;;;;;;;;;;;;;;;;;83;D;A;;;;0;;;;;;
ORG;2022;310780143;CL DU CHATEAU DE SEYSSES;920030269;;;;;;;;;;;;;;;;;;;;;;18;C;D;;;;0;;;;;;
ORG;2022;310780150;CL MEDIPOLE GARONNE TOULOUSE;310788799;;;;;;;;;;;;;;;;1;B;;;;;15;C;;;;;0;;;;;;
ORG;2022;310780234;CL DU CABIROL COLOMIERS;920030871;;;;;;;;;;;;;;;;;;;;;;34;C;;;;;0;;;;;;
ORG;2022;310780259;CL PASTEUR TOULOUSE;310000096;1;C;;4;A;;;;B;;;;;;;1;A;;;;;115;C;;;;;1;2;HAUTE-GARONNE ET TARN OUEST;GERS;;;
ORG;2022;310780358;MAISON DE SANTE DE MAILHOL LABASTIDE;310000146;6;C;;;;;;;;;;;;;;;;;;;;2;C;B;;;;0;;;;;;
ORG;2022;310780366;CL MONIE VILLEFRANCHE DE LAURAGAIS;310000153;;;;1;D;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2022;310780374;CL DU CHATEAU DE VERNHES BONDIGOUX;310000161;;;;1;D;;;;;;;;;;;;;;;;;20;C;E;2;A;E;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310780390;CL DE BEAUPUY;310000187;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;310781000;CL DES CEDRES CORNEBARRIEU;310788880;;;;2;C;E;;;;;;;;;;1;A;;;;;7;C;C;;;;0;;;;;;
ORG;2022;310781067;HOPITAL JOSEPH DUCUING TOULOUSE;310788898;;;;;;;;;;;;;;;;2;D;;;;;;;;;;;0;;;;;;
ORG;2022;310781125;CL ST ROCH FRONTON;310000419;;;;;;;;;;1;;;1;;;;;;;;;26;;;;;;0;;;;;;
ORG;2022;310781133;CLINIQUE D'AUFRERY PIN BALMA;310000427;;;;1;D;B;;;;;;;1;E;;;;;;;;2;C;E;4;G;E;0;;;;;;
ORG;2022;310781141;CL DU VIEUX CHATEAU D'OC CASTELMAUROU;310000435;;;;;;;;;;;;;;;;;;;;;;22;A;C;;;;0;;;;;;
ORG;2022;310781158;CL MARIGNY ST LOUP GAMMAS;920038619;;;;;;;;;;;;;;;;;;;;;;4;A;C;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310781174;CL BLAGNAC;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310781422;CENTRE PAUL DOTTIN RAMONVILLE ST AGNE;310781562;;;;2;A;D;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2022;310781430;CTRE POST CURE ROUTE NOUVELLE TOULOUSE;310788906;0;;;0;;;0;;;0;;;0;;;0;;;0;;;11;C;;0;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;
ORG;2022;310781505;CL D'OCCITANIE MURET;310000492;;;;;;;;;;;;;;;;2;B;A;;;;;;;;;;0;;;;;;
ORG;2022;310781695;POLYCLINIQUE DE LA LEZE LAGARDELLE;920030269;;;;;;;;;;;;;;;;;;;;;;64;C;;;;;0;;;;;;
