BOR;AN;FI;RS;FI_EJ;AUT;SAL;SALANG;SALHYBCAR;SEJ;JOU;ACT;ACT1;ACT2;ACT3;ADU;ENF;GREF;SALAS;CEC;INTENF;INTADU;INTURG;INTCEC;LIT_CHIRC;LIT_CAR;SEJ_CHIRC;JOU_CHIRC
CHIRCAR;2022;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;2;2;;1814;4351;2763;868;1;1130;1;0;0;2;2;2;887;;809;13;19;852;3937
CHIRCAR;2022;740014345;HOPITAL PRIVE PAYS DE SAVOIE;740000617;1;0;2;0;355;474;866;0;0;866;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;740780416;CLINIQUE D'ARGONAY;740000112;1;;2;;296;363;301;14;0;287;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;750000523;GH PARIS SITE SAINT JOSEPH;750150120;1;1;2;;1714;3094;1948;712;0;1236;0;0;0;;;0;0;;0;;33;0;0
CHIRCAR;2022;750100042;HU SAINT LOUIS SITE LARIBOISIERE APHP;750712184;1;2;2;;974;1860;1040;44;0;996;0;0;0;;;0;0;;0;;12;0;0
CHIRCAR;2022;750100125;HU PITIE SALPETRIERE APHP;750712184;1;2;2;1;3931;11004;4692;2017;0;2675;1;0;1;6;5;3;1919;245;1685;28;53;4393;4696
CHIRCAR;2022;750100166;HU PARIS CENTRE SITE COCHIN APHP;750712184;1;;1;;764;1767;901;44;0;857;0;0;0;;;0;0;;0;;12;0;0
CHIRCAR;2022;750100208;HU NECKER ENFANTS MALADES APHP;750712184;1;1;0;0;358;1482;397;76;281;40;0;1;1;3;2;869;19;0;14;3;10;519;520
CHIRCAR;2022;750100232;HU PARIS NORD SITE BICHAT APHP;750712184;1;3;2;1;1673;6932;2133;517;3;1613;1;0;1;;;12;1645;;1385;24;54;2818;6662
CHIRCAR;2022;750150104;INSTITUT MUTUALISTE MONTSOURIS;750720476;1;4;2;1;3665;6410;3981;1955;0;2026;1;0;0;2;3;0;813;;747;27;56;638;2190
CHIRCAR;2022;750300154;CLINIQUE TURIN;750065971;1;1;1;;1195;1704;1255;21;0;1234;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;750301137;CLINIQUE CHIRURG ALLERAY LABROUSTE;750001034;1;1;1;;914;1372;1130;783;0;347;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;750803447;HU PARIS OUEST SITE G POMPIDOU APHP;750712184;1;5;2;;2933;10486;3793;1661;3;2129;1;0;1;3;5;5;1281;;1055;19;66;1954;4994
CHIRCAR;2022;760000018;CH DIEPPE;760780023;1;1;;;69;201;76;55;0;21;0;0;0;;;0;0;;0;;19;0;0
CHIRCAR;2022;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;4;2;;2631;7251;3177;1230;2;1945;1;0;1;3;3;0;950;;839;24;50;1766;5879
CHIRCAR;2022;760037796;SCM DES CARDIOLOGUES DY PT COLMOULINS;760031393;1;0;1;0;719;1889;789;82;0;707;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;760780619;CLINIQUE SAINT-HILAIRE ROUEN;760000307;1;;2;;2209;4694;2319;501;0;1818;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;760805770;HOPITAL JACQUES MONOD CH LE HAVRE;760780726;1;1;1;0;1145;2579;1257;470;0;787;0;0;0;;;0;0;;0;;34;0;0
CHIRCAR;2022;770019032;GHEF MARNE LA VALLEE SITE JOSSIGNY;770021145;1;4;4;;2718;6033;2972;889;0;2083;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;770300135;CLINIQUE MEDICO CHIRURG LES FONTAINES;770000289;1;1;1;;1069;2812;1402;661;3;738;0;0;0;;;0;0;;0;;25;0;0
CHIRCAR;2022;780000311;CHI POISSY ST GERMAIN SITE DE POISSY;780001236;1;2;1;;700;2538;891;302;0;589;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;780300075;CENTRE CARDIOLOGIQUE D EVECQUEMONT;780000485;1;1;1;;780;2900;968;143;0;825;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;780300406;HOPITAL PRIVE DE PARLY II;780018032;1;3;3;0;2180;4787;2573;1248;0;1325;1;0;0;3;3;3;1332;;1098;22;22;935;5189
CHIRCAR;2022;780300414;CH PRIVE DE L EUROPE;780000675;1;1;0;;0;0;64;40;0;24;0;0;0;0;0;0;0;0;0;;5;0;0
CHIRCAR;2022;780800256;CH DE VERSAILLES SITE ANDRE MIGNOT;780110078;1;;2;;1028;3566;1223;128;0;1094;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;790000087;CENTRE HOSPITALIER DE NIORT;790000012;1;2;1;;1231;4486;1334;292;1;1041;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;800006124;CHU AMIENS SUD;800000044;1;2;2;0;2201;7584;2508;1035;1;1472;1;0;0;2;3;16;1834;;1398;14;63;509;4078
CHIRCAR;2022;800015729;SAS DE CARDIOLOGIES ET URGENCES;800015679;1;;2;;1112;2756;1207;538;0;669;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;810000224;CL CLAUDE BERNARD;810000471;1;1;1;0;876;2166;1066;64;0;1002;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;810000505;CH ALBI;810000331;1;1;;;164;667;172;157;0;15;0;0;0;;;0;0;;0;;15;0;0
CHIRCAR;2022;810000521;CHIC CASTRES MAZAMET SITE AUTAN;810000380;1;1;;;163;733;179;159;0;20;0;0;0;;;0;;;0;;;0;0
CHIRCAR;2022;820000032;CH MONTAUBAN;820000016;1;1;0;0;185;681;190;168;0;22;0;0;0;0;0;0;0;0;0;;;0;0
CHIRCAR;2022;820000057;CL PONT DE CHAUME;820000131;1;0;2;0;1404;2744;1633;45;0;1588;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;830000311;CHI DE FREJUS SAINT RAPHAEL;830100566;1;1;1;0;1295;3482;1427;115;0;1312;0;0;0;;;0;0;;0;0;28;0;0
CHIRCAR;2022;830000345;CHITS CH SAINTE MUSSE;830100616;1;1;2;1;1778;5220;2005;583;0;1422;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;830100319;POLYCLINIQUE LES FLEURS GROUPE ELSAN;830020855;1;4;2;2;3181;4818;3509;1219;0;2290;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;830100574;HIA SAINTE ANNE;750821092;1;1;1;;502;1924;1174;98;;643;0;0;0;;;0;0;;0;0;10;0;0
CHIRCAR;2022;840001861;CH D'AVIGNON HENRI DUFFAUT;840006597;1;2;2;;2395;5654;2622;497;0;2125;0;0;0;;;0;0;;0;;38;0;0
CHIRCAR;2022;840013312;CLINIQUE RHONE DURANCE;840003685;1;4;4;;2770;5741;3279;1288;0;1991;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;850000142;CHD SITE LA ROCHE SUR YON;850000019;1;5;3;;1850;6797;2055;730;0;1325;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;860000223;CHU LA MILETRIE;860014208;1;3;2;1;3106;8363;3517;1325;1;2191;1;0;0;2;2;1;625;;575;16;77;846;5442
CHIRCAR;2022;870000064;C H U DUPUYTREN LIMOGES;870000015;1;4;2;0;2558;7158;3186;959;0;2227;1;0;0;2;2;1;737;232;543;14;42;1523;8856
CHIRCAR;2022;880000021;CHI E.DURKHEIM - PLATEAU DE LA JUSTICE;880007059;1;0;0;0;116;546;117;88;0;29;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;890975527;CH AUXERRE;890000037;1;1;1;;1401;3408;1557;506;0;1051;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;900003039;HNFC SITE TREVENANS;900000365;1;2;1;;1666;4385;1833;542;0;1291;0;0;0;;;0;0;;0;0;36;0;0
CHIRCAR;2022;910008028;ANGIO SCE INTERCLINQUE IMAGERIE-MASSY;910001221;1;0;0;0;2827;6090;3333;1317;0;2016;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;910020254;CH SUD FRANCILIEN SITE JEAN JAURES;910002773;1;0;3;;1528;5505;1733;488;0;1245;0;0;0;;;0;0;;0;;40;0;0
CHIRCAR;2022;910022888;ANGIO SCE INTERCLINIQUE IMAGERIE-QUINC;910001221;1;2;2;0;1375;2917;1484;542;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2022;910300219;HOPITAL PRIVE JACQUES CARTIER;910003888;1;1;4;;707;1522;833;329;0;504;1;0;0;6;6;5;1542;;1218;45;46;2066;10445
CHIRCAR;2022;920000577;CH DE NANTERRE;920110020;1;1;0;;73;546;75;65;0;10;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;920000650;HOPITAL FOCH;920150059;1;1;1;1;749;2146;802;28;0;774;0;0;1;;;0;0;;0;;;0;0
CHIRCAR;2022;920000684;HOPITAL MARIE LANNELONGUE;750150120;1;3;3;1;2139;4762;2669;136;283;2250;1;1;1;4;6;950;990;;849;28;14;1016;3156
CHIRCAR;2022;920029550;CH A PARE HARTMANN P CHEREST;920810736;1;4;4;1;1407;2236;1681;939;3;739;1;0;0;5;4;1;520;;439;48;47;910;2091
CHIRCAR;2022;920100013;HU OUEST SITE AMBROISE PARE APHP;750712184;1;2;2;;550;1906;600;28;0;572;0;0;0;;;0;0;;0;;23;0;0
CHIRCAR;2022;920120011;HIA PERCY;750821092;1;1;1;;572;1770;654;323;0;331;1;0;0;;;0;8;;0;;14;0;0
CHIRCAR;2022;920300043;HOPITAL PRIVE D ANTONY;920001526;1;1;1;0;600;2798;661;209;0;452;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;920300753;CLINIQUE CHIRURGICAL AMBROISE PARE;920810736;1;3;2;;2853;4943;3509;1994;0;1515;1;0;0;3;4;0;1238;;1002;0;0;1007;3081
CHIRCAR;2022;920300787;HOPITAL AMERICAIN;920000981;1;0;1;;837;683;920;299;0;621;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;930000286;GHI LE RAINCY MONTFERMEIL;930021480;1;1;1;0;1267;3849;1346;550;0;796;0;0;0;0;0;0;0;0;0;0;0;0;0
CHIRCAR;2022;930000302;CHI ANDRE GREGOIRE;930110036;1;;1;;891;2059;919;79;0;840;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;930000336;CHI ROBERT BALLANGER;930110069;1;0;1;;742;2218;794;1;0;793;0;0;0;0;;0;0;;0;;;0;0
CHIRCAR;2022;930026885;INSTITUT CARDIO GVM LA ROSERAIE;930024278;1;2;0;0;962;3245;1024;95;0;929;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;930300066;HOPITAL PRIVE DE L EST PARISIEN;930000401;1;0;1;0;110;536;111;90;0;21;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;930300082;CENTRE MEDICO CHIRURGICAL FLOREAL;930000419;1;1;1;;0;0;55;46;0;9;0;0;0;;0;0;0;;0;0;12;0;0
CHIRCAR;2022;930300645;CENTRE CARDIOLOGIQUE DU NORD;930000682;1;3;4;1;3799;12509;4185;1711;0;2474;1;0;0;2;3;0;1406;;1095;;89;0;0
CHIRCAR;2022;940000599;CHI LUCIE ET RAYMOND AUBRAC;940110042;1;1;1;0;619;2203;783;86;0;697;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;940000649;HOPITAL SAINT CAMILLE;940150014;1;1;;;61;427;67;43;0;24;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;940100027;HU HENRI MONDOR SITE HENRI MONDOR APHP;750712184;1;4;4;2;2169;5696;2474;861;1;1612;1;0;0;2;3;1;706;;572;19;60;896;5938
CHIRCAR;2022;940100043;HU PARIS SUD SITE KREMLIN BICETRE APHP;750712184;1;1;;;108;724;119;41;3;75;0;0;0;;;0;0;;0;;14;0;0
CHIRCAR;2022;950000307;CH VICTOR DUPOUY;950110015;1;1;1;;777;2854;823;285;0;538;0;0;0;;;0;0;;0;;22;0;0
CHIRCAR;2022;950000323;GHEM SIMONE VEIL SITE EAUBONNE;950013870;1;1;1;0;739;2207;817;125;0;692;0;0;0;0;0;0;0;0;0;;21;0;0
CHIRCAR;2022;950000331;CH GENERAL DE GONESSE;950110049;1;;1;;482;1771;525;0;0;525;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;950000364;CH RENE DUBOS;950110080;1;1;1;0;1213;3965;1468;517;0;951;0;0;0;;;0;0;;0;;28;0;0
CHIRCAR;2022;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;1;1;1;;400;1876;459;0;0;459;0;0;0;;;0;0;;0;;;0;0
CHIRCAR;2022;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;1;1;1;;948;3808;2350;603;55;1692;1;0;0;2;2;4;572;;221;14;28;403;3280
CHIRCAR;2022;970300026;CENTRE HOSPITALIER DE CAYENNE;970302022;1;1;1;0;80;678;83;4;0;79;0;0;0;;;0;0;;0;0;16;0;0
CHIRCAR;2022;970400024;CHU SITE FELIX GUYON (SAINT DENIS);970408589;1;1;1;1;1525;3963;1831;44;35;1752;1;0;0;2;3;106;740;;601;21;25;852;6850
CHIRCAR;2022;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;2;;;812;2535;890;842;0;48;0;0;0;;;0;0;;0;;21;0;0
CHIRCAR;2022;970462107;CLINIQUE STE-CLOTILDE;970400305;1;;2;;730;1884;777;175;0;602;0;0;0;;;0;0;;0;;21;0;0
