BOR;AN;FI;GRP;RS;FI_ET;RS_ET;FI_EJ
STB;2019;330783721;04;HOPITAL GARDEROSE;330790882;HOPITAL DE JOUR POUR ENFANTS ROCHEREAU;330781253
STB;2019;330783721;04;HOPITAL GARDEROSE;330792391;HOPITAL DE JOUR POUR ENFANTS ST GIRONS;330781253
STB;2019;330783960;15;HOPITAL DE JOUR CENTRE SANTE MENT MGEN;;;750005068
STB;2019;330791641;09;EHPAD - USLD LES ARBOUSIERS;;;330056540
STB;2019;330802752;04;CENTRE JEAN ABADIE - CHU;;;330781196
STB;2019;330802778;09;KORIAN CHÂTEAU LEMOINE;;;310020383
STB;2019;330804501;04;CENTRE HOSPITALIER DE BAZAS;;;330781212
STB;2019;340000025;09;INSTITUT ST PIERRE;;;340022722
STB;2019;340000033;04;CH BEZIERS;340796150;USLD CH BEZIERS;340780055
STB;2019;340000173;04;CH PEZENAS;;;340780451
STB;2019;340000181;04;CH SAINT PONS DE THOMIERES;;;340780469
STB;2019;340000215;04;CH LODEVE;340788678;USLD CH LODEVE;340780519
STB;2019;340000223;04;HOPITAL ST CLAIR HBT SETE;;;340011295
STB;2019;340000231;04;CH POLE DE SANTE DE LUNEL;340782697;USLD CH LUNEL;340780535
STB;2019;340000249;04;CH CLERMONT L'HERAULT;;;340780543
STB;2019;340000439;09;CENTRE ORTHOPEDIQUE MAGUELONE;;;340780881
STB;2019;340001064;09;CENTRE MUTUALISTE NEUROLOGIQUE PROPARA;;;340013028
STB;2019;340008176;04;CH SAINT PONS CENTRE D'ALCOOLOGIE;;;340780469
STB;2019;340008275;04;CENTRE ANTONIN BALMES CHU MONTPELLIER;;;340780477
STB;2019;340009018;09;CL DU PIC ST LOUP;;;340008978
STB;2019;340009885;09;POLYCL CHAMPEAU;;;340009877
STB;2019;340010149;09;CL ST CLEMENT;;;340010099
STB;2019;340015502;09;CL DU MILLENAIRE;;;340000512
STB;2019;340015965;09;POLYCL ST PRIVAT;;;340000074
STB;2019;340016476;09;HAD BEZIERS HAD;;;340016468
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340021724;CMP 11 SITE PERREAL BEZIERS;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340021732;CMP 10 SITE PERREAL BEZIERS;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340026806;CMPEA BEDARIEUX;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340782622;CENTRE PSYCHOTHERAPIE CAMILLE CLAUDEL;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787191;CMP PSY ADULTES ST PONS DE THOMIERES;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787282;CMPEA SAINT PONS;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787308;CMP INFANTO JUVENILE PEZENAS;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787316;CMPEA AGDE;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787340;CMP ADULTES BEDARIEUX;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787357;CMP ADULTES AGDE;340780055
STB;2019;340016732;14;HJ PSY ADULTES SITE PERREAL;340787829;CMP PSY ADULTES PEZENAS;340780055
STB;2019;340017771;04;SSR CH BEZIERS;;;340780055
STB;2019;340017839;09;HAD OIKIA MONTPELLIER;;;420002438
STB;2019;340017847;09;HAD HOME SANTE 34;;;340018175
STB;2019;340019090;09;CRF BOURGES;;;340019082
STB;2019;340019603;09;GCS HELP;;;340019587
STB;2019;340021211;04;HAD CH BEZIERS;;;340780055
STB;2019;340022763;04;CHU MTP SMUR ANTENNE LUNEL;;;340780477
STB;2019;340022771;04;CHU MTP SMUR ANTENNE GANGES;;;340780477
STB;2019;340022979;09;POLYCL ST ROCH;;;340000306
STB;2019;340024512;09;SSR LES JARDINS DE SOPHIA;340789379;USLD LES JARDINS DE SOPHIA;340001825
STB;2019;340025279;04;CHU MTP PF TELEPHONE SAMU VAILHAUQUES;;;340780477
STB;2019;340027739;04;CHU MTP SMUR ANTENNE CLERMONT HERAULT;;;340780477
STB;2019;340780121;15;CL LA PERGOLA;;;340000082
STB;2019;340780139;09;CL DU DR JEAN CAUSSE;;;340000090
STB;2019;340780147;09;POLYCL DES TROIS VALLEES;;;340000108
STB;2019;340780154;09;POLYCL PASTEUR;;;340000116
STB;2019;340780196;09;CRF LE VAL D'ORB;;;340798123
STB;2019;340780212;09;CRF STER LAMALOU LES BAINS;;;340796069
STB;2019;340780220;04;CH PAUL COSTE FLORET;;;340796358
STB;2019;340780253;09;MAISON DE REPOS LE COLOMBIER;;;340001387
STB;2019;340780436;04;HOPITAL ST LOUP HBT AGDE;340788629;USLD ST LOUP AGDE HBT;340011295
STB;2019;340780444;04;CH BEDARIEUX;340788595;USLD CH BEDARIEUX;340009893
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020304;HJ PSY ADULTES UNITE GIGNAC;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020312;HJ PSY ADULTES CATTP LES 2 LIONS;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020320;HJ PSY ADULTE ARCEAUX VOLONTAIRES;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020338;HJ PSY ADULTE LA MAISON EURYDICE MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020346;HJ PSY ADULTES CMP CATTP CHAMPOLLION;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020353;HJ PSY ADULTE LE CLOS DU MOULIN MEZE;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340020361;HJ PSY ADULTE LA MAIRE COURNONTERRAL;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021294;HJ PIJ VILLA LES 2 RUISSEAUX MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021302;HJ PIJ VILLA ST GEORGES MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021310;CMPEA HJ PIJ GIGNAC;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021633;CMP ADULTES UNITE GIGNAC;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021641;CMP ADULTE PAGNOL LUNEL;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021658;CMP ADULTE LE CLOS DU MOULIN MEZE;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021666;CMP CATTP LA MAISON EURYDICE MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021674;CMP ADULTE MICHEL POMPIGNANE MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021682;CATTP L'ENEIDE MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021690;CMPEA VILLA ST GEORGES MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340021708;CATTP GIGNAC;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787035;HJ CMP CATTP PSY ADULTE HAUTS MASSANE;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787043;CMP CATTP ADULTE POINT DE REPERE MTP;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787084;HJ PSY ADULTE LUNEL;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787092;HJ PSY ADULTE LA CLARTE;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787118;HJ PSY ADULTE PUSSIN LODEVE;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787134;CMP CATTP ADULTE LODEVE;340780477
STB;2019;340780485;04;CHS LA COLOMBIERE CHU MONTPELLIER;340787225;CMPEA FERRADE LUNEL;340780477
STB;2019;340780568;09;CL DU SOUFFLE LA VALLONIE;;;340000256
STB;2019;340780634;09;CL ST JEAN;;;340000272
STB;2019;340780642;09;CL BEAU SOLEIL;;;340785856
STB;2019;340780667;09;CL DU PARC;;;340000280
STB;2019;340780675;09;CL CLEMENTVILLE;;;340000298
STB;2019;340780717;09;CL ST LOUIS;;;340023225
STB;2019;340780725;09;CL VIA DOMITIA;;;340000330
STB;2019;340780741;09;POLYCL STE THERESE;;;340000348
STB;2019;340780758;09;CL RECH;;;340000355
STB;2019;340780766;15;CLINIQUE LA LIRONDE;;;920030269
STB;2019;340780782;15;CL STELLA;;;340000371
STB;2019;340780790;15;CL ST ANTOINE;;;340000389
STB;2019;340780816;09;CL MUTUALISTE JEAN LEON;;;340023209
STB;2019;340780824;09;CL PLEIN SOLEIL;;;340000405
STB;2019;340780857;09;CL LE CASTELET;;;340000421
STB;2019;340780931;15;CL ST MARTIN VIGNOGOUL;;;340000454
STB;2019;340781608;09;CL DU MAS DE ROCHET;;;340015171
STB;2019;340782002;09;CRF LA PETITE PAIX;;;340000629
STB;2019;340782036;04;HOPITAL ST ELOI CHU MONTPELLIER;;;340780477
STB;2019;340782085;04;HOPITAL GUI DE CHAULIAC CHU MTP;;;340780477
STB;2019;340782481;04;CENTRE BELLEVUE CHU MONTPELLIER;;;340780477
STB;2019;340785161;04;HOPITAL LAPEYRONIE CHU MONTPELLIER;;;340780477
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340015163;CMP CATTP LA PALANCA;340011295
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340020585;HJ LA BARAQUETTE;340011295
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340020593;HJ PSY INFANTO JUVENILE HBT FRONTIGNAN;340011295
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340020601;HJ PSY INFANTO JUVENILE HBT MEZE;340011295
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340020619;CMPEA PSY INFANTO JUVENILE MEZE;340011295
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340020627;CMPEA PSY INFANTO JUVENILE SETE;340011295
STB;2019;340787266;14;HJ PSY INFANTO JUVENILE HBT SETE;340020635;CMPEA PSY INFANTO JUVENILE FRONTIGNAN;340011295
STB;2019;340789981;09;CL FONTFROIDE;;;340001866
STB;2019;340796051;04;USLD LES PERGOLINES HBT SETE;;;340011295
STB;2019;340796093;09;CRF STER ST CLEMENT DE RIVIERE;;;340796069
STB;2019;340796663;04;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;;;340780477
STB;2019;340797596;09;CENTRE DU MELEZET;;;920030269
STB;2019;340798552;09;CENTRE CONVALESCENCE LE PECH DU SOLEIL;;;340798545
STB;2019;350000063;09;HOPITAL ST THOMAS DE VILLENEUVE BAIN;;;220020739
STB;2019;350000071;09;HOPITAL ARTHUR GARDINER;;;920028560
STB;2019;350000121;09;CHP SAINT GREGOIRE;;;350000303
STB;2019;350000139;09;CLINIQUE MUTUALISTE DE LA SAGESSE;;;350001137
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350000279;CH SAINT MALO SITE DU ROSAIS;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350005070;HDJ E RENAN;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350044228;HDJ CMP CATTP COMBOURG;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350045068;HDJ CMP CATTP DOL-DE-BRETAGNE;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350045076;HDJ CMP CATTP DINARD;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350046884;CMPEA BAGUER PICAN;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350046892;CMPEA DINARD;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350048567;APPARTEMENT THERAPEUTIQUE;350000022
STB;2019;350000147;04;CENTRE HOSPITALIER SAINT-MALO;350048575;APPARTEMENT THERAPEUTIQUE;350000022
STB;2019;350000154;04;C.H FOUGERES;350028668;CENTRE LONG SEJOUR - CH FOUGERES;350000030
STB;2019;350000162;04;CHIRC SITE REDON;350031613;CENTRE LONG SEJOUR - CH REDON;350000048
STB;2019;350000162;04;CHIRC SITE REDON;350044038;HOPITAL DE JOUR - CH REDON;350000048
STB;2019;350000162;04;CHIRC SITE REDON;350045027;APPART THERAPEUTIQUE CH-REDON;350000048
STB;2019;350000162;04;CHIRC SITE REDON;350045035;CATTP CH-REDON;350000048
STB;2019;350000162;04;CHIRC SITE REDON;350051199;CH REDON SITE UNITE D'HOSPIT LANRUA;350000048
STB;2019;350000188;04;CENTRE HOSPITALIER VITRE;;;350000055
STB;2019;350000196;09;CLINIQUE DE LA COTE D'EMERAUDE;;;350000311
STB;2019;350000204;09;CENTRE LOCAL HOSPITALIER SAINT JOSEPH;;;350023248
STB;2019;350000212;04;CENTRE HOSPITALIER LA GUERCHE DE BGNE;;;350000089
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350006573;CENTRE LE PLACIS VERT;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350006839;CENTRE DU BOIS PERRIN;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350006847;C. H. S. - ECOLE BOIS PERRIN;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350007456;SMPR CENTRE PENITENTIAIRE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350023875;HOP DE JOUR CPEA MONTFORT;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350023883;HOPITAL DE JOUR CATTP CMP YSER;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350025441;CMP/CATTP LOUIS GUILLANT;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350025466;HOP DE JOUR CMP CATTP ADULTES VITRE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350025482;CMP ST EXUPERY;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350025490;HOP DE JOUR CMP CATTP CPEA VILLEJEAN;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350025508;HOPITAL DE JOUR POINT;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350041588;HOPITAL DE JOUR NOMINOE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350041638;HOP DE JOUR CMP CATTP CTEA FOUGERES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350043931;HOPITAL DE JOUR -LE GAST-;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350043964;CENTRE THÉRAPEUTIQUE DE JOUR ADULTES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044004;CMP CATTP BAZOUGES-PEROUSE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044046;CMP Z.ROUSSIN RENNES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044103;CTJ DIWALL;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044111;CMP CATTP ADULTES ST AUBIN D'AUB;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044145;APPART THERAPEUTIQUE RENNES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044160;CMP CATTP GUICHEN;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044186;CMP CATTP MORDELLES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044210;CMP CATTP ADULTES LA SAUVAIE RENNES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044244;HOPITAL DE JOUR LA CLAIRIERE VITRE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044251;CMP CATTP CHATEAUBOURG;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044277;CMP ENFANTS ST AUBIN D'AUB;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044285;CPE CMP CATTP LA METTRIE RENNES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044293;CMP ENFANTS TINTENIAC;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044301;CTEA FOUGERES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044327;CMP BRUZ;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044335;CPEA CMP CATTP GUICHEN;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044343;CMP CATTP ENFANTS CHATILLON;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044350;CMP CATTP ENFANTS JANZE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044376;CMP SITE CH DE REDON;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044384;CMP CATTP BAIN DE BRETAGNE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044392;HOP DE JOUR CMP CATTP ADO CHATILLON;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044400;HOPITAL DE JOUR -ALBATROS-;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044962;CMP CATTP BAIN-DE-BRETAGNE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350044970;CMP CATTP LA CHAUVELIERE JANZE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350046843;CENTRE THERAP DE JOUR LES MORINAIS;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350047932;CMP LA GUERCHE I.04;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350049623;CENTRE THÉRAPEUTIQUE JANET FRAME;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350050001;UHCD SITE PONTCHAILLOU;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350050654;CMP PRISON DES FEMMES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350050662;CATTP BEAUMANOIR;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350050670;CMP SITE HOPITAL SUD;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350050688;CMP CATTP LA PASSERELLE VITRE;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350050845;ATELIER THERAP CHAMP DE MARS RENNES;350000246
STB;2019;350000337;14;C.H. GUILLAUME REGNIER RENNES;350052387;CTJ LES COLOMBES;350000246
STB;2019;350000360;04;CH DES MARCHES DE BRETAGNE SAINT BRICE;;;350048518
STB;2019;350000410;04;CH DE LA ROCHE AUX FÉES JANZE;;;350002291
STB;2019;350000428;04;CENTRE HOSPITALIER GRAND-FOUGERAY;;;350002309
STB;2019;350000436;04;CENTRE HOSPITALIER MONTFORT-SUR-MEU;350013249;CENTRE LONG SEJOUR - CH MONTFORT;350002317
STB;2019;350000444;04;CH DES MARCHES DE BRETAGNE - ANTRAIN;;;350048518
STB;2019;350000451;04;CENTRE HOSPITALIER ST MEEN LE GRAND;;;350002333
STB;2019;350000741;04;CHRU RENNES SITE PONTCHAILLOU;;;350005179
STB;2019;350002119;15;CLINIQUE DU MOULIN;;;350000386
STB;2019;350002176;15;CLINIQUE DE L'ESPERANCE;;;350000402
STB;2019;350002192;09;POLYCLINIQUE ST LAURENT;;;220020739
STB;2019;350002200;09;CLINIQUE SAINT YVES;;;350029948
STB;2019;350002234;09;CENTRE MEDICAL ET PEDAGOGIQUE BEAULIEU;;;750720575
STB;2019;350002564;09;POLE MPR SAINT HELIER;;;350046199
STB;2019;350002747;09;CTRE SSRAA L'ESCALE;;;440042844
STB;2019;350002754;15;CENTRE LA THEBAUDAIS;;;440042844
STB;2019;350002911;09;MRC ST THOMAS VILLENEUVE BAGUER;350051207;CENTRE LONG SEJOUR BAGUER MORVAN;220020739
STB;2019;350005021;09;POLE GERIATRIQUE RENNAIS;350031803;CENTRE DE LONG SEJOUR CHANTEPIE;440042844
STB;2019;350005146;09;HOPITAL PRIVE SEVIGNE;;;350000733
STB;2019;350005278;09;CENTRE REY LEROUX;;;350023586
STB;2019;350006771;04;CHRU RENNES SITE LA TAUVRAIS;350006789;CENTRE LONG SEJOUR LA TAUVRAIS RENNES;350005179
STB;2019;350007084;04;CHRU RENNES SITE HOPITAL SUD;;;350005179
STB;2019;350008579;09;CENTRE DE READAPTATION DU PATIS FRAUX;;;350039673
STB;2019;350013629;04;USLD LA BRIANTAIS CH ST MALO;;;350000022
STB;2019;350016135;04;SERVICE DE S.S.R. - CH VITRÉ;350013728;UNITÉ DE SOINS LONGUE DURÉE - CH VITRE;350000055
STB;2019;350032280;04;RESIDENCE DU TERTRE DE JOUE;;;350000246
STB;2019;350039574;15;HOPITAL DE JOUR LA MAISON BLEUE;;;350023495
STB;2019;350040499;04;CH DES PRES BOSGERS CANCALE;;;350040291
STB;2019;350042628;09;HAD 35;;;350042578
STB;2019;350044756;09;CLINIQUE PHILAE;;;350044749
STB;2019;350044772;09;HAD SAINT MALO DINAN;;;350000626
STB;2019;350053013;04;CHU RENNES SITE SAINT LAURENT;;;350005179
STB;2019;360000038;04;CH LA TOUR BLANCHE - ISSOUDUN;;;360000046
STB;2019;360000129;09;CLINIQUE SAINT FRANCOIS;;;360000269
STB;2019;360000137;04;CH CHATEAUROUX;360000327;CH CHATEAUROUX SITE GIREUGNE-ST MAUR;360000053
STB;2019;360000137;04;CH CHATEAUROUX;360000970;APPARTEMENT THERAPEUTIQUE - VATAN;360000053
STB;2019;360000137;04;CH CHATEAUROUX;360005136;APPARTEMENT THERAPEUTIQUE MER S/INDRE;360000053
STB;2019;360000137;04;CH CHATEAUROUX;360007017;CRE ACCUEIL THERAPEUTIQUE;360000053
STB;2019;360000137;04;CH CHATEAUROUX;360008387;CH CHATEAUROUX SITE DE LA CHATRE;360000053
STB;2019;360000145;04;CH LA CHATRE;;;360000061
STB;2019;360000160;04;CH DU BLANC;360004592;USLD CH DU BLANC;360000053
STB;2019;360000178;04;CH SAINT CHARLES DE VALENCAY;;;360000087
STB;2019;360000186;04;CH SAINT-ROCH BUZANCAIS;;;360000095
STB;2019;360000202;04;CH CHATILLON SUR INDRE;360004626;USLD CH CHATILLON SUR INDRE;360000103
STB;2019;360000210;15;CLINIQUE DU HAUT-CLUZEAU;;;920031036
STB;2019;360000251;04;CH LEVROUX;;;360000111
STB;2019;360002232;09;CTRE CONV. & DIET.MANOIR EN BERRY;;;360000541
STB;2019;360003149;04;CH CHATEAUROUX SSR ZAC DES CHEVALIERS;;;360000053
STB;2019;360004618;04;CH ISSOUDUN - SITE LES ARCADES;;;360000046
STB;2019;360006688;04;CTRE DEPT GERIATRIQUE LES GRANDS CHENE;;;360000392
STB;2019;360008056;04;CH CHATEAUROUX - ANTENNE DU BLANC;;;360000053
STB;2019;360008072;04;CH CHATEAUROUX - ANTENNE CH ISSOUDUN;;;360000053
STB;2019;370000051;09;CLINIQUE JEANNE D'ARC - ST BENOIT;;;370000028
STB;2019;370000085;09;NCT+ SITE SAINT-GATIEN;;;370013468
STB;2019;370000093;09;NCT+ SITE ALLIANCE;;;370013468
STB;2019;370000127;15;CLINIQUE RONSARD;;;370000259
STB;2019;370000143;15;CLINIQUE DU VAL DE LOIRE;;;370000291
STB;2019;370000150;09;CLINIQUE VELPEAU;;;370000333
STB;2019;370000184;09;A. N. A. S. LE COURBAT;;;940805963
STB;2019;370000218;09;CRF CLOS ST VICTOR - JOUÉ LÈS TOURS;;;450018106
STB;2019;370000341;09;FONDATION L'ELAN RETROUVE CTRE MALVAU;;;750721391
STB;2019;370000374;09;CRF BEL AIR;;;750721334
STB;2019;370000499;04;CHRU CLOCHEVILLE - TOURS;;;370000481
STB;2019;370000515;04;CTRE CONVAL. L'ERMITAGE CHRU TOURS;;;370000481
STB;2019;370000531;04;CH DU CHINONAIS;370002511;USLD CH DU CHINONAIS;370000606
STB;2019;370000531;04;CH DU CHINONAIS;370011124;APPART. THERAPEUTIQUES CH DU CHINONAIS;370000606
STB;2019;370000580;04;CHIC CHÂTEAU-RENAULT HÔP DR J.DELANEAU;;;370000564
STB;2019;370000861;04;CHRU BRETONNEAU - TOURS;;;370000481
STB;2019;370000879;04;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;;;370000564
STB;2019;370000903;04;CH PAUL MARTINAIS - LOCHES;;;370000614
STB;2019;370000986;04;CH LOUIS SEVESTRE;;;370000713
STB;2019;370001109;04;CH DE LUYNES - ET;;;370002701
STB;2019;370001158;04;CH SAINTE MAURE DE TOURAINE;;;370004327
STB;2019;370004301;04;USSR PERSONNES AGEES CH DE LOCHES;;;370000614
STB;2019;370004467;04;CHRU TROUSSEAU - CHAMBRAY;;;370000481
STB;2019;370005050;14;CENTRE PSY.UNIVERSITAIRE-CHRU TOURS;;;370000481
STB;2019;370007569;09;PÔLE SANTÉ LÉONARD DE VINCI;;;370007528
STB;2019;370009938;09;HAD VAL DE LOIRE;;;440052041
STB;2019;370013062;05;CLINIQUE DE VONTES;370000119;CLINIQUE VONTES;370013062
STB;2019;370013062;05;CLINIQUE DE VONTES;370000135;CLINIQUE CHAMPGAULT;370013062
STB;2019;370013286;09;GCS GYNECOLOGIE OBST. EN CHINONAIS -ET;;;370013278
STB;2019;370013393;04;CHRU DE TOURS - ANTENNE DE LOCHES;;;370000481
STB;2019;370013401;04;CHRU DE TOURS - ANTENNE CL L'ALLIANCE;;;370000481
STB;2019;370100539;09;MRF BOIS GIBERT;;;370100935
STB;2019;370102659;09;SERVICE USLD PSY BATIMENT LE CEDRE;;;370013054
STB;2019;370103673;09;ASSAD HAD D'INDRE ET LOIRE;;;370001638
STB;2019;380000018;04;CH RHUMATOLOGIQUE D'URIAGE;;;380780023
STB;2019;380000026;04;CH FABRICE MARCHIOL LA MURE;380794503;USLD FABRICE MARCHIOL LA MURE;380780031
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380001768;CMP ENFANTS VILLEFONTAINE;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380001859;CMP ENFANTS ISLE D'ABEAU;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380001909;CMP ENFANTS CHARVIEU;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380002048;CMP ENFANTS CREMIEU;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380002089;CMP ENFANTS LA VERPILLIERE;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380784736;HJ ENFANTS BOURGOIN;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380799999;CMP ENFANTS PONT DE BEAUVOISIN;380780049
STB;2019;380000034;04;CH PIERRE OUDOT BOURGOIN JALLIEU;380800029;CMP ENFANTS LA TOUR DU PIN;380780049
