BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N2530;3;5;6.49;;;;
PERINAT_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N2700;;1;0.24;;;;
PERINAT_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N2800;8;18;15.51;;;;
PERINAT_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N280H;8;18;15.51;;;;
PERINAT_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;NAUT;14;12;13.69;;;;
PERINAT_P;2020;330000597;CH SUD GIRONDE - SITE LA REOLE;330027509;M2050;;1;0.6;0;0;;
PERINAT_P;2020;330000597;CH SUD GIRONDE - SITE LA REOLE;330027509;N2800;1;3;2.06;;;;
PERINAT_P;2020;330000597;CH SUD GIRONDE - SITE LA REOLE;330027509;NAUT;;1;0.11;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;M1140;0;5;1.44;1;0;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;M2050;0;10;7.66;1;0;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;MIVG;0;1;0.17;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2200;3;2;4.89;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2340;10;4;12.59;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2530;15;3;14.27;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2700;0;1;0.5;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2800;13;21;27.32;;;;
PERINAT_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;NAUT;19;4;20.71;;;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;M1030;;13;3.6;0;0;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;M1140;;5;2.5;0;1;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;M2050;7;;7;1;0;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;N2530;11;4;15.68;;;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;N2700;1;;0.75;;;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;N2800;23;2;24.35;;;;
PERINAT_P;2020;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;NAUT;2;1;2.05;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;M1030;;16;2.7;1;0;1;0
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;M1140;2;3;4.2;0;1;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;M2050;13;1;13.5;1;0;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;N2200;10;;10;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;N2340;8;1;8.88;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;N2530;25;6;29.08;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;N2700;;1;0.5;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;N2800;24;8;28.15;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;N280H;16;3;18.2;;;;
PERINAT_P;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;NAUT;1;1;1.57;;;;
PERINAT_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;M1140;;3;0.55;0;1;;
PERINAT_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;M2050;1;2;1.72;;;;
PERINAT_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;N2800;5;8;6.77;;;;
PERINAT_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;N280H;5;8;1;;;;
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;M1030;;;;0;1;;0
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;M1140;3;;0.4;0;0;;
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;M2050;4;3;5;0;1;;
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;MIVG;3;;3;;;;
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N2340;7;3;9.26;;;;
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N2800;6;;7.78;;;;
PERINAT_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N280H;6;;7.78;;;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M1030;7;;6.5;1;1;1;1
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M1140;19;4;18.08;1;1;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M2050;21;10;21.01;1;1;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;MIVG;1;3;1;;;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2200;104;22;118.78;;;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2340;101;46;136.38;;;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2530;142;32;158.6;;;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2700;3;3;4.1;;;;
PERINAT_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2800;96;58;140.27;;;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;M1030;;;;1;0;0;0
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;M1140;4;;4;1;0;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;M2050;6;;6;0;1;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;MIVG;5;;5;;;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;N2530;11;3;14.95;;;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;N2700;;1;0.34;;;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;N2800;8;8;13.24;;;;
PERINAT_P;2020;330782582;POLYCLINIQUE JEAN VILLAR;330000928;N280H;8;8;13.24;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;M1030;3;;0.88;1;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;M1140;;11;2.17;1;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;M2050;1;7;5.46;1;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;MAUT;;3;0.25;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;MIVG;;7;0.88;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;N2340;6;3;4.59;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;N2530;4;;3.68;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;N2800;18;20;28.18;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;N280H;14;18;12.14;;;;
PERINAT_P;2020;340000033;CH BEZIERS;340780055;NAUT;28;6;31.87;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;M1030;;;;1;;0;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;M1140;1;1;1.3;0;1;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;M2050;7;;5.29;0;1;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;MAUT;;1;0.1;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N2200;5;2;2.9;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N2340;4;3;2.7;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N2530;6;4;6.3;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N2800;13;2;12.54;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N280H;13;2;12.54;;;;
PERINAT_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;NAUT;6;7;6.94;;;;
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;M1030;;5;4;0;1;0;1
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;M1140;;5;2.5;0;1;;
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;M2050;;11;5.5;0;1;;
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;MIVG;;16;2;;;;
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;N2700;;1;0.1;;;;
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;N2800;8;15;17.28;;;;
PERINAT_P;2020;340009885;POLYCL CHAMPEAU;340009877;N280H;8;15;17.28;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;M1030;5;2;6;1;0;1;0
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;M1140;;10;6;0;1;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;M2050;;30;15;1;0;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;MIVG;;27;2;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;N2200;3;;1.93;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;N2340;11;3;13.51;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;N2530;30;5;31.85;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;N2700;;2;0.61;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;N2800;29;22;41.06;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;N280H;10;14;17.52;;;;
PERINAT_P;2020;340022979;POLYCL ST ROCH;340000306;NAUT;1;;1;;;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;M1030;10;1;;1;1;1;0
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;M1140;;9;;1;0;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;M2050;7;13;;1;0;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;MIVG;;17;;;;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;N2340;6;2;7.6;;;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;N2530;15;8;19.54;;;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;N2700;;1;0.73;;;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;N2800;15;8;24.77;;;;
PERINAT_P;2020;340780675;CL CLEMENTVILLE;340000298;N280H;6;6;10.14;;;;
PERINAT_P;2020;340780717;CL ST LOUIS;340023225;M1030;;7;4;;;;
PERINAT_P;2020;340780717;CL ST LOUIS;340023225;M1140;3;;3;0;0;;
PERINAT_P;2020;340780717;CL ST LOUIS;340023225;M2050;2;2;3;;;;
PERINAT_P;2020;340780717;CL ST LOUIS;340023225;MIVG;2;2;3;;;;
PERINAT_P;2020;340780717;CL ST LOUIS;340023225;N2800;4;4;6;;;;
PERINAT_P;2020;340780717;CL ST LOUIS;340023225;N280H;1;;1;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;M1030;4;0;4;0;1;0;0
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;M1140;3;0;3;1;1;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;M2050;4;0;4;1;1;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;MIVG;4;0;4;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;N2200;5;0;5;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;N2530;4;0;4;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;N2700;0;1;0.2;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;N2800;7;3;9.32;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;N280H;6;2;7.32;;;;
PERINAT_P;2020;340780741;POLYCL STE THERESE;340000348;NAUT;5;0;5;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;M1030;;5;1.03;1;1;1;1
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;M1140;7;18;11.75;0;1;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;M2050;1;11;4.83;1;1;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;MAUT;1;1;0.36;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;MIVG;1;7;1.33;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;N2200;33;9;34.68;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;N2340;76;23;85.41;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;N2530;50;2;45.28;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;N2700;3;3;3.05;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;N2800;76;14;75.06;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;N280H;75;12;73.76;;;;
PERINAT_P;2020;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;NAUT;9;2;8.62;;;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;M1030;31;;31;1;;;0
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;M1140;5;;5;0;1;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;M2050;12;;12;0;1;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;N2200;5;3;7.2;;;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;N2340;3;4;6.02;;;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;N2530;17;7;23.93;;;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;N2800;19;10;25.64;;;;
PERINAT_P;2020;350000121;CHP SAINT GREGOIRE;350000303;NAUT;6;;6;;;;
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;M1030;10;5;14.89;1;1;1;1
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;M1140;;10;4.8;1;1;;
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;M2050;12;9;15.12;1;1;;
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;N2340;5;17;20.28;;;;
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;N2530;29;14;44.59;;;;
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;N2700;1;2;2.24;;;;
PERINAT_P;2020;350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;350001137;N2800;45;25;74.22;;;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;M1030;0;15;1;1;0;0;0
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;M1140;0;2;0.58;0;1;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;M2050;0;17;3.1;1;0;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;MIVG;;1;0.3;;;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;N2530;14;20;25.31;;;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;N2700;0;1;0.65;;;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;N2800;15;36;27.44;;;;
PERINAT_P;2020;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;NAUT;5;6;8.38;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;M1030;11;2;0.5;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;M1140;1;3;1.15;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;M2050;8;;4.1;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;MIVG;1;;0.1;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;N2200;3;4;3.79;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;N2340;3;2;3.71;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;N2530;5;4;5.52;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;N2800;14;5;16.71;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;N280H;12;5;5.91;;;;
PERINAT_P;2020;350000154;C.H FOUGERES;350000030;NAUT;22;9;15.67;;;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;M1030;;;;1;0;0;0
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;M1140;1;;0.1;0;1;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;M2050;4;1;2.91;;1;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;MIVG;2;;0.1;;;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;N2530;4;4;7.21;;;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;N2800;8;10;15.68;;;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;N280H;4;9;5.94;;;;
PERINAT_P;2020;350000162;CHIRC SITE REDON;350000048;NAUT;8;7;9.44;;;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;M1030;;;;0;1;0;0
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;M1140;2;1;3.35;0;1;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;M2050;0;;0.16;0;1;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;MAUT;1;;1.08;;;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;N2200;;;0.02;;;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;N2530;19;;13.18;;;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;N2800;18;;7.59;;;;
PERINAT_P;2020;350000188;CENTRE HOSPITALIER VITRE;350000055;NAUT;8;;8.02;;;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;M1030;0;0;1.84;1;0;1;0
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;M1140;16;0;7.91;1;0;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;M2050;63;21;11.32;1;0;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;N2200;1;3;1.93;;;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;N2340;45;33;70.75;;;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;N2530;47;33;72.43;;;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;N2700;39;27;60.95;;;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;N2800;65;40;90.61;;;;
PERINAT_P;2020;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;NAUT;77;38;104.46;;;;
PERINAT_P;2020;360000038;CH LA TOUR BLANCHE - ISSOUDUN;360000046;M2050;;3;0.45;;;;
PERINAT_P;2020;360000038;CH LA TOUR BLANCHE - ISSOUDUN;360000046;N2800;3;;3;;;;
PERINAT_P;2020;360000038;CH LA TOUR BLANCHE - ISSOUDUN;360000046;NAUT;1;2;1.63;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;M1030;7;;6.7;1;;0;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;M1140;3;;1.5;0;1;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;M2050;3;;1.5;1;0;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;MIVG;1;;0.2;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;N2200;6;;5.9;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;N2340;1;;0.5;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;N2530;6;4;9.23;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;N2700;;1;0.85;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;N2800;13;19;16.63;;;;
PERINAT_P;2020;360000137;CH CHATEAUROUX;360000053;NAUT;25;12;29.41;;;;
PERINAT_P;2020;360000160;CH DU BLANC;360000053;M1140;;;0.1;0;0;;
PERINAT_P;2020;360000160;CH DU BLANC;360000053;M2050;;2;0.4;0;0;;
PERINAT_P;2020;360000160;CH DU BLANC;360000053;MAUT;;1;0.2;;;;
PERINAT_P;2020;360000160;CH DU BLANC;360000053;N2530;2;;2.56;;;;
PERINAT_P;2020;360000160;CH DU BLANC;360000053;N2800;1;2;2.04;;;;
PERINAT_P;2020;360000160;CH DU BLANC;360000053;NAUT;1;1;1.9;;;;
PERINAT_P;2020;370000499;CHRU CLOCHEVILLE - TOURS;370000481;M1030;8;1;8.26;;;;
PERINAT_P;2020;370000499;CHRU CLOCHEVILLE - TOURS;370000481;M1140;32;17;36.15;;;;
PERINAT_P;2020;370000531;CH DU CHINONAIS;370000606;M1030;;;;1;;1;0
PERINAT_P;2020;370000531;CH DU CHINONAIS;370000606;M1140;1;2;1.42;0;0;;
PERINAT_P;2020;370000531;CH DU CHINONAIS;370000606;M2050;;4;3.01;1;0;;
PERINAT_P;2020;370000531;CH DU CHINONAIS;370000606;N2700;1;1;0.2;;;;
PERINAT_P;2020;370000531;CH DU CHINONAIS;370000606;N2800;12;5;14.85;;;;
PERINAT_P;2020;370000531;CH DU CHINONAIS;370000606;N280H;7;0;6;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;M1030;14;5;17.33;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;M1140;12;8;15.37;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;M2050;22;6;20.58;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;N2200;43;33;61.77;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;N2340;20;15;25.71;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;N2530;37;24;48.38;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;N2700;3;1;2.6;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;N2800;51;44;78.67;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;N280H;44;38;66.23;;;;
PERINAT_P;2020;370000861;CHRU BRETONNEAU - TOURS;370000481;NAUT;91;32;103.54;;;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;M1140;;2;0.4;0;0;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;M2050;;2;1.01;0;0;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;MIVG;;;0.1;;;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;N2200;;;0.03;;;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;N2530;4;2;4.05;;;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;N2800;4;5;6.98;;;;
PERINAT_P;2020;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;NAUT;4;1;1.81;;;;
PERINAT_P;2020;370000903;CH PAUL MARTINAIS - LOCHES;370000614;M2050;;4;0.77;;;;
PERINAT_P;2020;370000903;CH PAUL MARTINAIS - LOCHES;370000614;MIVG;;2;0.6;;;;
PERINAT_P;2020;370000903;CH PAUL MARTINAIS - LOCHES;370000614;N2800;;3;1.05;;;;
PERINAT_P;2020;370000903;CH PAUL MARTINAIS - LOCHES;370000614;NAUT;1;2;1.95;;;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;M1030;0;0;0;1;;1;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;M1140;2;1;2.5;0;;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;M2050;12;1;12.5;1;0;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;N2530;4;3;5.22;;;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;N2700;0;1;0.17;;;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;N2800;9;17;20.92;;;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;N280H;5;12;14.49;;;;
PERINAT_P;2020;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;NAUT;2;2;2.57;;;;
PERINAT_P;2020;380000026;CH FABRICE MARCHIOL LA MURE;380780031;M2050;;1;0.2;;;;
PERINAT_P;2020;380000026;CH FABRICE MARCHIOL LA MURE;380780031;N2800;;1;0.8;;;;
PERINAT_P;2020;380000026;CH FABRICE MARCHIOL LA MURE;380780031;NAUT;;;0.2;;;;
PERINAT_P;2020;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;M1140;0;1;0.55;;;;
PERINAT_P;2020;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;M2050;0;4;1.72;;;;
PERINAT_P;2020;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;MIVG;0;2;0.22;;;;
PERINAT_P;2020;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;N2340;0;3;2.35;;;;
