BOR;AN;FI;RS;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2020;270000367;CH GISORS;270000086;N2223;15;1;7.76;;0;0;0
SMURSAMU_P;2020;270000367;CH GISORS;270000086;N2500;11;1;6.35;;0;0;0
SMURSAMU_P;2020;270000367;CH GISORS;270000086;N9999;29;2;14.85;;0;0;0
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;M9999;1;1;1.17;;;;
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;N1220;;1;0.5;;;;
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;N2120;2;;0.19;;;;
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;N2223;5;1;5.1;;;;
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;N2500;4;;4;;;;
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;N5140;2;;2;;;;
SMURSAMU_P;2020;270000425;CH PONT-AUDEMER;270000102;N9999;13;2;11.79;;;;
SMURSAMU_P;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;M9999;3;7;3.56;1;;;
SMURSAMU_P;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;N1220;1;;0.92;;;;
SMURSAMU_P;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;N2120;1;;0.4;1;;;
SMURSAMU_P;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;N2223;7;;6.78;1;;;
SMURSAMU_P;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;N2500;5;;4.92;;;;
SMURSAMU_P;2020;270000441;CH VERNEUIL-SUR-AVRE;270000110;N9999;14;;13.02;1;;;
SMURSAMU_P;2020;270000458;CH VERNON CH EURE-SEINE;270023724;M9999;;2;0.14;;;;
SMURSAMU_P;2020;270000458;CH VERNON CH EURE-SEINE;270023724;N2120;;1;0.3;;;;
SMURSAMU_P;2020;270000458;CH VERNON CH EURE-SEINE;270023724;N2223;2;6;5.58;;;;
SMURSAMU_P;2020;270000458;CH VERNON CH EURE-SEINE;270023724;N2500;4;3;5.76;;;;
SMURSAMU_P;2020;270000458;CH VERNON CH EURE-SEINE;270023724;N9999;6;11;12.42;;;;
SMURSAMU_P;2020;280000084;CH DREUX;280000183;M9999;2;11;7.98;0;3;10;7.42
SMURSAMU_P;2020;280000084;CH DREUX;280000183;MREG;;;;0;3;10;7.42
SMURSAMU_P;2020;280000084;CH DREUX;280000183;N1220;;1;0.4;0;12;1;12.03
SMURSAMU_P;2020;280000084;CH DREUX;280000183;N2223;6;10;11.33;1;;;
SMURSAMU_P;2020;280000084;CH DREUX;280000183;N2500;6;2;6.05;;3;2;3.99
SMURSAMU_P;2020;280000084;CH DREUX;280000183;N9999;12;14;17.91;;15;4;16.14
SMURSAMU_P;2020;280000662;CH CHATEAUDUN;280500075;M9999;2;0;2;1;;;
SMURSAMU_P;2020;280000662;CH CHATEAUDUN;280500075;N1220;0;1;0.5;;;;
SMURSAMU_P;2020;280000662;CH CHATEAUDUN;280500075;N2223;2;0;2;;;;
SMURSAMU_P;2020;280000662;CH CHATEAUDUN;280500075;N2500;2;0;2;;;;
SMURSAMU_P;2020;280000662;CH CHATEAUDUN;280500075;N9999;4;1;4.5;1;;;
SMURSAMU_P;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;M9999;8;4;12.96;1;;;
SMURSAMU_P;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;N1220;3;;3.01;1;;;
SMURSAMU_P;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;N2120;1;;0.6;1;;;
SMURSAMU_P;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;N2223;13;4;16.6;1;;;
SMURSAMU_P;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;N2500;11;;9.22;;;;
SMURSAMU_P;2020;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;N9999;28;4;29.84;1;;;
SMURSAMU_P;2020;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;M9999;6;1;4.09;1;;;
SMURSAMU_P;2020;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;N1220;1;;1;0;;;
SMURSAMU_P;2020;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;N2223;12;2;12.91;0;;;
SMURSAMU_P;2020;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;N5140;8;;8.25;0;;;
SMURSAMU_P;2020;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;N9999;21;2;22.16;0;;;
SMURSAMU_P;2020;290000025;CHIC QUIMPER;290020700;M9999;4;3;5.64;1;;;
SMURSAMU_P;2020;290000025;CHIC QUIMPER;290020700;N2120;0;1;0.33;0;;;
SMURSAMU_P;2020;290000025;CHIC QUIMPER;290020700;N2223;0;17;5.51;0;;;
SMURSAMU_P;2020;290000025;CHIC QUIMPER;290020700;N2500;0;3;1;;;;
SMURSAMU_P;2020;290000025;CHIC QUIMPER;290020700;N5140;0;14;4.58;0;;;
SMURSAMU_P;2020;290000025;CHIC QUIMPER;290020700;N9999;0;35;11.42;0;;;
SMURSAMU_P;2020;290000033;C.H. DES PAYS DE MORLAIX;290021542;M9999;8;1;3.83;1;;;
SMURSAMU_P;2020;290000033;C.H. DES PAYS DE MORLAIX;290021542;N2223;3;5;6.1;;;;
SMURSAMU_P;2020;290000033;C.H. DES PAYS DE MORLAIX;290021542;N5140;6;;6;;;;
SMURSAMU_P;2020;290000033;C.H. DES PAYS DE MORLAIX;290021542;N9999;9;5;12.1;;;;
SMURSAMU_P;2020;290000066;CHIC SITE DE CONCARNEAU;290020700;M9999;4;3;5.64;1;;;
SMURSAMU_P;2020;290000066;CHIC SITE DE CONCARNEAU;290020700;N2120;;1;0.33;0;;;
SMURSAMU_P;2020;290000066;CHIC SITE DE CONCARNEAU;290020700;N2223;;17;5.51;0;;;
SMURSAMU_P;2020;290000066;CHIC SITE DE CONCARNEAU;290020700;N2500;;3;1;;;;
SMURSAMU_P;2020;290000066;CHIC SITE DE CONCARNEAU;290020700;N5140;;14;4.58;0;;;
SMURSAMU_P;2020;290000066;CHIC SITE DE CONCARNEAU;290020700;N9999;;35;11.42;0;;;
SMURSAMU_P;2020;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;M9999;;;0.2;1;;;
SMURSAMU_P;2020;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;N2120;;2;0.7;;;;
SMURSAMU_P;2020;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;N2500;;;0.06;;;;
SMURSAMU_P;2020;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;N5140;4;3;6.27;;;;
SMURSAMU_P;2020;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;N9999;4;5;7.03;;;;
SMURSAMU_P;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;M9999;;;0.61;1;;;
SMURSAMU_P;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;N1220;;;;1;;;
SMURSAMU_P;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;N2120;;;;1;;;
SMURSAMU_P;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;N2223;14;1;0.61;1;;;
SMURSAMU_P;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;N2500;8;1;0.61;;;;
SMURSAMU_P;2020;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;N9999;22;2;1.22;;;;
SMURSAMU_P;2020;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;M9999;1;2;1.75;1;;;
SMURSAMU_P;2020;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;N2120;;;0.1;1;;;
SMURSAMU_P;2020;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;N2223;3;0;5.82;1;;;
SMURSAMU_P;2020;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;N2500;3;1;5.82;;;;
SMURSAMU_P;2020;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;N9999;6;1;11.74;;;;
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;M1140;;;;1;;;
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;M9999;4;;10.2;1;8;1;6.82
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;MREG;4;;10.2;1;8;1;6.82
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;N1220;;;;;22;9;31.22
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;N2120;;1;0.35;;;1;0.4
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;N2223;5;18;15.93;;;;0
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;N2500;2;;2.03;;1;;1
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;N5140;13;;13.2;;;;
SMURSAMU_P;2020;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;N9999;20;19;31.51;;24;10;33.71
SMURSAMU_P;2020;290029982;SMUR SITE CH DOUARNENEZ - CHIC;290020700;M9999;2;1;2.82;1;;;
SMURSAMU_P;2020;290029982;SMUR SITE CH DOUARNENEZ - CHIC;290020700;N2120;;1;0.34;0;;;
SMURSAMU_P;2020;290029982;SMUR SITE CH DOUARNENEZ - CHIC;290020700;N2223;;17;5.57;0;;;
SMURSAMU_P;2020;290029982;SMUR SITE CH DOUARNENEZ - CHIC;290020700;N2500;;3;1.01;;;;
SMURSAMU_P;2020;290029982;SMUR SITE CH DOUARNENEZ - CHIC;290020700;N5140;;14;4.63;0;;;
SMURSAMU_P;2020;290029982;SMUR SITE CH DOUARNENEZ - CHIC;290020700;N9999;;35;11.55;0;;;
SMURSAMU_P;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;M9999;4;14;15.69;;1;10;5.16
SMURSAMU_P;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;N1220;;;;;17;;16.38
SMURSAMU_P;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;N2120;;;;;1;;1
SMURSAMU_P;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;N2223;33;1;32.25;;;;
SMURSAMU_P;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;N5140;37;;36.39;;;;
SMURSAMU_P;2020;2A0000022;CH ND LA MISERICORDE;2A0000014;N9999;70;1;69.05;;18;;17.38
SMURSAMU_P;2020;2A0003125;ANTENNE DU SMUR SARTENE;2A0000014;M9999;10;;1.6;0;;;
SMURSAMU_P;2020;2A0003125;ANTENNE DU SMUR SARTENE;2A0000014;N2120;;1;0.2;0;;;
SMURSAMU_P;2020;2A0003125;ANTENNE DU SMUR SARTENE;2A0000014;N2223;8;;6.79;0;;;
SMURSAMU_P;2020;2A0003125;ANTENNE DU SMUR SARTENE;2A0000014;N5140;6;;6;0;;;
SMURSAMU_P;2020;2A0003125;ANTENNE DU SMUR SARTENE;2A0000014;N9999;14;1;12.99;0;;;
SMURSAMU_P;2020;2A0003133;ANTENNE DU SMUR PORTO VECCHIO;2A0000014;M9999;11;;2.06;0;;;
SMURSAMU_P;2020;2A0003133;ANTENNE DU SMUR PORTO VECCHIO;2A0000014;N2120;;1;0.2;0;;;
SMURSAMU_P;2020;2A0003133;ANTENNE DU SMUR PORTO VECCHIO;2A0000014;N2223;6;;6;0;;;
SMURSAMU_P;2020;2A0003133;ANTENNE DU SMUR PORTO VECCHIO;2A0000014;N5140;2;;2;0;;;
SMURSAMU_P;2020;2A0003133;ANTENNE DU SMUR PORTO VECCHIO;2A0000014;N9999;8;1;8.2;0;;;
SMURSAMU_P;2020;2A0003141;ANTENNE DU SMUR BONIFACIO;2A0000014;M9999;11;;2.87;;;;
SMURSAMU_P;2020;2A0003141;ANTENNE DU SMUR BONIFACIO;2A0000014;N2223;7;;6.4;;;;
SMURSAMU_P;2020;2A0003141;ANTENNE DU SMUR BONIFACIO;2A0000014;N5140;6;;6.04;;;;
SMURSAMU_P;2020;2A0003141;ANTENNE DU SMUR BONIFACIO;2A0000014;N9999;13;;12.44;;;;
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;M9999;13;20;20.19;1;3;3;1.84
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;N1220;1;0;1.05;0;10;1;10.57
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;N2120;0;1;0.6;1;0;0;0.37
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;N2223;9;10;12.73;0;1;1;0.12
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;N2500;0;0;0;;3;0;3
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;N5140;15;0;15;0;1;0;1
SMURSAMU_P;2020;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;N9999;25;11;29.38;0;15;2;15.18
SMURSAMU_P;2020;2B0003420;ANTENNE SMUR DE CALVI;2B0000020;M9999;5;1;5.9;1;0;0;0
SMURSAMU_P;2020;2B0003420;ANTENNE SMUR DE CALVI;2B0000020;N1220;0;0;0;1;0;0;0
SMURSAMU_P;2020;2B0003420;ANTENNE SMUR DE CALVI;2B0000020;N2120;1;0;0.05;0;0;0;0
SMURSAMU_P;2020;2B0003420;ANTENNE SMUR DE CALVI;2B0000020;N2223;6;0;6;0;0;0;0
SMURSAMU_P;2020;2B0003420;ANTENNE SMUR DE CALVI;2B0000020;N9999;8;0;6.1;0;0;0;0
SMURSAMU_P;2020;2B0004907;ANTENNE SMUR DE CORTE;2B0000020;M9999;5;1;5.9;1;;;
SMURSAMU_P;2020;2B0004907;ANTENNE SMUR DE CORTE;2B0000020;N1220;0;1;0.05;0;;;
SMURSAMU_P;2020;2B0004907;ANTENNE SMUR DE CORTE;2B0000020;N2120;0;1;0.05;0;;;
SMURSAMU_P;2020;2B0004907;ANTENNE SMUR DE CORTE;2B0000020;N2223;6;0;6;0;;;
SMURSAMU_P;2020;2B0004907;ANTENNE SMUR DE CORTE;2B0000020;N9999;6;2;6.1;0;;;
SMURSAMU_P;2020;2B0005409;ANTENNE SMUR GHISONACCIA;2B0000020;M9999;5;1;5.9;1;0;0;0
SMURSAMU_P;2020;2B0005409;ANTENNE SMUR GHISONACCIA;2B0000020;N1220;0;1;0.05;0;0;0;0
SMURSAMU_P;2020;2B0005409;ANTENNE SMUR GHISONACCIA;2B0000020;N2120;0;1;0.05;0;0;0;0
SMURSAMU_P;2020;2B0005409;ANTENNE SMUR GHISONACCIA;2B0000020;N2223;6;0;6;0;0;0;0
SMURSAMU_P;2020;2B0005409;ANTENNE SMUR GHISONACCIA;2B0000020;N9999;6;2;6.1;0;0;0;0
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;M9999;12;5;4.22;1;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;MREG;12;5;4.22;1;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;N1220;0;2;1.16;1;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;N2120;0;0;0;1;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;N2223;0;43;4.76;1;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;N2500;0;2;0.01;;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;N5140;0;0;0;1;;;
SMURSAMU_P;2020;300000023;CH ALES CEVENNES;300780046;N9999;0;47;5.93;1;;;
SMURSAMU_P;2020;300000031;CH LOUIS PASTEUR;300780053;M9999;10;3;4.33;1;;;
SMURSAMU_P;2020;300000031;CH LOUIS PASTEUR;300780053;N2120;0;0;0;1;;;
SMURSAMU_P;2020;300000031;CH LOUIS PASTEUR;300780053;N2223;11;2;3.96;;;;
SMURSAMU_P;2020;300000031;CH LOUIS PASTEUR;300780053;N9999;11;2;3.96;;;;
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;M9999;3;1;3.63;1;2;;1.52
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;MREG;3;1;3.63;1;2;;1.52
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;N1220;;;;0;40;2;40.45
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;N2120;1;;1;0;;;
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;N2223;18;;17.08;0;;;
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;N2500;1;;1;;1;;0.99
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;N5140;18;;17.08;0;;;
SMURSAMU_P;2020;300782117;CHU NIMES CAREMEAU;300780038;N9999;42;3;40.04;0;41;2;41.66
SMURSAMU_P;2020;310000310;CH COMMINGES PYRENEES SITE PLANCARD;310780671;M9999;;10;9;1;;;
SMURSAMU_P;2020;310000310;CH COMMINGES PYRENEES SITE PLANCARD;310780671;N2223;;;;1;;;
SMURSAMU_P;2020;310000310;CH COMMINGES PYRENEES SITE PLANCARD;310780671;N9999;9;;9;;;;
SMURSAMU_P;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;M1140;;2;1.49;1;;;
SMURSAMU_P;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;M9999;1;7;5.79;1;;;
SMURSAMU_P;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;MREG;;;;1;;;
SMURSAMU_P;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2120;;1;0.2;;;;
SMURSAMU_P;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2223;4;1;4.5;;;;
SMURSAMU_P;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N9999;4;2;4.7;;;;
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;M1140;;;;1;;1;0.03
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;M9999;4;49;12.59;1;4;57;13.78
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;MREG;;;;1;;;
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;N1220;1;;1;1;45;4;45.27
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;N2120;;1;0.83;1;;1;0.8
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;N2223;11;26;23.9;1;2;;2.67
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;N2500;3;;3;;4;;4
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;N5140;27;;26.06;1;1;;1
SMURSAMU_P;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;N9999;43;27;55.79;1;53;5;53.92
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;M1140;0;0;0;1;0;0;0
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;M9999;0;10;4.5;1;0;5;2.04
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;MREG;0;0;0;1;0;0;0
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;N1220;0;0;0;1;11;0;11
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;N2120;0;0;0;1;0;0;0
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;N2223;1;1;1.5;1;0;0;0
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;N2500;5;0;5;;1;0;1
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;N5140;0;0;0;1;0;0;0
SMURSAMU_P;2020;320000086;CH AUCH EN GASCOGNE;320780117;N9999;9;1;9.5;1;12;0;12
SMURSAMU_P;2020;320004922;CENTRE HOSPIT D'AUCH - ANTENNE CONDOM;320780117;M9999;1;8;1.82;;;;
SMURSAMU_P;2020;320004922;CENTRE HOSPIT D'AUCH - ANTENNE CONDOM;320780117;N2120;;1;0.4;;;;
SMURSAMU_P;2020;320004922;CENTRE HOSPIT D'AUCH - ANTENNE CONDOM;320780117;N2223;4;2;5.5;;;;
SMURSAMU_P;2020;320004922;CENTRE HOSPIT D'AUCH - ANTENNE CONDOM;320780117;N2500;8;;8.42;;;;
SMURSAMU_P;2020;320004922;CENTRE HOSPIT D'AUCH - ANTENNE CONDOM;320780117;N9999;12;3;14.32;;;;
SMURSAMU_P;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;M9999;17;;6.1;1;;;
SMURSAMU_P;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;N1220;1;;0.1;;;;
SMURSAMU_P;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;N2120;;;0.2;1;;;
SMURSAMU_P;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;N2223;12;3;5.6;;;;
SMURSAMU_P;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;N5140;4;;4;;;;
SMURSAMU_P;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;N9999;21;3;12.16;1;;;
SMURSAMU_P;2020;330000571;CH DE LA HAUTE GIRONDE;330781220;M9999;6;8;3.71;1;;;
SMURSAMU_P;2020;330000571;CH DE LA HAUTE GIRONDE;330781220;MREG;6;8;3.71;1;;;
SMURSAMU_P;2020;330000571;CH DE LA HAUTE GIRONDE;330781220;N2223;16;1;0.81;1;;;
SMURSAMU_P;2020;330000571;CH DE LA HAUTE GIRONDE;330781220;N2500;6;;1.05;;;;
SMURSAMU_P;2020;330000571;CH DE LA HAUTE GIRONDE;330781220;N9999;22;1;1.86;;;;
SMURSAMU_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;M9999;3;2;4.68;1;;;
SMURSAMU_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N2223;5;1;5.75;1;;;
SMURSAMU_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N5140;6;;6;1;;;
SMURSAMU_P;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;N9999;11;1;11.75;1;;;
SMURSAMU_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;M9999;0;13;2.95;1;;;
SMURSAMU_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2223;6;0;6.56;;;;
SMURSAMU_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N2500;3;0;3;;;;
SMURSAMU_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N5140;3;0;3;;;;
SMURSAMU_P;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;N9999;12;;12.56;;;;
SMURSAMU_P;2020;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;330781253;M9999;0;0;3.05;1;;;
SMURSAMU_P;2020;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;330781253;N2223;4;1;4.82;;;;
SMURSAMU_P;2020;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;330781253;N2500;5;1;6;;;;
SMURSAMU_P;2020;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;330781253;N9999;9;2;10.82;;;;
SMURSAMU_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;M9999;2;10;4.33;1;;;
SMURSAMU_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;N2120;1;;0.25;1;;;
SMURSAMU_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;N2223;8;5;9.31;1;;;
SMURSAMU_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;N2500;2;4;3.8;;;;
SMURSAMU_P;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;N9999;11;9;13.36;;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;M9999;4;7;8.54;1;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N1220;;;;1;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N2120;1;;1;1;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N2223;14;;12;1;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N2500;5;;5;;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N5140;4;;4.8;1;;;
SMURSAMU_P;2020;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;N9999;27;;27.3;1;;;
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M1140;1;6;4;0;;;
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M9999;1;45;22.8;1;;25;10.6
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N1220;1;;0.5;0;51;6;57
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2120;1;0;1;0;1;;1
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2223;21;3;22.8;0;;1;0.8
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N5140;23;;22.95;;;;
SMURSAMU_P;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N9999;48;3;47.25;;52;7;58.8
SMURSAMU_P;2020;340000033;CH BEZIERS;340780055;M9999;;22;8.54;;;;
SMURSAMU_P;2020;340000033;CH BEZIERS;340780055;N2223;2;4;5.63;1;;;
SMURSAMU_P;2020;340000033;CH BEZIERS;340780055;N2500;1;1;0.7;;;;
SMURSAMU_P;2020;340000033;CH BEZIERS;340780055;N5140;11;1;12.08;;;;
SMURSAMU_P;2020;340000033;CH BEZIERS;340780055;N9999;14;6;18.42;1;;;
SMURSAMU_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;M9999;2;;0.65;;;;
SMURSAMU_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;MREG;2;;0.65;;;;
SMURSAMU_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N2223;9;;6.51;;;;
SMURSAMU_P;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;N9999;9;;6.51;;;;
SMURSAMU_P;2020;340022763;CHU MTP SMUR ANTENNE LUNEL;340780477;M9999;;6;5;1;;;
SMURSAMU_P;2020;340022763;CHU MTP SMUR ANTENNE LUNEL;340780477;N2223;4;2;5.6;0;;;
SMURSAMU_P;2020;340022763;CHU MTP SMUR ANTENNE LUNEL;340780477;N9999;4;2;5.6;0;;;
