BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2020;300013778;HAD 3G SANTE NIMES;300013760;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;1;CÉVENNES GARD CAMARGUE;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2020;300014040;ET GCS CTRE REEDUC GARD RHODANIEN;300014024;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;300017423;CENTRE MEDICAL DE L'EGREGORE AUDAVIE;380804542;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.5;0.39;;;2.7;;;4.59;;
ORG;2020;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;340000264;;;;1;F;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;0.02;;;;;;;;;
ORG;2020;300017498;CL AMBULATOIRE DE LA CEZE;300000155;;;;;;;2;A;D;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;300780111;MAISON DE SANTE LA POMAREDE;750050759;;;;;;;;;;;;;;;;;;;;;;;;;1;C;;0;;;;;;;0;;;;;;3.4;;;
ORG;2020;300780137;NOUVELLE CL BONNEFON;920028396;;;;;;;;;;;;;;;;2;A;B;;;;59;C;D;;;;0;;;;;;;1;;;;;;;;;
ORG;2020;300780152;NOUVEL HOPITAL PRIVE LES FRANCISCAINES;300017985;;;;;;;;;;;;;;;;3;A;B;;;;;;;;;;0;;;;;;;0.3;;;;;;;;;
ORG;2020;300780210;CL BELLE RIVE;300000148;;;;;;;;;;;;;;;;;;;;;;22;C;A;;;;0;;;;;;;0;0;0;0;0;0;0;0;0;
ORG;2020;300780244;CL DU PONT DU GARD;920031747;;;;;;;;;;;;;;;;;;;;;;8;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;300780384;CENTRE PROTECTION INFANTILE MONTAURY;750721334;;;;1;C;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0.01;;;;;;0.6;;;0.2
ORG;2020;300780491;CL LES OLIVIERS;340016963;;;;;;;;;;;;;;;;;;;;;;12;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;300781424;CL LA CAMARGUE MONT DUPLAN;300000692;0;;;0;;;0;;;0;;;0;;;0;;;0;;;14;C;C;0;;;0;;;;;;;0.1;0;0;0;0;0;0;0;0;0
ORG;2020;300781465;POLYCL KENNEDY;300000726;;;;;;;;;;;;;;;;3;A;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;300782117;CHU NIMES CAREMEAU;300780038;2;C;;5;B;D;1;D;;4;C;E;;;;1;D;;15;E;C;77;C;D;;;;;;;;;;;2.5;;;;;;;;;
ORG;2020;300786274;INSTITUT REINSERTION AVEUGLES ARAMAV;300786266;;;;1;C;E;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;0.1;;;0.1;;;0.1;;
ORG;2020;300787421;AIDER SANTE UAD UDM CHU NIMES;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;300788502;POLYCL GRAND SUD;300017985;;;;;;;;;;;;;;;;3;A;B;;;;37;C;D;;;;0;;;;;;;0.5;;;;;;;;;
ORG;2020;310000013;HOPITAUX LUCHON CTRE CONVAL GERONTO;310180013;;;;1;F;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;0;;;;;;;;;
ORG;2020;310000310;CH COMMINGES PYRENEES SITE PLANCARD;310780671;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;17.63;;;;;;;
ORG;2020;310000369;CH GERARD MARCHANT;310780754;;;;2;C;;;;;;;;1;B;;;;;;;;;;;;;;0;;;;;;;;1.77;;;1;;;1.26;;
ORG;2020;310005459;HAD SANTE RELAIS DOMICILE;310021886;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;0;;;;;;;;;
ORG;2020;310013628;CH MURET;310786256;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;;0;0;0;0;0;0;0;0.3;0
ORG;2020;310014329;SSR DEF VISUELS BASSE VISION A MATHIS;310781562;;;;;;;;;;;;;;;;;;;;;;3;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2020;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310019351;HOPITAL LARREY CHU TLSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310020938;CL KORIAN VAL DE SAUNE;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;1;;;;;;;;;
ORG;2020;310021571;CENTRE GERIATRIQUE DES MINIMES;310021563;;;;1;D;;;;;;;;1;B;;;;;;;;3;C;D;1;A;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;1;;0.2;;;;;1.3;;
ORG;2020;310022298;HOPITAL GARONNE CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310023007;CL LA RECOUVRANCE;810005678;0;;;0;;;0;;;0;;;0;;;0;;;0;;;11;;;0;;;0;;;;;;;0.01;0;0;0;0;0;0;0;0;0
ORG;2020;310025333;ONCOPOLE CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310026083;CL RIVE GAUCHE;310026075;;;;2;A;E;;;;;;;1;E;E;2;D;;;;;1;A;;;;;0;;;;;;;;;;;;;;0.2;;0.6
ORG;2020;310026927;CL CAPIO LA CROIX DU SUD;310026794;;;;;;;;;;;;;;;;;;;;;;68;D;A;;;;0;;;;;;;;;;;;;;;;
ORG;2020;310780259;CL PASTEUR;310000096;1;C;;4;A;B;;;;;;;;;;1;A;;;;;115;C;;;;;1;2;HAUTE-GARONNE ET TARN OUEST;GERS;;;;0.1;;;;;;;;;
ORG;2020;310780358;MAISON DE SANTE DE MAILHOL;310000146;;;;;;;;;;;;;;;;;;;;;;9;C;;1;E;;0;;;;;;;1;;;0.4;;;0.1;;;0.5
ORG;2020;310780366;CL MONIE;310000153;;;;1;D;;;;;;;;;;;;;;;;;1;C;;1;A;;0;;;;;;;0;;;;;;;1.39;;
ORG;2020;310780374;CL DU CHATEAU DE VERNHES;310000161;;;;1;D;;;;;;;;;;;;;;;;;20;C;D;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;;;;;;;;;;
ORG;2020;310780390;CL DE BEAUPUY;310000187;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0.4;;;;;;0.13;;
ORG;2020;310781000;CL DES CEDRES;310788880;;;;2;C;;;;;;;;;;;1;A;;;;;7;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;310781067;HOPITAL JOSEPH DUCUING;310788898;;;;;;;;;;;;;;;;2;D;;;;;;;;;;;0;;;;;;;0.1;;;;;;3.35;;;3.04
ORG;2020;310781125;CL ST ROCH;310000419;;;;;;;;;;1;C;;1;;;;;;;;;26;C;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;310781133;CLINIQUE D'AUFRERY;310000427;;;;1;D;A;;;;;;;1;B;;;;;;;;;;;1;;;0;;;;;;;0.01;;;;;;;1;;
ORG;2020;310781158;CL MARIGNY;920031762;;;;;;;;;;;;;;;;;;;;;;10;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;310781174;KORIAN MONTVERT;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;;;;;;;;;;
ORG;2020;310781430;CENTRE POSTCURE ROUTE NOUVELLE;310788906;;;;;;;;;;;;;1;E;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;0.04;;0;;;0;;;0;
ORG;2020;310781984;CL DE VERDAICH;310014378;;;;1;B;A;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.05;;;;;;;;;
ORG;2020;310782016;CL NEPHRO ST EXUPERY TLS LECRIVAIN;310000617;1;C;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.05;0.4;;;2.5;;;0.05;;
ORG;2020;310782065;AAIR MIDI PYRENEES;310000633;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;310782347;INSTITUT CLAUDIUS REGAUD;310789136;;;;5;C;A;;;;;;;4;E;B;;;;;;;1;A;;;;;0;;;;;;;1.8;0.91;;;1.3;;;1.22;;
ORG;2020;310782396;CL SSR KORIAN ESTELA;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;1;;;;;;;;;
ORG;2020;310782446;ARSEAA;310782446;;;;;;;;;;;;;;;;;;;;;;3;C;;;;;0;;;;;;;;;;0.44;;;1.82;;;0.29
ORG;2020;310783048;HOPITAL PURPAN CHU TLSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310783063;HOPITAL LA GRAVE CHU TLSE;310781406;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;310783097;CENTRE DE SANTE MENTALE MGEN TOULOUSE;750005068;;;;1;B;;;;;;;;1;B;;1;A;;;;;5;C;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;0.3;;;;;;;;;
ORG;2020;310784558;HOPITAUX LUCHON CTRE REEDUC FONCTION;310180013;;;;1;F;;;;;;;;;;;;;;;;;;;;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;;;;;;0.1;;;;
ORG;2020;310786702;SSR DOMAINE DE LA CADENE;750043713;;;;1;A;;;;;;;;1;B;;;;;;;;8;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;310794417;NEPHROCARE OC CENTRE UAD UDM MURET;310002712;;;;;;;;;;;;;;;;;;;;;;3;D;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;320000086;CH AUCH EN GASCOGNE;320780117;;;;;;;;;;1;C;;1;E;;1;D;;;;;;;;;;;;;;;;;;0;;0.05;;;0.2;1;;1.6;
ORG;2020;320000094;CH GERS;320780125;;;;1;A;;;;;;;;2;B;;;;;;;;6;A;;;;;;;;;;;;0.05;;;0.9;;;0.7;;1.65;
ORG;2020;320000110;EPS LOMAGNE SITE DE FLEURANCE;320004310;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;0.1;;;0.3;;;1.07;;0.57;0.1
ORG;2020;320000128;CH GIMONT;320780158;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;GERS;;;;;0;;;;;;;;0.2;
ORG;2020;320000144;CHI LOMBEZ SAMATAN;320780174;;;;;;;;;;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.07
ORG;2020;320000151;CH DE MAUVEZIN;320780182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;
ORG;2020;320000169;CH DE MIRANDE;320780190;;;;;;;;;;;;;;;;;;;;;;5;D;C;;;;1;1;GERS;;;;;0.05;;;;;;;;0.05;
ORG;2020;320000177;CH NOGARO;320780208;1;C;;;;;;;;;;;1;B;A;;;;;;;5;C;;;;;;;;;;;;0;;;0.51;;;0.3;;0.1;1.55
ORG;2020;320000185;CH DE VIC FEZENSAC;320780216;;;;;;;;;;;;;;;;;;;;;;20;A;C;;;;;;;;;;;;;;;;;0.8;;0.1;
ORG;2020;320780067;POLYCL DE GASCOGNE;320000052;;;;;;;;;;;;;1;G;;1;D;;;;;18;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2020;320780323;CENTRE PEDIATRIQUE ST JACQUES MPR;750810590;3;C;D;;;;;;;;;;;;;;;;;;;3;C;D;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;320784333;CRF ST BLANCARD;320000565;;;;1;B;;;;;;;;;;;;;;;;;19;C;D;;;;1;1;HAUTE-GARONNE ET TARN OUEST;;;;;0.05;;;;;;;;;
ORG;2020;320784515;AAIR UAD UDM PAVIE;310000633;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;330000217;MAISON DE SANTE MARIE GALENE;330780347;;;;1;A;;;;;;;;1;B;;1;A;;1;A;;15;C;;;;;0;;;;;;;;;;;;;1;;;1
ORG;2020;330000332;HOPITAL SUBURBAIN DU BOUSCAT;330780545;;;;1;C;;;;;;;;2;G;B;1;B;;;;;;;;;;;0;;;;;;;;;;0.7;0.3;;;0.4;;
ORG;2020;330000340;MSP BORDEAUX BAGATELLE;330780552;;;;2;C;D;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;3;37.44;;;102.37;;;21.2;;
ORG;2020;330000431;MONTALIER;330000431;;;;2;G;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;0.1;0.12;0;0;0.12;0;0;0.12;0;0
ORG;2020;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;;;;;;;;;;3;F;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;330000571;CH DE LA HAUTE GIRONDE;330781220;;;;1;D;;;;;;;;;;;;;;;;;73;C;A;;;;;;;;;;;1;;;;;;;;0.37;
ORG;2020;330000589;CH SUD GIRONDE - SITE LANGON;330027509;;;;;;;2;D;;;;;1;D;;;;;;;;270;C;A;;;;1;1;ALLIANCE DE GIRONDE;;;;;0.15;2.58;;3.67;14.48;;8.68;2.94;0.97;2.54
ORG;2020;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;C;;5;A;G;;;;;;;3;B;A;1;D;;;;;134;C;E;;;;;;;;;;;1;;0.1;13.6;;;2.4;99;1.55;2.5
ORG;2020;330000613;CENTRE HOSPITALIER STE FOY LA GRANDE;330781261;;;;1;A;;;;;;;;;;;;;;;;;15;C;B;;;;;;;;;;;0.05;;;2.2;;;3.3;2.72;0.36;2.16
ORG;2020;330000639;CH CHARLES PERRENS;330781287;;;;3;A;;;;;;;;;;;;;;;;;837;C;D;2;C;A;;;;;;;;4;;;;;;;;0.38;
ORG;2020;330000647;C.H. DE CADILLAC;330781295;;;;3;C;A;;;;;;;1;A;;;;;1;C;;;;;;;;1;1;ALLIANCE DE GIRONDE;;;;;2;;;;;;;;0.2;
ORG;2020;330000662;INSTITUT BERGONIE;330781329;;;;1;A;;;;;;;;;;;1;D;;;;;32;C;E;;;;0;;;;;;;0.2;;;2.03;;;;0;;
ORG;2020;330005182;EHPAD - USLD CENTRE DE SOINS PODENSAC;330792862;1;G;;;;;;;;;;;1;G;;;;;;;;1;C;;;;;;;;;;;;;;;0.5;;0.02;;;0.07;0.2
ORG;2020;330007410;ANTENNE AUTODIALYSE CADDD;330007386;0;;;0;;;0;;;0;;;0;;;0;;;0;;;2;A;C;0;;;0;;;;;;;1;0;0;0;0;0;0;0;0;1.5
ORG;2020;330024928;CENTRE DE REEDUCATION AVICENNE;330050899;;;;;;;;;;;;;;;;;;;;;;3;C;D;;;;0;;;;;;;0.05;;;;;;;;;
ORG;2020;330025958;HAD DES VIGNES ET DES RIVIERES;330025859;;;;1;C;;;;;;;;;;;;;;;;;28;D;;;;;1;1;ALLIANCE DE GIRONDE;;;;;0.75;;;;;1;;;;
ORG;2020;330058504;CENTRE DE PSYCHIATRIE AMBULATOIRE-CPAC;330059825;0;;;0;;;0;;;0;;;0;;;0;;;0;;;3;C;;0;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;330060351;TIVOLI ONCOLOGIE;330059619;;;;;;;;;;;;;;;;;;;;;;;;;1;D;;0;;;;;;;;;;;;;;;;
ORG;2020;330060658;GCS CLINIQUE CHIRURGICALE LIBOURNAIS;330060641;;;;;;;;;;;;;;;;;;;;;;10;C;D;;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2020;330780115;CLINIQUE TIVOLI-DUCOS;330000076;;;;1;D;;;;;;;;;;;2;D;;;;;5;D;;1;A;;0;;;;;;;1;0.4;;;0.6;;;0.5;;
ORG;2020;330780206;CLINIQUE D'ARCACHON;330000126;;;;2;F;D;;;;;;;;;;2;A;;;;;32;C;D;;;;0;;;;;;;0.7;0;;;0;;;0;;
ORG;2020;330780289;HOPITAL DE JOUR L'OISEAU LYRE;330790809;;;;1;C;G;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;1;1;;;;;;1;;
ORG;2020;330780313;MAISON DE SANTE LES PINS;330000191;;;;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2020;330780321;CLINIQUE BETHANIE;330000209;;;;;;;;;;;;;;;;;;;;;;5;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;330780370;LES FONTAINES DE MONJOUS - SSR;750034589;;;;1;A;;;;;;;;;;;;;;;;;26;E;;;;;0;;;;;;;0.01;;;;;;;0.01;;
ORG;2020;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;;;;;;;;;;1;;;;;;4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;;;;;;;;;;;;;;;;1;B;;;;;6;C;;1;D;;0;;;;;;;;;;;;;;;;
ORG;2020;330780560;CENTRE DE SSR LA PIGNADA;330781386;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;0;;;;;;;;;;;;;;;;
ORG;2020;330781121;CHATEAU RAUZE - LADAPT;930019484;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;0.3;;;;;;
ORG;2020;330781170;CENTRE READAPT PASTEUR - RENOVATION;330785072;;;;;;;;;;2;E;E;1;B;;;;;;;;2;C;C;;;;0;;;;;;;;;;1;;;1;;;0.5
ORG;2020;330781188;CTRE DE REHABILITATION PSYCHO-SOCIALE;330056540;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;0.5;;;3;;;
ORG;2020;330781303;HIA ROBERT PICQUE;750821092;;;;1;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.34;;;25.15;;;0.31;;
ORG;2020;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;0;;;6;C;;0;;;0;;;3;;;0;;;1;;;1916;E;A;357;E;A;1;;BÉARN-SOULE;LOT-ET-GARONNE;LANDES;DORDOGNE;NAVARRE-CÔTE BASQUE;17.5;;10.65;31.45;;;28.24;;5.21;
ORG;2020;330782350;CENTRE PSYCHOTHERAPIQUE LES PLATANES;330000480;0;;;0;;;0;;;0;;;0;;;0;;;0;;;4;;;;;;0;;;;;;;1;;;;;;;;;
ORG;2020;330783614;HOPITAL DE JOUR DU PARC - RENOVATION;330785072;;;;1;G;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;330783960;HOPITAL DE JOUR CENTRE SANTE MENT MGEN;750005068;;;;2;C;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;;0;;;0.83;;;0.93;;;1
ORG;2020;330802778;KORIAN CHÂTEAU LEMOINE;310020383;;;;;;;;;;;;;;;;;;;;;;8;C;;3;G;;0;;;;;;;0.1;;;;;;;;;0.1
ORG;2020;330804501;CENTRE HOSPITALIER DE BAZAS;330781212;;;;1;A;D;;;;;;;1;A;;;;;;;;2;B;D;;;;;;;;;;;;;;;;;;;0.37;
ORG;2020;340000025;INSTITUT ST PIERRE;340022722;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.3;;;0.5;;;0.2;;;
ORG;2020;340000033;CH BEZIERS;340780055;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.05;;
ORG;2020;340000173;CH PEZENAS;340780451;;;;2;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;0.95;
ORG;2020;340000181;CH ST PONS DE THOMIERES;340780469;;;;2;A;;;;;;;;;;;;;;;;;102;C;A;;;;;;;;;;;0;0;0;;0;0;;0;0;
ORG;2020;340000207;ICM;340780493;;;;1;D;;;;;;;;;;;1;D;;;;;;;;;;;0;;;;;;;0.5;0.45;;;4.33;;;2.76;;
ORG;2020;340000215;CH LODEVE;340780519;;;;2;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;340000223;HOPITAL ST CLAIR HBT SETE;340011295;3;;;;;;;;;1;;;4;;;1;;;;;;284;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;340000231;CH POLE DE SANTE DE LUNEL;340780535;;;;;;;;;;;;;;;;;;;;;;64;C;A;;;;1;1;EST HÉRAULT ET SUD AVEYRON;;;;;0.15;;;;;;;;0.15;
ORG;2020;340000249;CH CLERMONT L'HERAULT;340780543;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;EST HÉRAULT ET SUD AVEYRON;;;;;;;;;;0.2;;;;
ORG;2020;340001064;CENTRE MUTUALISTE NEUROLOGIQUE PROPARA;340013028;;;;;;;;;;;;;;;;;;;;;;10;;;;;;0;;;;;;;0.05;;;;;;;;;
ORG;2020;340008275;CENTRE ANTONIN BALMES CHU MONTPELLIER;340780477;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;;;;;;;;0.05;;;0.6;;;;;;
ORG;2020;340009018;CL DU PIC ST LOUP;340008978;;;;;;;;;;;;;;;;;;;;;;63;C;D;;;;0;;;;;;;0.1;;;0;;;0;;;0
ORG;2020;340009539;NEPHROLOGIE DIALYSE CENTRE ST GUILHEM;340009489;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0.01;;;;;;;;;
ORG;2020;340010149;CL ST CLEMENT;340010099;;;;;;;;;;;;;;;;;;;;;;60;C;C;;;;0;;;;;;;0;;;0;;;0;;;0
ORG;2020;340013119;AIDER SANTE UAD GRABELS SITE CORDIER 1;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0.2;;;;14.48;;;2.48;;
ORG;2020;340013168;AIDER SANTE UDM CL JACQUES MIROUZE;340000264;1;C;;;;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;;0.19;0.36;;;0.37;;;2.53;;
ORG;2020;340013218;AIDER SANTE UAD UDM POLYCL ST LOUIS;340000264;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340013259;AIDER SANTE UAD BEDARIEUX;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340013309;AIDER SANTE UAD UDM CH CLERMONT HLT;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340013358;AIDER SANTE UAD BOUZIGUES;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340013499;AIDER SANTE UAD VILLENEUVE LES BEZIERS;340000264;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340015502;CL DU MILLENAIRE;340000512;;;;2;B;E;;;;;;;;;;1;D;;;;;109;C;D;;;;0;;;;;;;0.2;;;;;;;;;
ORG;2020;340015965;POLYCL ST PRIVAT;340000074;;;;;;;;;;;;;;;;;;;;;;;;;2;D;D;0;;;;;;;;;;;;;;;;
ORG;2020;340015999;NEPHROCARE BEZIERS;940023831;;;;;;;;;;;;;;;;1;A;;;;;7;C;;;;;0;;;;;;;0.07;0;0;0;0;0;0;0;0;0
ORG;2020;340016005;AUTODIALYSE DE LUNEL NEPHROCARE LUNEL;940023856;;;;;;;;;;;;;;;;0;;;;;;3;C;;;;;0;;;;;;;0.01;0;;;0;;;0;;
ORG;2020;340016476;HAD BEZIERS HAD;340016468;;;;;;;;;;;;;;;;;;;;;;1;D;;;;;1;1;OUEST HÉRAULT;;;;;0;;;;;;;;;
ORG;2020;340017839;ADENE HAD MONTPELLIER;340027937;;;;;;;;;;;;;;;;;;;;;;7;;;;;;1;1;EST HÉRAULT ET SUD AVEYRON;;;;;0.34;;;;;;;;;
ORG;2020;340017847;HAD HOME SANTE 34;340018175;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;EST HÉRAULT ET SUD AVEYRON;;;;;;;;;;;;;;
ORG;2020;340019090;CRF BOURGES;340019082;;;;;;;;;;;;;;;;;;;;;;20;E;D;;;;0;;;;;;;1;;;;;;;;;
ORG;2020;340019603;GCS HELP;340019587;;;;;;;;;;;;;;;;;;;;;;7;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340020221;AIDER SANTE DIALYSE A DOMICILE GRABELS;340000264;;;;;;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340022979;POLYCL ST ROCH;340000306;;;;;;;;;;;;;;;;1;A;;;;;12;C;D;;;;0;;;;;;;0.2;;;;;;;;;
ORG;2020;340023142;NEPHROCARE MILLLENAIRE UDM;940023856;;;;;;;;;;;;;;;;1;A;;;;;4;C;;;;;0;;;;;;;0.02;0;;;0;;;0;;
ORG;2020;340024512;SSR LES JARDINS DE SOPHIA;340001825;;;;;;;;;;;;;;;;;;;;;;19;C;;;;;0;;;;;;;0.25;;;;;;;;;
ORG;2020;340024546;CL PLEIN SOLEIL SITE MTP;340000405;;;;;;;;;;;;;;;;;;;;;;20;C;D;;;;0;;;;;;;0.05;;;0;;;0;;;0
ORG;2020;340024553;AIDER SANTE UAD ST JEAN;340000264;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;340780147;POLYCL DES TROIS VALLEES;340000108;;;;;;;;;;;;;1;B;;;;;;;;37;C;;;;;1;2;OUEST HÉRAULT;EST HÉRAULT ET SUD AVEYRON;;;;0.1;;;;;;;;;
ORG;2020;340780154;POLYCL PASTEUR;340000116;;;;;;;;;;;;;1;B;;;;;;;;40;C;;;;;1;2;OUEST HÉRAULT;EST HÉRAULT ET SUD AVEYRON;;;;0.1;;;;;;;;;
ORG;2020;340780212;CRF STER LAMALOU LES BAINS;340796069;1;C;D;0;;;0;;;0;;;0;;;0;;;0;;;80;C;D;0;;;0;;;;;;;0.26;;;;;;;;;
ORG;2020;340780220;CH PAUL COSTE FLORET;340796358;;;;1;A;;;;;;;;;;;;;;;;;16;C;C;;;;;;;;;;;2;;2;;;;0.1;;;0.1
ORG;2020;340780253;MAISON DE REPOS LE COLOMBIER;340001387;0;;;;;;;;;;;;;;;;;;;;;27;C;D;;;;0;;;;;;;0;;;;;;;;;
