BOR;AN;FI;RS;DIALYSE_AA100;DIALYSE_AA101;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2023;240006734;CENTRE D'HEMODIALYSE FRANCHEVILLE;;;240000596;122AX;;;;1;0;;;;14;;
DIALYSE;2023;240006734;CENTRE D'HEMODIALYSE FRANCHEVILLE;;;240000596;122BX;;;;1;0;;;;1;;
DIALYSE;2023;240006734;CENTRE D'HEMODIALYSE FRANCHEVILLE;1;1;240000596;TOT;0;;;;;;530;2;;61;1
DIALYSE;2023;240013219;ANTENNE/UNITE DE DIALYSE FRANCHEVILLE;;;240000596;1130X;;;;8;26;4154;;;;;
DIALYSE;2023;240013219;ANTENNE/UNITE DE DIALYSE FRANCHEVILLE;;;240000596;1140X;;;;6;9;1612;;;;;
DIALYSE;2023;240013466;ANTENNE AUTODIALYSE FRANCHEVILLE;;;240000596;1130X;;;;8;16;2167;;;;;
DIALYSE;2023;240013466;ANTENNE AUTODIALYSE FRANCHEVILLE;;;240000596;1140X;;;;6;10;1566;;;;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;112BA;;;;25;248;11377;;;;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;1150A;;;;0;8;1886;;;;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;1210;;;;;34;;;;5102;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;121AX;;;;;30;;;;4452;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;121CX;;;;4;4;;;;650;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;122AX;;;;2;4;;;;86;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;;;250000015;122BX;;;;3;8;;;;224;;
DIALYSE;2023;250006954;CHU JEAN MINJOZ BESANCON;1;1;250000015;TOT;0;;;;;;1805;0;;73;15
DIALYSE;2023;250013448;UNITE DE DIALYSE DE PONTARLIER;;;210012290;112AX;;;;1;1;187;;;;;
DIALYSE;2023;250013448;UNITE DE DIALYSE DE PONTARLIER;;;210012290;1130X;;;;10;24;3848;;;;;
DIALYSE;2023;250013448;UNITE DE DIALYSE DE PONTARLIER;;;210012290;1140X;;;;2;4;350;;;;;
DIALYSE;2023;250013448;UNITE DE DIALYSE DE PONTARLIER;;;210012290;1210;;;;;;;;;9;;
DIALYSE;2023;250013448;UNITE DE DIALYSE DE PONTARLIER;;;210012290;121AX;;;;;;;;;9;;
DIALYSE;2023;250013448;UNITE DE DIALYSE DE PONTARLIER;0;1;210012290;TOT;0;;;;;;;;;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;112AX;;;;2;3;213;;;;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;1130X;;;;14;53;7601;;;;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;1140X;;;;6;12;2181;;;;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;1150A;;;;8;8;1886;;;;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;1210;;;;;32;;;;1718;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;121AX;;;;;29;;;;1498;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;121CX;;;;3;3;;;;220;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;;;210012290;122AX;;;;2;2;;;;86;;
DIALYSE;2023;250015526;UNITE DE DIALYSE BESANCON;0;1;210012290;TOT;0;;;;;;;;;;
DIALYSE;2023;250015534;UNITE DE DIALYSE DE MONTBELIARD;;;210012290;1130X;;;;12;41;6293;;;;;
DIALYSE;2023;250015534;UNITE DE DIALYSE DE MONTBELIARD;;;210012290;1150A;;;;2;2;495;;;;;
DIALYSE;2023;250015534;UNITE DE DIALYSE DE MONTBELIARD;;;210012290;1210;;;;;24;;;;1365;;
DIALYSE;2023;250015534;UNITE DE DIALYSE DE MONTBELIARD;;;210012290;121AX;;;;;16;;;;994;;
DIALYSE;2023;250015534;UNITE DE DIALYSE DE MONTBELIARD;;;210012290;121CX;;;;8;8;;;;371;;
DIALYSE;2023;250015534;UNITE DE DIALYSE DE MONTBELIARD;0;1;210012290;TOT;0;;;;;;;;;;
DIALYSE;2023;260000013;CH DE VALENCE;;;260000021;122AX;;;;1;;;;;1;;
DIALYSE;2023;260000013;CH DE VALENCE;0;1;260000021;TOT;0;;;;;;51;;;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;;;260016910;112BA;;;;16;;8338;;;;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;;;260016910;1210;;;;;0;;;;12;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;;;260016910;121AX;;;;;0;;;;9;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;;;260016910;121CX;;;;1;0;;;;3;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;;;260016910;122AX;;;;1;0;;;;31;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;;;260016910;122BX;;;;1;0;;;;20;;
DIALYSE;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;1;1;260016910;TOT;0;;;;;;597;;;11;1
DIALYSE;2023;260000138;CH PORTES PROVENCE MONTELIMAR;0;0;260000047;TOT;0;;;;;;18;;;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;112AX;;;;5;8;1373;;;;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;112BA;;;;17;68;9148;;;;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;1130X;;;;12;34;5142;;;;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;1150A;;;;4;4;1243;;;;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;1210;;;;;18;;;;846;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;121AX;;;;;12;;;;593;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;121CX;;;;6;6;;;;253;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;122AX;;;;2;0;;;;215;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;;;380793802;122BX;;;;1;0;;;;3;;
DIALYSE;2023;260001631;AGDUC CENTRE DE DIALYSE MONTELIMAR;1;1;380793802;TOT;0;;;;;;;2;;21;4
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;;;380793802;112AX;;;;5;11;1351;;;;;
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;;;380793802;112BA;;;;26;69;10036;;;;;
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;;;380793802;1210;;;;;6;;;;321;;
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;;;380793802;121AX;;;;;4;;;;285;;
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;;;380793802;121CX;;;;2;2;;;;36;;
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;;;380793802;122BX;;;;1;0;;;;7;;
DIALYSE;2023;260003215;AGDUC VALENCE / MARECHAL JUIN;1;1;380793802;TOT;1;1;46;;;;;2;;30;0
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;112AX;;;;2;2;197;;;;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;1130X;;;;12;43;6137;;;;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;1140X;;;;6;8;1315;;;;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;1210;;;;;14;;;;692;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;121AX;;;;;7;;;;340;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;121CX;;;;7;7;;;;352;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;;;380793802;122BX;;;;1;0;;;;12;;
DIALYSE;2023;260006820;AGDUC CENTRE DIALYSE ROMANS-SUR-ISERE;0;1;380793802;TOT;0;;;;;;;1;;7;0
DIALYSE;2023;260010418;AURAL UNITE DIALYSE CH VALENCE;;;690796552;112AX;;;;;0;89;;;;;
DIALYSE;2023;260010418;AURAL UNITE DIALYSE CH VALENCE;;;690796552;1140X;;;;8;26;4322;;;;;
DIALYSE;2023;260012760;AURAL UNITE DIALYSE CH MONTELIMAR;;;690796552;1140X;;;;6;10;1231;;;;;
DIALYSE;2023;260016993;AGDUC CENTRE DE DIALYSE PIERRELATTE;;;380793802;1140X;;;;5;4;603;;;;;
DIALYSE;2023;260021688;AGDUC VALENCE / PIERRE TEZIER;;;380793802;1130X;;;;12;46;7071;;;;;
DIALYSE;2023;260021688;AGDUC VALENCE / PIERRE TEZIER;;;380793802;1140X;;;;8;12;2012;;;;;
DIALYSE;2023;260021688;AGDUC VALENCE / PIERRE TEZIER;0;0;380793802;TOT;0;;;;;;;1;;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;;;270023724;112AX;;;;2;0;158;;;;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;;;270023724;112BA;;;;20;84;10310;;;;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;;;270023724;1130X;;;;8;32;4401;;;;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;;;270023724;121CX;;;;2;0;;;;;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;;;270023724;122AX;;;;2;0;;;;55;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;;;270023724;122BX;;;;0;2;;;;0;;
DIALYSE;2023;270000359;CH EVREUX CH EURE-SEINE;1;1;270023724;TOT;0;;;;;;1110;2;;62;10
DIALYSE;2023;270000458;CH VERNON CH EURE-SEINE;;;270023724;1130X;;;;8;31;4395;;;;;
DIALYSE;2023;270000458;CH VERNON CH EURE-SEINE;0;0;270023724;TOT;0;;;;;;68;0;;0;0
DIALYSE;2023;270017338;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;1140X;;;;6;6;916;;;;;
DIALYSE;2023;270017379;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;1140X;;;;5;13;2080;;;;;
DIALYSE;2023;270017429;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;1140X;;;;10;22;3508;;;;;
DIALYSE;2023;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;1140X;;;;10;31;4813;;;;;
DIALYSE;2023;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;1150A;;;;7;7;2104;;;;;
DIALYSE;2023;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;1210;;;;;18;;;;953;;
DIALYSE;2023;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;121AX;;;;;13;;;;693;;
DIALYSE;2023;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;;;140000852;121CX;;;;5;5;;;;260;;
DIALYSE;2023;270017478;UNITE AUTODIALYSE ASSISTEE ASS ANIDER;0;1;140000852;TOT;0;;;;;;;;;;
DIALYSE;2023;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;;;280000852;1130X;;;;4;17;2517;;;;;
DIALYSE;2023;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;;;280000852;1140X;;;;4;10;1643;;;;;
DIALYSE;2023;280006594;A.I.R.B.P. IRC NOGENT-LE-ROTROU;0;0;280000852;TOT;0;;;;;;0;0;;6;0
DIALYSE;2023;280502741;A.I.R.B.P IRC CHARTRES;;;280000852;112AX;;;;2;3;417;;;;;
DIALYSE;2023;280502741;A.I.R.B.P IRC CHARTRES;;;280000852;1130X;;;;6;22;3488;;;;;
DIALYSE;2023;280502741;A.I.R.B.P IRC CHARTRES;;;280000852;1140X;;;;6;23;3508;;;;;
DIALYSE;2023;280502741;A.I.R.B.P IRC CHARTRES;;;280000852;1150A;;;;5;5;1424;;;;;
DIALYSE;2023;280502741;A.I.R.B.P IRC CHARTRES;0;0;280000852;TOT;0;;;;;;0;2;;11;0
DIALYSE;2023;280503848;A.I.R.B.P. IRC - DREUX;;;280000852;1140X;;;;12;30;4595;;;;;
DIALYSE;2023;280503848;A.I.R.B.P. IRC - DREUX;0;0;280000852;TOT;0;;;;;;0;0;;9;0
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;112AX;;;;1;;147;;;;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;112BA;;;;20;112;13672;;;;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;1150A;;;;2;4;1043;;;;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;1210;;;;;12;;;;614;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;121AX;;;;;8;;;;375;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;121CX;;;;1;4;;;;239;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;;;280000134;122AX;;;;1;;;;;4;;
DIALYSE;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;1;1;280000134;TOT;0;;;;;;1190;2;;113;6
DIALYSE;2023;280504309;A.I.R.B.P. IRC CHATEAUDUN;;;280000852;1130X;;;;4;17;2938;;;;;
DIALYSE;2023;280504309;A.I.R.B.P. IRC CHATEAUDUN;;;280000852;1140X;;;;4;12;1382;;;;;
DIALYSE;2023;280504309;A.I.R.B.P. IRC CHATEAUDUN;0;0;280000852;TOT;0;;;;;;0;0;;4;0
DIALYSE;2023;280504689;NEPHROCARE VERNOUILLET;;;940000060;112AX;;;;1;3;660;;;;;
DIALYSE;2023;280504689;NEPHROCARE VERNOUILLET;;;940000060;112BA;;;;19;77;11514;;;;;
DIALYSE;2023;280504689;NEPHROCARE VERNOUILLET;;;940000060;1130X;;;;8;32;4497;;;;;
DIALYSE;2023;280504689;NEPHROCARE VERNOUILLET;1;0;940000060;TOT;0;;;;;;0;;;16;
DIALYSE;2023;290000025;CHIC QUIMPER;;;290020700;112BA;;;;20;181;9042;;;;;
DIALYSE;2023;290000025;CHIC QUIMPER;;;290020700;122BX;;;;0;;;;;103;;
DIALYSE;2023;290000025;CHIC QUIMPER;1;1;290020700;TOT;0;;;;;;1098;;;52;8
DIALYSE;2023;290000033;C.H. DES PAYS DE MORLAIX;0;0;290021542;TOT;0;;;;;;11;;;;
DIALYSE;2023;290000850;STE BRESTOISE REIN ARTIFICIEL;;;920033578;112BA;;;;12;70;11013;;;;;
DIALYSE;2023;290000850;STE BRESTOISE REIN ARTIFICIEL;;;920033578;1130X;;;;8;7;894;;;;;
DIALYSE;2023;290000850;STE BRESTOISE REIN ARTIFICIEL;1;0;920033578;TOT;0;;;;;;0;0;;20;
DIALYSE;2023;290000975;FONDATION ILDYS SITE DE PERHARIDY;;;290000546;112BA;;;;8;31;5125;;;;;
DIALYSE;2023;290000975;FONDATION ILDYS SITE DE PERHARIDY;;;290000546;112BE;;;;0;0;15;;;;;
DIALYSE;2023;290000975;FONDATION ILDYS SITE DE PERHARIDY;1;0;290000546;TOT;0;;;;;;12;0;;53;0
DIALYSE;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;;;290000017;112BA;;;;12;46;7016;;;;;
DIALYSE;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;1;0;290000017;TOT;0;;;;;;1869;0;;;
DIALYSE;2023;290005131;UNITE DIALYSE PLOURIN-LES-MORLAIX AUB;;;350000626;112AX;;;;3;8;795;;;;;
DIALYSE;2023;290005131;UNITE DIALYSE PLOURIN-LES-MORLAIX AUB;;;350000626;112BA;;;;14;31;4002;;;;;
DIALYSE;2023;290005131;UNITE DIALYSE PLOURIN-LES-MORLAIX AUB;1;0;350000626;TOT;0;;;;;;0;;;17;
DIALYSE;2023;290005172;UNITE DIALYSE BREST HERMITAGE AUB;;;350000626;1140X;;;;27;47;7379;;;;;
DIALYSE;2023;290005172;UNITE DIALYSE BREST HERMITAGE AUB;0;0;350000626;TOT;0;;;;;;;;;11;
DIALYSE;2023;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;;;350000626;112BA;;;;1;0;1;;;;;
DIALYSE;2023;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;;;350000626;1130X;;;;6;7;1258;;;;;
DIALYSE;2023;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;;;350000626;1140X;;;;11;15;2334;;;;;
DIALYSE;2023;290005230;UNITE DIALYSE DOUARNENEZ AUB SANTE;1;0;350000626;TOT;0;;;;;;0;;;5;
DIALYSE;2023;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;;;350000626;1130X;;;;8;17;2602;;;;;
DIALYSE;2023;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;;;350000626;1140X;;;;11;23;3897;;;;;
DIALYSE;2023;290018555;UNITE DIALYSE PLOURIN ST FIACRE AUB;0;0;350000626;TOT;0;;;;;;0;;;2;
DIALYSE;2023;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;;;350000626;112AX;;;;3;6;683;;;;;
DIALYSE;2023;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;;;350000626;112BA;;;;;;2;;;;;
DIALYSE;2023;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;;;350000626;1130X;;;;24;30;4487;;;;;
DIALYSE;2023;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;;;350000626;1140X;;;;22;27;4071;;;;;
DIALYSE;2023;290018563;UNITE DIALYSE QUIMPER KERRADENNEC AUB;1;0;350000626;TOT;0;;;;;;0;;;20;
DIALYSE;2023;290021070;UNITE AUTODIALYSE CONCARNEAU - AUB;;;350000626;1140X;;;;10;13;1890;;;;;
DIALYSE;2023;290021070;UNITE AUTODIALYSE CONCARNEAU - AUB;0;0;350000626;TOT;0;;;;;;;;;1;
DIALYSE;2023;290023779;UNITE DIALYSE CARHAIX AUB;;;350000626;112AX;;;;2;3;442;;;;;
DIALYSE;2023;290023779;UNITE DIALYSE CARHAIX AUB;;;350000626;112BA;;;;9;17;2308;;;;;
DIALYSE;2023;290023779;UNITE DIALYSE CARHAIX AUB;;;350000626;1130X;;;;9;16;2294;;;;;
DIALYSE;2023;290023779;UNITE DIALYSE CARHAIX AUB;;;350000626;1140X;;;;7;12;1683;;;;;
DIALYSE;2023;290023779;UNITE DIALYSE CARHAIX AUB;1;0;350000626;TOT;0;;;;;;0;;;18;
DIALYSE;2023;290023787;UNITE DIALYSE LANDIVISIAU AUB SANTE;;;350000626;1140X;;;;6;2;626;;;;;
DIALYSE;2023;290023795;UNITE AUTODIALYSE LE FOLGOET - AUB;;;350000626;1140X;;;;11;17;3121;;;;;
DIALYSE;2023;290023795;UNITE AUTODIALYSE LE FOLGOET - AUB;0;0;350000626;TOT;0;;;;;;;;;2;
DIALYSE;2023;290025337;UNITE DIALYSE PONT L'ABBE AUB;;;350000626;1140X;;;;12;12;1863;;;;;
DIALYSE;2023;290025337;UNITE DIALYSE PONT L'ABBE AUB;0;0;350000626;TOT;0;;;;;;;;;3;
DIALYSE;2023;290028539;UNITE DIALYSE LANDERNEAU AUB SANTE;;;350000626;1140X;;;;6;5;732;;;;;
DIALYSE;2023;290028539;UNITE DIALYSE LANDERNEAU AUB SANTE;0;0;350000626;TOT;0;;;;;;;;;1;
DIALYSE;2023;290029669;UNITE DIALYSE QUIMPER AUB SANTE;;;350000626;112AX;;;;3;7;619;;;;;
DIALYSE;2023;290029669;UNITE DIALYSE QUIMPER AUB SANTE;;;350000626;112BA;;;;24;28;4694;;;;;
DIALYSE;2023;290029669;UNITE DIALYSE QUIMPER AUB SANTE;1;0;350000626;TOT;0;;;;;;0;;;2;
DIALYSE;2023;290030808;UNITE DIALYSE CROZON AUB SANTE;;;350000626;112BA;;;;;;26;;;;;
DIALYSE;2023;290030808;UNITE DIALYSE CROZON AUB SANTE;;;350000626;1130X;;;;8;12;1786;;;;;
DIALYSE;2023;290030808;UNITE DIALYSE CROZON AUB SANTE;;;350000626;1140X;;;;6;6;1253;;;;;
DIALYSE;2023;290030808;UNITE DIALYSE CROZON AUB SANTE;1;0;350000626;TOT;0;;;;;;0;;;3;
DIALYSE;2023;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;;;350000626;112AX;;;;9;16;1631;;;;;
DIALYSE;2023;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;;;350000626;112BA;;;;;;2;;;;;
DIALYSE;2023;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;;;350000626;1130X;;;;24;32;4122;;;;;
DIALYSE;2023;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;;;350000626;1140X;;;;8;10;1458;;;;;
DIALYSE;2023;290032028;UNITE DIALYSE BREST QUESTEL AUB SANTE;1;0;350000626;TOT;0;;;;;;0;;;24;
DIALYSE;2023;290032655;UNITE DIALYSE QUIMPERLE MELLAC AUB;;;350000626;1130X;;;;6;6;1158;;;;;
DIALYSE;2023;290032655;UNITE DIALYSE QUIMPERLE MELLAC AUB;;;350000626;1140X;;;;3;3;477;;;;;
DIALYSE;2023;2A0000154;CLINIQUE DU SUD DE LA CORSE;;;2A0000204;112BA;;;;12;48;1992;;;;;
DIALYSE;2023;2A0000154;CLINIQUE DU SUD DE LA CORSE;;;2A0000204;1130X;;;;18;45;3161;;;;;
DIALYSE;2023;2A0000154;CLINIQUE DU SUD DE LA CORSE;1;0;2A0000204;TOT;1;6;9;;;;81;;;;
DIALYSE;2023;2A0003174;CENTRE D'AUTO DIALYSE;;;2A0003166;1140X;;;;12;25;3652;;;;;
DIALYSE;2023;2A0004842;CH ND LA MISERICORDE;;;2A0000014;112BA;;;;9;38;5779;;;;;
DIALYSE;2023;2A0004842;CH ND LA MISERICORDE;;;2A0000014;1130X;;;;4;16;2205;;;;;
DIALYSE;2023;2A0004842;CH ND LA MISERICORDE;;;2A0000014;1150A;;;;2;2;504;;;;;
DIALYSE;2023;2A0004842;CH ND LA MISERICORDE;1;0;2A0000014;TOT;0;;;;;;520;1;;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;112BA;;;;12;;6523;;;;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;1140X;;;;4;;1605;;;;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;1210;;;;;;;;;253;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;121AX;;;;;;;;;188;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;121CX;;;;2;;;;;65;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;122AX;;;;1;;;;;0;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;;;2B0000020;122BX;;;;1;;;;;0;;
DIALYSE;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;1;1;2B0000020;TOT;0;;;;;;374;1;;;
DIALYSE;2023;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;;;130006810;112AX;;;;0;0;78;;;;;
DIALYSE;2023;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;;;130006810;1130X;;;;6;8;1733;;;;;
DIALYSE;2023;2B0004212;UNITE D'AUTODIALYSE ILE ROUSSE;;;130006810;1140X;;;;0;0;198;;;;;
DIALYSE;2023;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;;;130016058;1130X;;;;6;14;2256;;;;;
DIALYSE;2023;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;;;130016058;1140X;;;;4;6;1079;;;;;
DIALYSE;2023;2B0004584;UNITE D'AUTODIALYSE DE CATERAGGIO;0;0;130016058;TOT;0;;;;;;;;;5;
DIALYSE;2023;2B0005797;CENTRE DE DIALYSE SAINTE CATHERINE;;;2B0005789;1140X;;;;12;42;4155;;;;;
DIALYSE;2023;2B0005797;CENTRE DE DIALYSE SAINTE CATHERINE;0;0;2B0005789;TOT;0;;;;;;;;;14;
DIALYSE;2023;300007119;AIDER SANTE UAD UDM CH ALES 1;;;340000264;112AX;;;;2;;1200;;;;;
DIALYSE;2023;300007119;AIDER SANTE UAD UDM CH ALES 1;;;340000264;1130X;;;;11;66;9752;;;;;
DIALYSE;2023;300007119;AIDER SANTE UAD UDM CH ALES 1;;;340000264;1140X;;;;12;13;1872;;;;;
DIALYSE;2023;300007119;AIDER SANTE UAD UDM CH ALES 1;0;0;340000264;TOT;0;;;;;;0;1;;0;0
DIALYSE;2023;300008588;NEPHROCARE NIMES NEWCO 3;;;940023849;112AX;;;;2;30;974;;;;;
DIALYSE;2023;300008588;NEPHROCARE NIMES NEWCO 3;;;940023849;112BA;;;;33;135;19618;;;;;
DIALYSE;2023;300008588;NEPHROCARE NIMES NEWCO 3;1;0;940023849;TOT;1;1;39;;;;0;3;;30;
DIALYSE;2023;300008638;NEPHROCARE UDM BAGNOLS SUR CEZE NEWCO3;;;940023849;112AX;;;;2;;174;;;;;
DIALYSE;2023;300008638;NEPHROCARE UDM BAGNOLS SUR CEZE NEWCO3;;;940023849;1130X;;;;14;39;5378;;;;;
DIALYSE;2023;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;;;340000264;112AX;;;;2;6;2048;;;;;
DIALYSE;2023;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;;;340000264;112BA;;;;22;69;9946;;;;;
DIALYSE;2023;300017431;AIDER SANTE CENTRE GCS PAAC ALES 2;1;0;340000264;TOT;0;;;;;;0;2;;21;0
DIALYSE;2023;300782117;CHU NIMES CAREMEAU;;;300780038;112BA;;;;16;92;12323;;;;;
DIALYSE;2023;300782117;CHU NIMES CAREMEAU;;;300780038;122AX;;;;2;;;;;139;;
DIALYSE;2023;300782117;CHU NIMES CAREMEAU;;;300780038;122BX;;;;4;2;;;;278;;
DIALYSE;2023;300782117;CHU NIMES CAREMEAU;1;1;300780038;TOT;0;;;;;;2329;4;;97;
DIALYSE;2023;300787421;AIDER SANTE UAD UDM CHU NIMES;;;340000264;112AX;;;;6;6;2198;;;;;
DIALYSE;2023;300787421;AIDER SANTE UAD UDM CHU NIMES;;;340000264;1130X;;;;19;101;14423;;;;;
DIALYSE;2023;300787421;AIDER SANTE UAD UDM CHU NIMES;;;340000264;1140X;;;;10;21;2877;;;;;
DIALYSE;2023;300787421;AIDER SANTE UAD UDM CHU NIMES;0;0;340000264;TOT;0;;;;;;0;2;;7;0
