BOR;AN;FI;RS;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFLIB_PM;USP_EFFLIB_PMPAL;USP_EFFLIB_CADRES;USP_EFFLIB_IDE;USP_EFFLIB_IDEPAL;USP_EFFLIB_AIDES;USP_EFFLIB_PSY;USP_EFFLIB_PNMAUT;USP_ETPSAL_PM;USP_ETPSAL_PMPAL;USP_ETPSAL_CADRES;USP_ETPSAL_IDE;USP_ETPSAL_IDEPAL;USP_ETPSAL_AIDES;USP_ETPSAL_PSY;USP_ETPSAL_PNMAUT;EMSP_EFFLIB_PM;EMSP_EFFLIB_PMPAL;EMSP_EFFLIB_CADRES;EMSP_EFFLIB_IDE;EMSP_EFFLIB_IDEPAL;EMSP_EFFLIB_AIDES;EMSP_EFFLIB_PSY;EMSP_EFFLIB_PNMAUT;EMSP_ETPSAL_PM;EMSP_ETPSAL_PMPAL;EMSP_ETPSAL_CADRES;EMSP_ETPSAL_IDE;EMSP_ETPSAL_IDEPAL;EMSP_ETPSAL_AIDES;EMSP_ETPSAL_PSY;EMSP_ETPSAL_PNMAUT
PALIA;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;2;0;0;40;1;1;10;230;;;4;1;1254;4;;437;66;101;270;295;;21;19;;;;;;;;;2.03;;0.08;8.15;;8.05;0.9;2.61;;;;;;;;;0.62;;;1;;0.16;;0.17
PALIA;2023;140000340;CENTRE SSR BETHARRAM HEROUVILLE;140025800;0;;;;;1;1;12;190;;;;1;91;40;1;509;;;;267;0;5;32;;;;;;;;;2.4;2.4;0.8;8.6;5;9.8;0.46;3;;;;;;;;;0.6;0.6;0.2;2.3;1;;0.85;1.2
PALIA;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;2;0;0;40;0;;;;;;;1;979;22;2;59;12;9;38;232;0;65;115;;;;;;;;;;;;;;;;;;;;;;;;;0.6;0.6;0.1;1;;;0.5;0.7
PALIA;2023;140000555;CRLCC FRANCOIS BACLESSE - CAEN;140000639;1;24;;;271;0;;;;;;;1;3133;0;0;0;;;;256;;1;29;;;;;;;;;;;;;;;;;;;;;;;;1;1.7;1.7;0.1;2;1.8;0.2;0.5;1.1
PALIA;2023;140008152;CH PONT L'EVEQUE SITE DU VAL D'AUGE;140000134;1;3;3;0;21;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;1;7;;;232;0;;;;;;;0;;;;;;;;;;;;1;1;;;;;;;;;0.25;2;;2;0.25;;;;;;;;;;;;;;;;;
PALIA;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;4;0;0;114;0;;;;;;;1;2826;17;;726;0;170;556;565;;10;155;;;;;;;;;;;;;;;;;;;;;;;;;1.2;1.2;;2;2;;0.4;0.5
PALIA;2023;150000032;CH DE SAINT-FLOUR;150780088;1;2;0;0;21;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;150000040;CH HENRI MONDOR;150780096;1;5;2;0;8;1;1;8;152;;;7;1;1622;20;2;335;0;124;211;443;0;90;0;;;;;;;;;1.4;1;0.36;4.9;0.1;5.74;0.43;2.25;;;;;;;;;0.8;;0.41;2.67;;0;0.54;0.2
PALIA;2023;150000164;CH DE MAURIAC;150780468;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;150000180;CH DE MURAT;150780500;1;4;0;0;52;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;150000271;1;4;;;95;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;160000188;CH DE LA ROCHEFOUCAULD;160000121;1;6;0;0;90;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;8;1;1;47;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;3;3;;51;0;;;;;;;1;115;18;15;972;279;153;540;253;;42;46;;;;;;;;;0;;0;0;;;0;0;;;;;;;;;0.82;;0.12;2.07;;;0.8;1.12
PALIA;2023;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;2;;;67;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;1;3;0;0;59;0;;;;;;;1;813;28;3;2282;1262;512;508;422;0;;11;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;2.62;1;;1;1
PALIA;2023;160000360;CH DE CHATEAUNEUF;160014411;0;;;;;1;1;10;142;;;;1;88;32;16;1484;547;235;614;610;8;3;77;;;;;;;;;1.41;;0.8;8.36;;9.36;1;3.02;;;;;;;;;;;0.1;2;;;0.63;1.57
PALIA;2023;160013207;CENTRE CLINICAL SA;160001632;1;4;;;158;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;2;0;0;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;1;5;5;;56;1;1;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;0;0;;0;0;0;;;;;;;;;;;;;;;;
PALIA;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;10;;;36;1;1;10;176;;;;1;3242;60;2;2766;67;584;2115;798;;9;1;;;;;;;;;1.8;;0.5;6.49;;10.32;0.6;1.47;;;;;;;;;0.8;;;1.55;;;0.9;1.7
PALIA;2023;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;1;3;3;;11;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;1;6;;;33;1;1;14;348;;;;1;2308;50;6;1404;1056;234;114;1366;;70;79;;;;;;;;;1.2;;0.84;6.94;;8.22;1.29;2.45;;;;;;;;;2.82;;0.36;3.59;;;1.54;2.3
PALIA;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;5;0;0;22;0;;;;;;;1;2542;;1;1442;34;299;1102;516;;15;11;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;0.05;1.2;;;0.48;
PALIA;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;1;15;3;0;604;0;;;;;;;1;2741;27;27;489;21;48;420;837;12;98;23;;;;;;;;;;;;;;;;;;;;;;;;;1.82;;0.07;1.91;1.91;;0.5;0.41
PALIA;2023;180000200;CH DE VIERZON;180000051;1;8;;;48;0;;;;;;;1;1456;1;3;;;;;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;180000283;CH SAINT AMAND-MONTROND;180000069;1;8;;;23;0;;;;;;;1;222;;;27;27;;;52;2;;7;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;0.05;;;;0.38;0.19
PALIA;2023;180000333;CH SANCERRE;180000093;1;5;5;0;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;1;3;3;0;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;180004145;HOPITAL PRIVE GUILLAUME DE VARYE;180000887;1;6;;;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;13;0;0;88;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;10;4;0;123;0;;;;;;;1;;36;4;;;;;568;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;1.1;;0.52;3.33;;;0.18;0.79
PALIA;2023;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;1;6;0;0;19;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;190000091;CENTRE HOSPITALIER D'USSEL;190000075;1;4;;;62;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;190000224;CLINIQUE LES CEDRES BRIVE;190000901;1;2;;;17;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;190005694;CLINIQUE SAINT JEAN LEZ CEDRES;310025010;1;3;3;;53;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;210780789;CLINIQUE MUTUALISTE BENIGNE JOLY;210003208;1;4;;;38;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;13;0;0;;1;;15;272;;;;1;599;41;11;859;133;169;524;837;0;15;125;;;;;;;;;2.3;;0.9;8.9;;9.96;1.17;3.81;;;;;;;;;1.9;;0;1.74;;0;0.17;1.03
PALIA;2023;210987574;CH ARNAY LE DUC;210012175;1;1;;;8;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;210987582;CENTRE HOSPITALIER D'IS-SUR-TILLE;210780631;1;2;0;0;19;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;4;;;35;0;;;;;;;1;742;17;;1245;25;269;951;427;;132;95;;;;;;;;;;;;;;;;;;;;;;;;;1.21;1;;2.5;;;0.99;1.04
PALIA;2023;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;3;;;68;0;;;;;;;1;2383;9;7;1638;165;283;1190;224;;21;21;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;0.1;1;;;0.5;0.72
PALIA;2023;210987673;CH HCO SITE DE MONTBARD;210012142;1;3;;;9;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;210987681;CH HCO SITE DE SAULIEU;210012142;1;2;;;40;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;5;0;0;57;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0
PALIA;2023;210987731;CLCC GEORGES-FRANCOIS LECLERC;210780417;1;4;0;0;378;0;;;;;;;1;2000;0;0;0;;;;500;0;40;8;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;
PALIA;2023;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;9;0;0;138;0;;;;;;;1;1361;21;2;37;5;3;29;401;0;129;424;;;;;;;;;;;;;;;;;;;;;;;;;1.57;1.57;0.2;2.2;;;1;
PALIA;2023;220000095;CTRE HOSPITALIER DINAN;220000046;1;14;4;0;191;0;;;;;;;1;1007;27;9;3248;1417;719;1112;654;;206;;;;;;;;;;;;;;;;;;;;;;;;;;0.88;;0.1;2.53;;0.96;0.9;
PALIA;2023;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;4;;;40;1;1;10;182;;;;1;274;8;3;252;4;53;195;139;0;18;93;;;;;;;;;1.6;0.8;0.5;7.81;;7.81;1;;;;;;;;;;1;1;0.5;2;1.8;;;
PALIA;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;0;;;;;0;;;;;;;1;2285;15;3;685;16;331;338;647;;297;93;;;;;;;;;;;;;;;;;;;;;;;;;0.88;0.88;0.1;1.91;;;0.5;1
PALIA;2023;220000483;CHCB SITE LOUDEAC;560014748;1;3;3;0;22;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;1;4;;;117;0;;;;;;;1;638;5;2;127;2;39;86;225;;63;6;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;0.5;;;0.5;0.2
PALIA;2023;220000574;CHPP SITE QUINTIN;220021968;1;2;0;0;24;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;220001259;CENTRE HOSPITALIER TREGUIER;220005045;1;3;0;0;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;220022800;HOPITAL PRIVÉ DES COTES D'ARMOR;220000673;1;12;0;0;166;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;230000820;CENTRE HOSPITALIER GUERET;230780041;1;9;0;0;192;0;;;;;;;1;110;19;8;260;95;88;77;208;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;0.58;0.8;;0;0;0.23
PALIA;2023;230000846;C H BERNARD DESPLAS BOURGANEUF;230780066;1;4;0;0;21;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;230004657;SITE CROIX BLANCHE;230780058;1;2;0;0;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;230780082;CENTRE MEDICAL NATIONAL SAINTE FEYRE;750005068;1;5;2;;175;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;240000091;CH DE LANMARY;240000034;1;5;;;10;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;1;12;;;84;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;240000372;C.H DE BERGERAC;240000059;1;5;0;0;175;0;;;;;;;1;624;20;12;655;34;42;32;491;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;0.08;1.24;0.8;0;0.5;0.4
PALIA;2023;240000414;CENTRE HOSPITALIER DE DOMME;240000067;1;3;0;0;520;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;240000471;CENTRE HOSPITALIER DE NONTRON;240000109;1;4;0;0;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;5;0;0;25;1;1;12;386;;;;1;2151;;;112;5;81;26;847;9;4;25;0;0;0;0;0;0;0;0;2.11;0;0.26;9.47;0.5;9.51;1;3.4;0;0;0;0;0;0;0;0;0.25;0;0.13;11.01;0.25;0;0.6;0.25
PALIA;2023;240000505;CENTRE HOSPITALIER DE RIBERAC;240016055;1;5;;;47;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;5;0;0;125;0;;;;;;;1;67;11;1;60;0;36;28;116;0;49;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.5;0;0;0.4;0
PALIA;2023;250000270;CLINIQUE SAINT VINCENT BESANCON;250000643;1;3;;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;250000627;CH PAUL NAPPEZ MORTEAU;250000221;1;4;0;0;49;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;250000635;CH SAINTE CROIX BAUME LES DAMES;250000239;1;4;1;;43;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;0;;;;;1;1;2;58;;;;1;896;6;14;792;116;212;457;475;;69;20;;;;;;;;;1.4;;;1.25;;;0.93;0.5;;;;;;;;;;;;;;;;
PALIA;2023;250000726;CH SAINT LOUIS ORNANS;250000478;1;4;2;0;14;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;8;0;0;241;1;1;15;351;0;0;0;1;1878;14;8;235;98;62;75;972;0;385;1047;;;;;;;;;2.45;2.45;0.61;14.86;14.86;14.04;1.17;5.83;;;;;;;;;3.33;3.33;0.75;1.86;1.86;0;1;1
PALIA;2023;260000013;CH DE VALENCE;260000021;1;5;0;0;65;1;1;10;325;;;;1;1973;19;10;59;16;18;25;693;0;41;32;;;;;;;;;0.6;0.4;0.2;8.22;2;6.89;0.8;2.3;;;;;;;;;1.8;0.6;0.2;2.6;0.8;0;1.61;1.05
PALIA;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;0;;;;;1;1;10;168;;;;1;734;13;15;101;;;;851;;18;6;;;;;;;;;2.1;1.84;0.3;4.03;;5.55;0.5;1.08;;;;;;;;;;;;1.08;;;1;0.5
PALIA;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;3;0;0;62;0;;;;;;;1;468;14;4;53;1;32;20;503;0;21;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9;0.9;0;0;0;0;0;0
PALIA;2023;260000146;CH DE CREST;260000054;0;;;;;1;1;9;203;;;;1;119;;;166;19;46;101;128;0;10;4;;;;;;;;;1;;1;6.01;;9.23;0.5;2.13;;;;;;;;;0.3;;;0.96;;;0.51;0.02
PALIA;2023;260003017;CLINIQUE KENNEDY;260000781;1;3;;;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;260006267;CLINIQUE GENERALE VALENCE;070000245;1;4;;;191;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;1;2;;;78;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;270000359;CH EVREUX CH EURE-SEINE;270023724;1;11;0;0;124;1;1;10;357;;;4;1;1869;20;3;425;2;8;232;690;0;163;51;;;;;;;;;3.33;;;8.04;;9.76;1.09;4.35;;;;;;;;;;;;2.79;;1;1.34;1.02
PALIA;2023;270000367;CH GISORS;270000086;1;1;0;0;38;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;270000391;CH LOUVIERS CHI ELBEUF;760024042;1;3;1;;45;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;270000425;CH PONT-AUDEMER;270000102;0;;;;;1;1;10;221;;;;1;6;6;8;47;;;;34;;114;45;;;;;;;;;;;0.48;4;;6.76;1;1.5;;;;;;;;;;;0.03;;;;;
PALIA;2023;270000458;CH VERNON CH EURE-SEINE;270023724;1;5;0;0;73;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;280000084;CH DREUX;280000183;1;13;;;77;0;;;;;;;1;3188;3;1;24;12;12;0;626;0;57;97;;;;;;;;;;;;;;;;;;;;;;;;;0.65;0;0.15;2;;1;1;1.04
PALIA;2023;280000100;CH DE LA LOUPE;280000225;1;2;;;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;280000662;CH CHATEAUDUN;280500075;1;6;;;71;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;1;6;0;0;106;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;21;2;0;346;0;;;;;;;1;1205;1;1;;;;;391;;193;;;;;;;;;;;;;;;;;;;;;;;;;;0.9;0.9;0;1.71;;0;1;0.57
PALIA;2023;280505777;HOPITAL PRIVE D'EURE ET LOIR;280001199;1;5;0;0;193;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000025;CHIC QUIMPER;290020700;1;6;;;190;0;;;;;;;1;723;19;8;410;286;57;67;544;0;9;17;;;;;;;;;;;;;;;;;;;;;;;;;1.35;;;1.28;;;0.9;0.5
PALIA;2023;290000033;C.H. DES PAYS DE MORLAIX;290021542;1;6;0;0;16;0;;;;;;;1;960;22;1;105;4;22;79;460;0;99;49;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1.8;0.9;;1.31;0.5
PALIA;2023;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;1;3;0;1;6;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000066;CHIC SITE DE CONCARNEAU;290020700;1;6;;;99;0;;;;;;;1;122;19;8;1011;887;57;67;544;0;9;17;;;;;;;;;;;;;;;;;;;;;;;;;1.35;;;1.28;;;0.9;0.5
PALIA;2023;290000140;CLINIQUE PASTEUR LANROZE;290000447;0;;;;;1;1;11;226;;;;0;;;;;;;;;;;;;;;;;;;;1.6;;;6.92;;7.93;1;;;;;;;;;;;;;;;;;
PALIA;2023;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;1;5;0;0;90;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;1;4;;;4;1;1;10;215;;;10;0;;;;;;;;;;;;;;;;;;;;2.05;1.52;0.33;8.19;1;7.82;0.36;1.3;;;;;;;;;;;;;;;;
PALIA;2023;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;1;6;;;49;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000272;CENTRE HOSPITALIER CROZON;290000090;1;4;2;;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000322;CENTRE HOSPITALIER LESNEVEN;290000108;1;3;0;0;49;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000389;CENTRE HOSPITALIER LANMEUR;290000116;1;3;0;0;42;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000686;CENTRE DE SOINS DE SUITE DE KERAMPIR;440042844;1;2;;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000728;HOPITAL INSTRUCTION DES ARMEES;750821092;1;6;0;0;36;0;;;;;;;1;38;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0;0.5;0.5;0;0;0
PALIA;2023;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;1;5;0;0;104;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000827;FONDATION ILDYS SITE DE TY-YANN;290000546;1;2;2;;21;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;1;7;;;123;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290000975;FONDATION ILDYS SITE DE PERHARIDY;290000546;1;2;2;0;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290001015;CENTRE HOSPITALIER ST RENAN;290000751;1;3;3;;7;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290002344;POLE RÉADAPT DE CORNOUAILLE SAINT YVI;440042844;1;3;3;0;23;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;4;0;0;4;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290004365;CHU BREST SITE GUILERS;290000017;1;13;0;1;396;1;1;10;209;;;;1;1014;19;15;115;53;33;29;505;;157;113;;;;;;;;;3.68;3.68;1;9.23;;4.32;1.52;0.68;;;;;;;;;;;;;;;;
PALIA;2023;290023431;SAS CLINIQUE DE LA BAIE;290001049;1;3;;;10;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;290036706;INSTITUT DE RÉADAPTATION DU CAP HORN;440055911;1;2;2;;20;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;2A0000139;CLINISUD;2A0000063;1;6;0;0;75;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;2A0000287;CENTRE HOSPITALIER DE CASTELLUCCIO;2A0000386;1;8;8;0;75;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;2A0004842;CH ND LA MISERICORDE;2A0000014;1;9;;0;70;1;1;8;266;;;12;1;1625;11;7;551;140;88;411;513;0;21;4;;;;;;;;;2.36;;1.5;10.13;;10.63;1;8.11;;;;;;;;;1.13;;0.11;1;;;0.5;0.67
PALIA;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;6;0;0;214;0;;;;;;;1;248;11;7;593;442;35;116;649;0;0;598;;;;;;;;;;;;;;;;;;;;;;;;;0.72;;;;;;0.5;
